variable,label_clean,label,wave,value_labels_sample,n_waves,cluster_id,domains,primary_domain,all_domains
q51_2,question 51 02 newspaper,Question 51.02 Newspaper,Wave2,Not applicable = 0; Yes = 1; No = 2,1,-1,['media'],media,media
q51_3,question 51 03 radio,Question 51.03 Radio,Wave2,Not applicable = 0; Yes = 1; No = 2,1,-1,['media'],media,media
q51_4,question 51 04 internet,Question 51.04 Internet,Wave2,Not applicable = 0; Yes = 1; No = 2,1,-1,['media'],media,media
q51a_Facebook,a which social media and text messaging services do you actively use facebook,51a Which social media and text messaging services do you actively use? Facebook,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['media'],media,media
q51b,b you use social media primarily to expresss my opinion on political issues,51b You use social media primarily to expresss my opinion on political issues,Wave5,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['media'],media,media
q51c,c you use social media primarily to share news or information,51c You use social media primarily to share news or information,Wave5,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['media'],media,media
q51d,d you use social media primarily for work,51d You use social media primarily for work,Wave5,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['media'],media,media
q52a,a how often do you use social media to talk to or to connect with other people,52a How often do you use social media to talk to or to connect with other people?,Wave6,Missing = -1; Not applicable = 0; Often = 1,1,-1,['media'],media,media
q52b,b how often do you use social media to express my opinion on political issues,52b How often do you use social media to express my opinion on political issues?,Wave6,Missing = -1; Not applicable = 0; Often = 1,1,-1,['media'],media,media
q52c,c how often do you use social media to share news or information,52c How often do you use social media to share news or information?,Wave6,Missing = -1; Not applicable = 0; Often = 1,1,-1,['media'],media,media
q52d,d how often do you use social media to organize to influence politics,52d How often do you use social media to organize to influence politics?,Wave6,Missing = -1; Not applicable = 0; Often = 1,1,-1,['media'],media,media
q73a,a contacted news media 4 categories,73a  Contacted news media-4 categories,Wave4,Missing = -1; I have done this more than once = 1; I have done this once = 2,1,-1,"['media', 'social_capital']",media,media; social_capital
q100,where would you place our country under the present government,Where would you place our country under the present government?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97,6,-1,['other'],other,other
q102,where do you expect our country to be in five years,Where do you expect our country to be in five years?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97,6,-1,['other'],other,other
q104,how satisfied or dissatisfied are you with the current government,How satisfied or dissatisfied are you with the current government?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Veryl dissatisfied = 1; Somewhat dissatisfied = 2; Somewhat satisfied = 3,6,-1,['other'],other,other
q109,the gap between the rich and the poor have narrowed is better than before,The gap between the rich and the poor have narrowed- is better than before?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Much worse = 1; Somewhat worse = 2; Much the same = 3,6,-1,['other'],other,other
q110,preventing crime and maintaining order is better than before,Preventing crime and maintaining order- is better than before?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Much worse = 1; Somewhat worse = 2; Much the same = 3,6,-1,['other'],other,other
q117,which comes closest to your own opinion,Which comes closest to your own opinion?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Authoritarian government can be preferable = 1; Does not matter whether we have a non_or_democratic regime = 2; Democracy: preferable to any other kind of government = 3,6,-1,['other'],other,other
q118,which comes closer to your own view,Which comes closer to your own view?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Democracy can not solve our society's problems = 1; Democracy is capable of solving the problems of our society = 2; Don't know = 98,6,-1,['other'],other,other
q120,which comes closer to your own view,Which comes closer to your own view?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6", It is essential that the country remains one nation = 1; Parts of the country possibly be separate states = 2; Can't choose = 3,6,-1,['other'],other,other
q122,no opposition party should be allowed to compete for power,No opposition party should be allowed to compete for power,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['other'],other,other
q125,it is ok for the government to disregard the law in order to deal with the situation when the country is facing a diffi,"It is ok for the government to disregard the law in order to deal with the situation, when the country is facing a diffi","Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['other'],other,other
q127,politics and government seems so complicated that a person like me can t really understand what is going on,Politics and government seems so complicated that a person like me can't really understand what is going on,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['other'],other,other
q130,our form of government is still the best for us,Our form of government is still the best for us,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['other'],other,other
q132,people with little or no education should have as much say in politics as highly educated people,People with little or no education should have as much say in politics as highly-educated people,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,6,-1,['other'],other,other
q133,government leaders are like the head of a family we should all follow their decisions,Government leaders are like the head of a family; we should all follow their decisions,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['other'],other,other
q134,the government should decide whether certain ideas should be allowed to be discussed in society,The government should decide whether certain ideas should be allowed to be discussed in society,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['other'],other,other
q140,the government should maintain ownership of major state owned enterprises,The government should maintain ownership of major state-owned enterprises,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['other'],other,other
q141,the national government should have more authority over local decisions than it does now,The national government should have more authority over local decisions than it does now,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['other'],other,other
q142,our country should defend our way of life instead of becoming more and more like other countries,Our country should defend our way of life instead of becoming more and more like other countries,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,6,-1,['other'],other,other
q144,the state is like a big machine and the individual is but a small cog with no independent status,"The state is like a big machine and the individual is but a small cog, with no independent status","Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['other'],other,other
q145,the most important thing for a political leader is to accomplish his goals even if he has to ignore the established proc,The most important thing for a political leader is to accomplish his goals even if he has to ignore the established proc,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['other'],other,other
q146,if a political leader really believes in his position he should refuse to compromise regardless of how many people disa,"If a political leader really believes in his position, he should refuse to compromise regardless of how many people disa","Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['other'],other,other
q147,a political leader should tolerate the views of those who challenge his political ideals,A political leader should tolerate the views of those who challenge his political ideals,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,6,-1,['other'],other,other
q10,trust in political parties,Trust in Political parties,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,['other'],other,other
