variable,w5_label,w1_label,w2_label,w3_label,w4_label,w6_label,w5_values,w1_values,w2_values,w3_values,w4_values,w6_values,w5_label_present,w1_label_present,w2_label_present,w3_label_present,w4_label_present,w6_label_present,n_waves_present,similar_variables,similarity_scores,suggested_concept_group,suggested_domain
q114,"114 People have basic necessities like food, clothes, and shelter",How widespread corruption in your local/municipal government?,How often do your think our elections offer the voters a real choice between different parties/candidates?,"q114. In your neighborhood or community, do people voice their interests and concerns in local affairs?",114 To what extent is the legislature capable of keeping government leaders in check?,114 How capable is the government of enforcing laws and implementing policies?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Almost everyone is corrupt = 1; Most officials are corrupt = 2; Not a lot of officials are corrupt = 3,Always = 1; Most of the time = 2; Sometimes = 3,Missing = -1; Most people = 1; Quite a lot of people = 2,Missing = -1; Very capable = 1; Capable = 2,Missing = -1; Not applicable = 0; Very capable = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q115; q115,0.839; 0.839,"q114, q115",governance; corruption; local_govt
q115,115 People are free to speak what they think without fear,How widespread corruption in the national government?,To what extent is the legislature capable of keeping the government in check?,q115. How much do you feel that having elections makes the government pay attention to what the people think?,115 How well do you think the government responds to what people want?,115 How widespread do you think corruption and bribe-taking are in your local/municipal government?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Almost everyone is corrupt = 1; Most officials are corrupt = 2; Not a lot of officials are corrupt = 3,Very capable = 1; Capable = 2; Not capable = 3,Missing = -1; A good deal = 1; Quite a lot = 2,Missing = -1; Very responsive = 1; Largely responsive = 2,Missing = -1; Not applicable = 0; Hardly anyone is involved = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q114; q114,0.839; 0.839,"q114, q115",governance; corruption
q116,116 People can join any organization they like without fear,anyone you know personally witnessed an act of corruption?,How well do you think the government responds to what people want?,q116. How widespread do you think corruption and bribe-taking are in your local/municipal government?  Would you say …?,116 How much do you feel that having elections makes the government pay attention to what the people think?,116 How widespread do you think corruption and bribe-taking are in the national government?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Yes = 1; No = 2; Not Applicable = 97,Very responsive = 1; Largely responsive = 2; Not very responsive = 3,Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2,Missing = -1; A good deal = 1; Quite a lot = 2,Missing = -1; Not applicable = 0; Hardly anyone is involved = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q116e; q116e,0.877; 0.877,"q116, q116e",corruption
q117,117 How often do government officials withhold important information from the public?,Which comes closest to your own opinion?,How widespread do you think corruption and bribe-taking are in your local/municipal government?,q117. How widespread do you think corruption and bribe-taking are in the national government [in capital city]?  Would you say …?,117 How widespread do you think corruption and bribe-taking are in your local/municipal government?,117 How effective is the government in cracking down on corruption?,Missing = -1; Always = 1; Most of the time = 2,Authoritarian government can be preferable = 1; Does not matter whether we have a non_or_democratic regime = 2; Democracy: preferable to any other kind of government = 3,Almost everyone is corrupt = 1; Most officials are corrupt = 2; Not a lot of officials are corrupt = 3,Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2,Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2,Missing = -1; Not applicable = 0; Very effective = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q118; q120; q118; q120,0.856; 0.856; 0.856; 0.856,"q117, q118, q120",other
q118,118 How often do you think government leaders break the law or abuse their power?,Which comes closer to your own view?,How widespread do you think corruption and bribe-taking are in the national government?,"q118. In your opinion, is the government working to crack down on corruption and root out bribery?",118 How widespread do you think corruption and bribe-taking are in the national government?,118 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,Missing = -1; Always = 1; Most of the time = 2,Democracy can not solve our society's problems = 1; Democracy is capable of solving the problems of our society = 2; Don't know = 98,Almost everyone is corrupt = 1; Most officials are corrupt = 2; Not a lot of officials are corrupt = 3,Missing = -1; It is doing its best = 1; It is doing something = 2,Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2,Missing = -1; Not applicable = 0; Yes = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q120; q120; q117; q117,1; 1; 0.856; 0.856,"q117, q118, q120",other
q120,120 To what extent is the legislature capable of keeping government leaders in check?,Which comes closer to your own view?,"In your opinion, is the government working to crackdown corruption and root out bribes?",q120. Remember the scale that we used before: 1 means completely undemocratic and 10 means completely democratic. Where would you place China today on this scale?,120 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,120 Where would you place China today on this scale?,Missing = -1; Very capable = 1; Capable = 2,It is essential that the country remains one nation = 1; Parts of the country possibly be separate states = 2; Can't choose = 3,It is doing this quite effectively = 0; It is doing its best = 1; It is doing something = 2,Missing = -1; Do not understand the question = 97; Can't choose = 98,Missing = -1; Personally witnessed = 1; Told about it by a family member who personally witnessed = 2,Missing = -1; Not applicable = 0; Completely undemocratic = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q118; q118; q117; q117,1; 1; 0.856; 0.856,"q117, q118, q120",other
q121,121 How well do you think the government responds to what people want?,We should get rid of parliament and elections and have a strong leader decide things,Which of the following statements comes closest to your own opinion?,q121. Where would you place the United States today on this scale?,121 Where would you place China today on this scale?,121 Where would you place the United States of America today on this scale?,Missing = -1; Very responsive = 1; Largely responsive = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,"For people like me, it does not matter whether we have a democratic or a nondemocratic regime = 1; Under some circumstances, an authoritarian government can be peferable to a democratic one = 2; Democracy is always preferable to any other kind of government = 3",Missing = -1; Do not understand the question = 97; Can't choose = 98,Missing = -1; Completely Undemocratic = 1; 2 = 2,Missing = -1; Not applicable = 0; Completely undemocratic = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q124; q124,0.884; 0.884,"q121, q124",politics; legislature
q122,122 How much do you feel that having elections makes the government more responsive to people's needs,No opposition party should be allowed to compete for power,Which of the following statements comes closer to your own view?,q122. Where would you place Japan today on this scale?,122 Where would you place the United States today on this scale?,122 Where would you place Japan today on this scale?,Missing = -1; A good deal = 1; Quite a lot = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Democracy can not solve our society's problems = 1; Democracy is capable of solving the problems of our society = 2; Do not understand the question = 7,Missing = -1; Do not understand the question = 97; Can't choose = 98,Missing = -1; Completely Undemocratic = 1; 2 = 2,Missing = -1; Not applicable = 0; Completely undemocratic = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,politics
q123,123 How capable is the government of enforcing laws and implementing policies?,The military should come in to govern the country,"If you had to choose between democracy and economic development, which would you say is more important?",q123. Where would you place India today on this scale?,123 Where would you place Japan on this scale?,123 Where would you place India today on this scale?,Missing = -1; Very capable = 1; Capable = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Economic development is definitely more important = 1; Economic development is somewhat more important = 2; Democracy is somewhat more important = 3,Missing = -1; Do not understand the question = 97; Can't choose = 98,Missing = -1; Completely Undemocratic = 1; 2 = 2,Missing = -1; Not applicable = 0; Completely undemocratic = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,military
q124,124 How widespread do you think corruption and bribe-taking are in your local/municipal government?,We should get rid of parliament and elections and have the experts decide everything,We should get rid of parliament and elections and have a strong leader decide things,q124. Which of the following statements comes closest to your own opinion?,124 Where would you place India on this scale?,124 Which of the following statements comes closest to your own opinion?,Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly approve = 1; Approve = 2; Disapprove = 3,"Missing = -1; Democracy is always preferable to any other kind of governme = 1; Under some circumstances, an authoritarian government can be = 2",Missing = -1; Completely Undemocratic = 1; 2 = 2,Missing = -1; Not applicable = 0; Democracy is always preferable to any other kind of government = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q121; q121,0.884; 0.884,"q121, q124",politics; legislature
q125,125 How widespread do you think corruption and bribe-taking are in the national government?,"It is ok for the government to disregard the law in order to deal with the situation, when the country is facing a diffi",Only one political party is allowed to stand for election and hold office,q125. Which of the following statements comes closer to your own view?,125 Which of the following statements comes closest to your own opinion?,125 Which of the following statements comes closer to your own view?,Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly approve = 1; Approve = 2; Disapprove = 3,Missing = -1; Democracy is capable of solving the problems of our society = 1; Democracy cannot solve our society's problems = 2,"Missing = -1; Democracy is always preferable to any other kind of government = 1; Under some circumstances, an authoritarian government can be preferable to a democratic one = 2",Missing = -1; Not applicable = 0; Democracy is capable of solving the problems of our society = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,governance
q126,126 How effective is the government in cracking down on corruption?,I have the ability to participate in politics,The army should come in to govern the country,"q126. If you had to choose between democracy and economic development, which would you say is more important?",126 Which of the following statements comes closer to your own view?,"126 If you had to choose between democracy and economic development, which would you say is more important?",Missing = -1; Very effective = 1; Somewhat effective = 2,Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,Strongly approve = 1; Approve = 2; Disapprove = 3,Missing = -1; Economic development is definitely more important = 1; Economic development is somewhat more important = 2,Missing = -1; Democracy is capable of solving the problems of our society = 1; Democracy cannot solve our society`s problems = 2,Missing = -1; Not applicable = 0; Economic development is definitely more important = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,politics; participation
q127,127 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,Politics and government seems so complicated that a person like me can't really understand what is going on,I think I have the ability to participate in politics,"q127. If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?","127 If you had to choose between democracy and economic development, which would you say is more important?","127 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",Missing = -1; Yes = 1; No = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Reducing economic inequality is definitely more important = 1; Reducing economic inequality is somewhat more important = 2,Missing = -1; Economic development is definitely more important = 1; Economic development is somewhat more important = 2,Missing = -1; Not applicable = 0; Reducing economic inequality is definitely more important = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,politics; governance
q128,128 Where would you place China today on this scale?,The nation is run by a powerful few and ordinary citizens cannot do much about it,Sometimes politics and government seems so complicated that a person like me can't really understand what is going on,"q128. Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government.""","128 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?","128 Do you agree or disagree with the following statement: 'Democracy may have its problems, but it is still the best form of government's?",Missing = -1; Completely Undemocratic = 1; 2 = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Reducing economic inequality is definitely more important = 1; Reducing economic inequality is somewhat more important = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,other
q129,129 Where would you place the United States today on this scale?,People like me don't have any influence over what the government does,"Whatever its faults may be, our form of government is still the best for us","q129. There are many ways to govern a country. Would you disapprove or approve of the following alternatives? For each statement, would you say you strongly approve, approve, disapprove, or strongly disapprove? We should get rid of parliament and election","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"".",129 We should get rid of parliament and elections and have a strong leader to decide things.,Missing = -1; Completely Undemocratic = 1; 2 = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly approve = 1; Somewhat approve = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly approve = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q107; q107,0.802; 0.802,"q107, q129",governance; efficacy
q130,130 Where would you place Japan today on this scale?,Our form of government is still the best for us,You can generally trust the people who run our government to do what is right (HK: Hong Kong government),q130. Only one political party should be allowed to stand for election and hold office.,130 We should get rid of parliament and elections and have a strong leader decide things.,130 Only one political party is allowed to stand for election and hold office.,Missing = -1; Completely Undemocratic = 1; 2 = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly approve = 1; Somewhat approve = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly approve = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,governance
q131,131 Where would you place India today on this scale?,You can generally trust the people who run our government to do what is right,"Generally speaking, we can trust the local government officials to do the right things",q131. The army (military) should come in to govern the country.,131 Only one political party should be allowed to stand for election and hold office.,131 The army (military) should come in to govern the country.,Missing = -1; Completely Undemocratic = 1; 2 = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly approve = 1; Somewhat approve = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly approve = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,trust; governance
q132,132 Which of the following statements comes closest to your own opinion?,People with little or no education should have as much say in politics as highly-educated people,Which of these two statements comes closer to your own view,q132. We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,132 The army (military) should come in to govern the country.,132 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,"Missing = -1; Democracy is always preferable to any other kind of government = 1; Under some circumstances, an authoritarian government can be preferable to a democratic one = 2",Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,It is essential that the (country) remains one nation = 1; Part of the (country) should be allowed to become fully separate states if they choose to = 2; Do not understand the question = 7,Missing = -1; Strongly approve = 1; Somewhat approve = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly approve = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,politics; efficacy; demographics
q133,133 Which of the following statements comes closer to your own view?,Government leaders are like the head of a family; we should all follow their decisions,People with little or no education should have as much say in politics as highly-educated people,"q133. I have here some statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? I think I have the ability to participate in politics.",133 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,133 I think I have the ability to participate in politics.,Missing = -1; Democracy is capable of solving the problems of our society = 1; Democracy cannot solve our society`s problems = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,governance; executive; social_capital
q134,"134 If you had to choose between democracy and economic development, which would you say is more important?",The government should decide whether certain ideas should be allowed to be discussed in society,Government leaders are like the head of a family; we should all follow their decisions,q134. Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,134 I think I have the ability to participate in politics.,134 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,Missing = -1; Economic development is definitely more important = 1; Economic development is somewhat more important = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,governance
q135,"135 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",Harmony of the community will be disrupted if people organize lots of groups,The government should decide whether certain ideas should be allowed to be discussed in society,q135. People like me don't have any influence over what the government does.,135 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,135 People like me don't have any influence over what the government does.,Missing = -1; Reducing economic inequality is definitely more important = 1; Reducing economic inequality is somewhat more important = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,participation; local_govt
q136,"136 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"".","When judges decide important cases, they should accept the view of the executive branch",Harmony of the community will be disrupted if people organize lots of groups,q136. You can generally trust the people who run our government to do what is right.,136 People like me don't have any influence over what the government does.,136 You can generally trust the people who run our government to do what is right.,Missing = -1; Strongly agree = 1; Agree = 2,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,judiciary; executive
