concept,domain,w1_var,w1_scale,w1_label,w2_var,notes
interest_politics,politics,q056,4pt_1low,Interest in politics (1=Not at all to 4=Very interested),q92,Variable numbers change but content consistent
voted_last_election,politics,q027,binary_1yes,Voted in last national election,q38,All waves. Yes/No
army_rule_support,regime,q123,4pt_1agree,Support for army rule,q104,All waves. 4-choice ordinal (1=strongly support to 4=strongly oppose). HIGHER=LESS authoritarian
democracy_scale_current,regime,q100,10pt_1low,Democracy scale current (1-10),q96,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic
democracy_scale_future,regime,q102,10pt_1low,Democracy scale future 5 years (1-10),q98,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic
democracy_scale_past,regime,q099,10pt_1low,Democracy scale past regime (1-10),q97,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic
democracy_suitable,regime,q103,10pt_1low,Democracy suitable for country (1-10),q99,All waves. 10-point scale (1=completely unsuitable to 10=perfectly suitable). HIGHER=MORE suitable
expert_decide_support,regime,q124,4pt_1agree,Support for experts making decisions,q105,All waves. 4-choice ordinal (1=strongly support to 4=strongly oppose). HIGHER=LESS authoritarian
govt_satisfaction,regime,q104,4pt_1low,Satisfaction with government (1=Very dissatisfied to 4=Very satisfied),q102,All waves. 4-point scale (1=very satisfied to 4=very dissatisfied). HIGHER=LESS satisfied
strong_leader_support,regime,q121,4pt_1agree,Support for strong leader without elections,q103,All waves. 4-choice ordinal (1=strongly support to 4=strongly oppose). HIGHER=LESS authoritarian
org_count_formal,social_capital,fgnum,count_0to3,Number of formal groups belong to,fgnum,W1-W2 only. Count variable 0-3
org_count_private,social_capital,pgnum,count_0to3,Number of private groups belong to,NA,W1 only. Count variable 0-3
trust_gen_binary,social_capital,q024,3opt,Most people can be trusted (trichotomous),q23,W1 has 3 options (both/it depends). W2-W4 binary. W5-W6 add it depends
accommodate_neighbor,traditionalism,q066,4pt_1trad,Accommodate neighbor in conflict,q58,W1-W2 only. Conflict avoidance
elder_resolve_dispute,traditionalism,q071,4pt_1trad,Ask elder to resolve quarrels,NA,W1 only. Respect for age/authority
family_over_individual,traditionalism,q069,4pt_1trad,Put family interests before individual,q60,All waves. Collectivism - family level
fate_determines_success,traditionalism,q067,4pt_1trad,Fate determines wealth and success,NA,W1 and W3-W6. Fatalism measure
hire_relatives_over_qualified,traditionalism,q065,4pt_1trad,Hire relatives over qualified stranger,NA,W1 only. Measuring nepotism/particularism
man_lose_face_female_boss,traditionalism,q070,4pt_1trad,Man loses face working under female supervisor,NA,W1 only. Gender hierarchy
mother_in_law_conflict,traditionalism,q072,4pt_1trad,Husband should side with mother-in-law over wife,NA,W1 and W3-W6. Filial piety over spousal loyalty
not_insist_opinion_coworkers,traditionalism,q068,4pt_1trad,Not insist on own opinion if coworkers disagree,q59,All waves. Conformity/harmony over individual opinion
obey_parents_unreasonable,traditionalism,q064,4pt_1trad,Children obey parents even if unreasonable,q56,All waves. 1=Strongly agree to 4=Strongly disagree. Higher=less traditional
trust_civil_service,trust,q011,4pt_0low,Trust in civil service,q12,All waves present
trust_courts,trust,q007,4pt_0low,Trust in courts,q8,All waves present. W3/W5 need collapsing
trust_election_commission,trust,q017,4pt_0low,Trust in election commission,q16,W2-W5 newspaper/TV; W6 election commission - NOT comparable
trust_local_govt,trust,q014,4pt_0low,Trust in local government,q15,*** CRITICAL for Paper 5 - LOCAL TRUST ***
trust_military,trust,q012,4pt_0low,Trust in military,q13,All waves present
trust_national_govt,trust,q008,4pt_0low,Trust in national government,q9,All waves present. This is KEY variable for Paper 5
trust_ngos,trust,q018,4pt_0low,Trust in NGOs,q17,W2-W5 TV; W6 NGOs - W6 comparable only for institutional substitution
trust_parliament,trust,q010,4pt_0low,Trust in parliament,q11,All waves present
trust_parties,trust,q009,4pt_0low,Trust in political parties,q10,All waves present
trust_police,trust,q013,4pt_0low,Trust in police,q14,All waves present
