wave,variable,label,value_labels_sample
Wave1,q051,Influential_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,No = 1; Yes = 2; Not applicable = 97
Wave1,q052,Influential_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,No = 1; Yes = 2; Not applicable = 97
Wave1,q053,Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,No = 1; Yes = 2; Not applicable = 97
Wave1,q054,Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU DON'T KNOW,No = 1; Yes = 2; Not applicable = 97
Wave1,q055,Influential_OTHERS,No = 1; Yes = 2; Not applicable = 97
Wave1,q056,How interested would you say you are interested in politics?,Not at all interested = 1; Not very interested = 2; Somewhat interested = 3
Wave1,q057,How often do you follow news about politics?,Practically never = 2; Not even once a week = 3; Once or twice a week = 4
Wave1,q057a,"How often do you follow news about politics in the daily newspaper, television, and radio?",Practically never = 2; Not even once a week = 3; Once or twice a week = 4
Wave1,q058,How often do you follow news about politics in the daily newspaper?,Practically never = 2; Not even once a week = 3; Once or twice a week = 4
Wave1,q059,How often do you follow news about politics on television?,Practically never = 2; Not even once a week = 3; Once or twice a week = 4
Wave1,q060,How often do you follow news about politics on the radio?,Practically never = 2; Not even once a week = 3; Once or twice a week = 4
Wave1,q061,How much impact do you feel government policies have on your daily life?,No impact at all = 1; A little impact = 2; Quite some impact = 3
Wave1,q062,party feel closest to,Don't know = 97; No answer = 98; Don't feel close to any political party = 99
Wave1,q063,closeness,Extent unknown = 0; Just a little close = 1; Somewhat close = 2
Wave1,q064,"Even if parents' demands are unreasonable, children still should do what they ask?",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave1,q065,"When hiring someone, even if a stranger is more qualified, the opportunity should still be given to relatives and friend",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave1,q066,"When one has a conflict with a neighbor, the best way to deal with it is to accommodate the other person?",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave1,q067,"Wealth and poverty, success and failure are all determined by fate?",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave1,q068,A person should not insist on his own opinion if his co-workers disagree with him?,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave1,q069,"For the sake of the family, the individual should put his personal interests second?",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave1,q070,A man will lose face if he works under a female supervisor?,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave1,q071,"If there is a quarrel, we should ask an elder to resolve the dispute?",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave1,q072,"When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband sh",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave1,q073,Contacted any government official to express your opinions?,Once = 1; More than once = 2; Never done = 9
Wave1,q074,Contacted officials to express your opinions at higher level?,Once = 1; More than once = 2; Never done = 9
Wave1,q075,contacted elected legislative representatives at any level?,Once = 1; More than once = 2; Never done = 9
Wave1,q076,Contacted political parties or other political organizations?,Once = 1; More than once = 2; Never done = 9
Wave1,q077,Contacted non-government/civil society organizations?,Once = 1; More than once = 2; Never done = 9
Wave1,q078,Contacted media to comment on something?,Once = 1; More than once = 2; Never done = 9
Wave1,q079,"Demonstrated, striken, or sat-in for something?",Once = 1; More than once = 2; Never done = 9
Wave1,q080,Contacted other people?,Once = 1; More than once = 2; Never done = 9
Wave1,q081,Did you do this alone or with others?_contacted government official,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q082,Did you do this alone or with others?_contacted officials at higher level,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q083,Did you do this alone or with others?_contacted elected legislative representatives at any level,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q084,Did you do this alone or with others?_contacted political parties or other political organizations,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q085,Did you do this alone or with others?_ contacted non-government/civil society organizations,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q086,Did you do this alone or with others?_contacted media,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q087,"Did you do this alone or with others?_demonstration, strike, sit-in",No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q088,Did you do this alone or with others?_contacted other people,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q089,Gift or dinner_contacted government,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q090,Gift or dinner_contacted officials at highter level,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q091,Gift or dinner_contacted elected legislative representatives,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q092,Gift or dinner_contacted political parties or other political organizations,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q093,Gift or dinner_contacted non-goverment/civil society organizations,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q094,Gift or dinner_contacted media,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q095,"Gift or dinner_demonstration, strike, sit-in",No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q096,Gift or dinner_contacted other people,No = 1; Yes(with others) = 2; Not applicable = 97
Wave1,q097_1,MEANING OF DEMOCRACY FIRST,Evaluation = 1; Freedom = 2; Scepticism = 3
Wave1,q097_2,MEANING OF DEMOCRACY SECOND,Evaluation = 1; Freedom = 2; Scepticism = 3
Wave1,q097_3,MEANING OF DEMOCRACY THIRD,Evaluation = 1; Freedom = 2; Scepticism = 3
Wave1,q098,Satisfaction with the way democracy works in our country?,Not at all satisfied = 1; Not very satisfied = 2; Fairly satisfied = 3
Wave1,q099,Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]?,Complete dictatorship = 1; Complete democracy = 10; NOT APPLICABLE = 97
Wave2,q1,How would you rate the overall economic condition of our country today?,Very bad = 1; Bad = 2; So so (not good nor bad) = 3
Wave3,q1,q1. How would you rate the overall economic condition of our country today?  Is it …,Missing = -1; Very good = 1; Good = 2
Wave4,q1,1. How would you rate the overll economic condition of our country today?,Missing = -1; Very good = 1; Good = 2
Wave5,q1,1. How would you rate the overall economic condition of our country today?,Missing = -1; Very good = 1; Good = 2
Wave6,q1,1 How would you rate the overall economic condition of our country today?,Very good = 1; Good = 2; So-so [not good nor bad] = 3
Wave2,q10,Trust in Political parties,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3
Wave3,q10,q10. Political parties [not any specific party],Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2
Wave4,q10,10 Political parties,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2
Wave5,q10,10 Political parties[not any specific party],Missing = -1; Trust fully = 1; Trust a lot = 2
Wave6,q10,10 Political parties [not any specific party],Missing = -1; Not applicable = 0; A great deal of trust = 1
Wave1,q100,Where would you place our country under the present government?,Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97
Wave2,q100,"In your opinion, what are the most important questions facing the country that government should address?","No answer = 0; Economics = 100; Management of the economy, economic development = 110"
Wave3,q100,"q100. Between elections, the people have no way of holding the government responsible for its actions.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q100,100. How likely is it that the government will solve the most important problem you identified within the next five years?,Missing = -1; Not applicable = 0; Very likely = 1
Wave5,q100,100 In your opinion how much of a democracy is our country?,"Missing = -1; A full democracy = 1; A democracy, but with minor problems = 2"
Wave6,q100,"100  In our country, parties and candidates not in power have opportunities to be elected into government.",Missing = -1; Not applicable = 0; Strongly agree = 1
Wave1,q101,To what extent would you want our country to be democratic now?,Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97
Wave2,q101,Second Response,"No answer = 0; Economics = 100; Management of the economy, economic development = 110"
Wave3,q101,"q101. When government leaders break the laws, there is nothing the court can do.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q101,101. People have the power to change a government they don't like,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave5,q101,101 Where would you place our country under the present government?,Missing = -1; Completely Undemocratic = 1; 2 = 2
Wave6,q101,"101  Between elections, the people have no way of holding the government responsible for its actions.",Missing = -1; Not applicable = 0; Strongly agree = 1
Wave1,q102,Where do you expect our country to be in five years?,Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97
Wave2,q102,Third Response,"No answer = 0; Economics = 100; Management of the economy, economic development = 110"
Wave3,q102,q102. Most citizens in our country don't make much effort to influence government decisions.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q102,102. Political parties or candidates in our country have equal access to the mass media during the election period.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave5,q102,102 Where would you place our country ten years ago?,Missing = -1; Completely Undemocratic = 1; 2 = 2
Wave6,q102,"102  When government leaders break the laws, there is nothing the court can do.",Missing = -1; Not applicable = 0; Strongly agree = 1
Wave2,q102a,How likely is it that the government will solve the most important problem you identified?,Not applicable = 0; Very likely = 1; Likely = 2
Wave1,q103,Do you think democracy is suitable for our country?,Completely unsuitable = 1; Completely suitable = 10; Don't know = 98
Wave2,q103,People have the power to change a government they don't like,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q103,q103. All citizens from different ethnic communities in Country X are treated equally by the government.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q103,"103. Between elections, the people have no way of holding the government responsible for its actions.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave5,q103,103 Where would you expect our country to be ten years from now?,Missing = -1; Completely Undemocratic = 1; 2 = 2
Wave6,q103,103  All citizens from different ethnic communities in the [Country X] are treated equally by the government.,Missing = -1; Not applicable = 0; Strongly agree = 1
Wave1,q104,How satisfied or dissatisfied are you with the current government?,Veryl dissatisfied = 1; Somewhat dissatisfied = 2; Somewhat satisfied = 3
Wave2,q104,Our current courts always punish the guilty even if they are high-ranking officials,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q104,q104. Rich and poor people are treated equally by the government.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q104,"104. When government leaders break the laws, there is nothing the court can do.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave5,q104,104 Where would you place our country today? Democracy is suitable or not,Missing = -1; Democracy is completely unsuitable = 1; 2 = 2
Wave6,q104,104  Rich and poor people are treated equally by the government.,Missing = -1; Not applicable = 0; Strongly agree = 1
Wave1,q105,Everyone is free to say what they think- is better than before?,Much worse = 1; Somewhat worse = 2; Much the same = 3
Wave2,q105,Political parties or candidates in our country have equal access to the mass media during the election period,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q105,"q105. People have basic necessities like food, clothes, and shelter.",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q105,105. All citizens from different ethnic communities in the country are treated equally by the government.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave5,q105,105 How satisfied or dissatisfied are you with the current president/government?,Missing = -1; Very satisfied = 1; Somewhat satisfied = 2
Wave6,q105,"105  People have basic necessities like food, clothes, and shelter.",Missing = -1; Not applicable = 0; Strongly agree = 1
Wave1,q106,Everyone is treated equally by the government- is better than before?,Much worse = 1; Somewhat worse = 2; Much the same = 3
Wave2,q106,"Between elections, the people have no way of holding the government responsible for its actions",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q106,q106. People are free to speak what they think without fear.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q106,106 Rich and poor people are treated equally by the government,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave5,q106,106 What are the first most important problems facing this country that government should address(1st response)?,"Missing = -1; Management of the economy = 1; Wages, incomes and salaries = 2"
Wave6,q106,106  People are free to speak what they think without fear.,Missing = -1; Not applicable = 0; Strongly agree = 1
Wave5,q106a,106a What are the most important problems facing this country that government should address(2nd response)?,"Missing = -1; Management of the economy = 1; Wages, incomes and salaries = 2"
Wave5,q106b,106b What are the most important problems facing this country that government should address(3rd response)?,"Missing = -1; Management of the economy = 1; Wages, incomes and salaries = 2"
Wave1,q107,People like me can have an influence on government- is better than before?,Much worse = 1; Somewhat worse = 2; Much the same = 3
Wave2,q107,"When the government breaks the laws, there is nothing the legal system can do",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q107,q107. People can join any organization they like without fear.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave4,q107,"107. People have basic necessities like food, clothes, and shelter",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave5,q107,107 How likely is it that the government will solve the most important problem you identified within the next five years?,Missing = -1; Not applicable = 0; Very likely = 1
Wave6,q107,107  People can join any organization they like without fear.,Missing = -1; Not applicable = 0; Strongly agree = 1
Wave1,q108,Corruption in politics and government is under control- is better than before?,Much worse = 1; Somewhat worse = 2; Much the same = 3
Wave2,q108,Everyone is treated equally by the government,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q108,q108. Do officials who commit crimes go unpunished?,Missing = -1; Always = 1; Most of the time = 2
Wave4,q108,108. People are free to speak what they think without fear.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave5,q108,108 Citizens are able to remove a government they don't like through elections,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q108,108 How often do government officials withhold important information from the public?,Missing = -1; Not applicable = 0; Always = 1
Wave1,q109,The gap between the rich and the poor have narrowed- is better than before?,Much worse = 1; Somewhat worse = 2; Much the same = 3
Wave2,q109,"People have basic necessities like food, clothes, and shelter",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q109,q109. How often do government officials withhold important information from the public view?,Missing = -1; Always = 1; Most of the time = 2
Wave4,q109,109 People can join any organization they like without fear.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave5,q109,"109 In our country, parties and candidates not in power have opportunities to be elected into government",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q109,109 How often do you think government leaders break the law or abuse their power?,Missing = -1; Not applicable = 0; Always = 1
Wave2,q11,Trust in Parliament,None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3
Wave3,q11,q11. Parliament,Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2
Wave4,q11,11 Parliament,Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2
Wave5,q11,11 Parliament,Missing = -1; Trust fully = 1; Trust a lot = 2
Wave6,q11,11 Parliament,Missing = -1; Not applicable = 0; A great deal of trust = 1
Wave1,q110,Preventing crime and maintaining order- is better than before?,Much worse = 1; Somewhat worse = 2; Much the same = 3
Wave2,q110,People are free to speak what they think without fear,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q110,q110. How often do you think government leaders break the law or abuse their power?,Missing = -1; Always = 1; Most of the time = 2
Wave4,q110,110 Do officials who commit crimes go unpunished?,Missing = -1; Always = 1; Most of the time = 2
Wave5,q110,"110 Between elections, the people have no way of holding the government responsible for its actions",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q110,110 How often do you think our elections offer the voters a real choice between different parties/candidates?,Missing = -1; Not applicable = 0; Always = 1
Wave1,q111,Economic development- is better than before?,Much worse = 1; Somewhat worse = 2; Much the same = 3
Wave2,q111,People can join any organization the like without fear,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3
Wave3,q111,q111.  How often do you think our elections offer the voters a real choice between different parties/candidates?,Missing = -1; Always = 1; Most of the time = 2
Wave4,q111,111 How often do government officials withhold important information from the public view?,Missing = -1; Always = 1; Most of the time = 2
Wave5,q111,"111 When government leaders break the laws, there is nothing the court can do",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q111,111 To what extent is the legislature capable of keeping government leaders in check?,Missing = -1; Not applicable = 0; Very capable = 1
Wave1,q112,Judges and courts are free from political interference- is better than before?,Much worse = 1; Somewhat worse = 2; Much the same = 3
Wave2,q112,How often do government officials withhold important information from the public view?,Always = 1; Most of the time = 2; Occasionally = 3
Wave3,q112,q112. To what extent is the legislature capable of keeping government leaders in check?,Missing = -1; Very capable = 1; Capable = 2
Wave4,q112,112 How often do you think government leaders break the law or abuse their power?,Missing = -1; Always = 1; Most of the time = 2
Wave5,q112,112 All citizens from different ethnic communities in the country are treated equally by the government.,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q112,112 How well do you think the government responds to what people want?,Missing = -1; Not applicable = 0; Very responsive = 1
Wave1,q113,You can join any organization you like- is better than before?,Much worse = 1; Somewhat worse = 2; Much the same = 3
Wave2,q113,How often do national government officials abide by the law? (HK: Hong Kong government),Always = 1; Most of the time = 2; Sometimes = 3
Wave3,q113,q113. How well do you think the government responds to what people want?,Missing = -1; Very responsive = 1; Largely responsive = 2
Wave4,q113,113 How often do you think our elections offer the voters a real choice between different parties/candidates?,Missing = -1; Always = 1; Most of the time = 2
Wave5,q113,113 Rich and poor people are treated equally by the government,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q113,113 How much do you feel that having elections make the government more responsive to people's needs?,Missing = -1; Not applicable = 0; A good deal = 1
Wave1,q114,How widespread corruption in your local/municipal government?,Almost everyone is corrupt = 1; Most officials are corrupt = 2; Not a lot of officials are corrupt = 3
Wave2,q114,How often do your think our elections offer the voters a real choice between different parties/candidates?,Always = 1; Most of the time = 2; Sometimes = 3
Wave3,q114,"q114. In your neighborhood or community, do people voice their interests and concerns in local affairs?",Missing = -1; Most people = 1; Quite a lot of people = 2
Wave4,q114,114 To what extent is the legislature capable of keeping government leaders in check?,Missing = -1; Very capable = 1; Capable = 2
Wave5,q114,"114 People have basic necessities like food, clothes, and shelter",Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q114,114 How capable is the government of enforcing laws and implementing policies?,Missing = -1; Not applicable = 0; Very capable = 1
Wave1,q115,How widespread corruption in the national government?,Almost everyone is corrupt = 1; Most officials are corrupt = 2; Not a lot of officials are corrupt = 3
Wave2,q115,To what extent is the legislature capable of keeping the government in check?,Very capable = 1; Capable = 2; Not capable = 3
Wave3,q115,q115. How much do you feel that having elections makes the government pay attention to what the people think?,Missing = -1; A good deal = 1; Quite a lot = 2
Wave4,q115,115 How well do you think the government responds to what people want?,Missing = -1; Very responsive = 1; Largely responsive = 2
Wave5,q115,115 People are free to speak what they think without fear,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q115,115 How widespread do you think corruption and bribe-taking are in your local/municipal government?,Missing = -1; Not applicable = 0; Hardly anyone is involved = 1
Wave1,q116,anyone you know personally witnessed an act of corruption?,Yes = 1; No = 2; Not Applicable = 97
Wave2,q116,How well do you think the government responds to what people want?,Very responsive = 1; Largely responsive = 2; Not very responsive = 3
Wave3,q116,q116. How widespread do you think corruption and bribe-taking are in your local/municipal government?  Would you say …?,Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2
Wave4,q116,116 How much do you feel that having elections makes the government pay attention to what the people think?,Missing = -1; A good deal = 1; Quite a lot = 2
Wave5,q116,116 People can join any organization they like without fear,Missing = -1; Strongly agree = 1; Somewhat agree = 2
Wave6,q116,116 How widespread do you think corruption and bribe-taking are in the national government?,Missing = -1; Not applicable = 0; Hardly anyone is involved = 1
Wave1,q116e,anyone you know personally witnessed ?,Personally = 1; Family member = 2; Friend = 3
Wave1,q117,Which comes closest to your own opinion?,Authoritarian government can be preferable = 1; Does not matter whether we have a non_or_democratic regime = 2; Democracy: preferable to any other kind of government = 3
Wave2,q117,How widespread do you think corruption and bribe-taking are in your local/municipal government?,Almost everyone is corrupt = 1; Most officials are corrupt = 2; Not a lot of officials are corrupt = 3
Wave3,q117,q117. How widespread do you think corruption and bribe-taking are in the national government [in capital city]?  Would you say …?,Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2
Wave4,q117,117 How widespread do you think corruption and bribe-taking are in your local/municipal government?,Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2
Wave5,q117,117 How often do government officials withhold important information from the public?,Missing = -1; Always = 1; Most of the time = 2
Wave6,q117,117 How effective is the government in cracking down on corruption?,Missing = -1; Not applicable = 0; Very effective = 1
Wave1,q118,Which comes closer to your own view?,Democracy can not solve our society's problems = 1; Democracy is capable of solving the problems of our society = 2; Don't know = 98
Wave2,q118,How widespread do you think corruption and bribe-taking are in the national government?,Almost everyone is corrupt = 1; Most officials are corrupt = 2; Not a lot of officials are corrupt = 3
Wave3,q118,"q118. In your opinion, is the government working to crack down on corruption and root out bribery?",Missing = -1; It is doing its best = 1; It is doing something = 2
Wave4,q118,118 How widespread do you think corruption and bribe-taking are in the national government?,Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2
Wave5,q118,118 How often do you think government leaders break the law or abuse their power?,Missing = -1; Always = 1; Most of the time = 2
Wave6,q118,118 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,Missing = -1; Not applicable = 0; Yes = 1
Wave1,q119,choose between democracy and economic development?,Economic development is definitely more important = 1; Economic development is somewhat more important = 2; Democracy is somewhat more important = 3
