wave,variable,label,type,value_labels_sample,n_rows
Wave1,country,Country,haven_labelled,Japan = 1; Hong Kong = 2; Korea = 3,12217
Wave1,q002,How would you describe the change in the economic condition of our country over the past five years?,haven_labelled,Much Worse = 1; A little Worse = 2; About the same = 3,12217
Wave1,q003,What do you think will be the state of our country's economic condition five years from now?,haven_labelled,Much Worse = 1; A little Worse = 2; About the same = 3,12217
Wave1,q004,"As for your own family, how do you rate your economic situation today?",haven_labelled,Very Bad = 1; Bad = 2; So so = 3,12217
Wave1,q005,How would you compare the current economic condition of your family with what it was five years ago?,haven_labelled,Much worse now = 1; A little worse now = 2; About the same = 3,12217
Wave1,q006,What do you think the economic situation of your family will be five years from now?,haven_labelled,Much Worse = 1; A little Worse = 2; About the same = 3,12217
Wave1,q007,How much trust do you have in the courts?,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q008,How much trust do you have in the national government?,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q009,How much trust do you have in political parties?,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q010,How much trust do you have in Parliament?,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q011,How much trust do you have in civil service?,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q012,How much trust do you have in the military?,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q013,How much trust do you have in the police?,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q014,How much trust do you have in local government?,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q015,How much trust do you have in newspapers?,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q016,How much trust do you have in television?,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q017,How much trust do you have in the election commission?,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q018,How much trust do you have in non-governmental organizations?,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q018_1,TRUST POLICE STATION,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q018_2,TRUST STATE OWNED ENTERPRISES,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q018_3,TRUST PRIVATE ENTERPRISES,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q018_4,TRUST FOREIGN ENTERPRISES,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q018_5,TRUST OUR COUNTRY,haven_labelled,Not sure = 0; None at all = 1; Not very much trust = 2,12217
Wave1,q018_6,how much trust in radio?,haven_labelled,none at all = 1; not very much trust = 2; quite a lot of trust = 3,12217
Wave1,q018_7,Local MP(q18_1),haven_labelled,none at all = 1; not very much trust = 2; quite a lot of trust = 3,12217
Wave1,q018_8,The Constitution Court(q18_2),haven_labelled,none at all = 1; not very much trust = 2; quite a lot of trust = 3,12217
Wave1,q018_9,The Corruption Commission(q18_3),haven_labelled,none at all = 1; not very much trust = 2; quite a lot of trust = 3,12217
Wave1,q022,How frequently do you participate?,haven_labelled,Never = 1; Rarely = 2; Sometimes = 3,12217
Wave1,q023,How often do you discuss politics?,haven_labelled,Never = 1; Rarely = 2; Sometimes = 3,12217
Wave1,q024,most people can be trusted??,haven_labelled,One can't be too careful in dealing with them = 1; Most people can be trusted = 2; Both = 3,12217
Wave1,q025,I have enough friends and connections so that I can get help if I need it,haven_labelled,Applies very well = 1; Applies pretty well = 2; Doesn't apply much = 3,12217
Wave1,q026,"I have some friends with influence, so I don't have to worry too much if I get into a tight spot",haven_labelled,Applies very well = 1; Applies pretty well = 2; Doesn't apply much = 3,12217
Wave1,q027,Have you participated in last election?,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q028,Which party did you vote for?,haven_labelled,Forgot = 96; Not applicable = 97; Don't know = 98,12217
Wave1,q029,Did you attend a campaign meeting or rally?,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q030,Did you try to persuade others to vote for a certain candidate or party?,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q031,Did you do anything else to help or show your support for a party or candidate running in the election?,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q032,Asked to vote for a particular candidate?_FAMILY MEMBER/RELATIVE,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q033,Asked following personally ask you to vote for a particular candidate?_SENIORS IN A CLAN OR EXTENDED FAMILY,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q034,Asked to vote for a particular candidate?_NEIGHBOR/FRIEND,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q035,Asked to vote for a particular candidate?_COMMUNITY LEADERS,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q036,Asked to vote for a particular candidate?_SUPERIOR AT WORK/SCHOOL,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q037,Asked to vote for a particular candidate?_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q038,Asked to vote for a particularcandidate?_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q039,Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q040,Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q041,Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q042,Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU DONT KNOW,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q043,Asked to vote for a particular candidate?_OTHERS,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q044,Influential_FAMILY MEMBER/RELATIVE,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q045,Influential_SENIORS IN A CLAN OR EXTENDED FAMILY,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q046,Influential_NEIGHBOR/FRIEND,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q047,Influential_COMMUNITY LEADERS,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q048,Influential_SUPERIOR AT WORK/SCHOOL,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q049,Influential_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q050,Influential_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q051,Influential_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q052,Influential_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q053,Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q054,Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU DON'T KNOW,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q055,Influential_OTHERS,haven_labelled,No = 1; Yes = 2; Not applicable = 97,12217
Wave1,q056,How interested would you say you are interested in politics?,haven_labelled,Not at all interested = 1; Not very interested = 2; Somewhat interested = 3,12217
Wave1,q057,How often do you follow news about politics?,haven_labelled,Practically never = 2; Not even once a week = 3; Once or twice a week = 4,12217
Wave1,q057a,"How often do you follow news about politics in the daily newspaper, television, and radio?",haven_labelled,Practically never = 2; Not even once a week = 3; Once or twice a week = 4,12217
Wave1,q058,How often do you follow news about politics in the daily newspaper?,haven_labelled,Practically never = 2; Not even once a week = 3; Once or twice a week = 4,12217
Wave1,q059,How often do you follow news about politics on television?,haven_labelled,Practically never = 2; Not even once a week = 3; Once or twice a week = 4,12217
Wave1,q060,How often do you follow news about politics on the radio?,haven_labelled,Practically never = 2; Not even once a week = 3; Once or twice a week = 4,12217
Wave1,q061,How much impact do you feel government policies have on your daily life?,haven_labelled,No impact at all = 1; A little impact = 2; Quite some impact = 3,12217
Wave1,q062,party feel closest to,haven_labelled,Don't know = 97; No answer = 98; Don't feel close to any political party = 99,12217
Wave1,q063,closeness,haven_labelled,Extent unknown = 0; Just a little close = 1; Somewhat close = 2,12217
Wave1,q064,"Even if parents' demands are unreasonable, children still should do what they ask?",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q065,"When hiring someone, even if a stranger is more qualified, the opportunity should still be given to relatives and friend",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q066,"When one has a conflict with a neighbor, the best way to deal with it is to accommodate the other person?",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q067,"Wealth and poverty, success and failure are all determined by fate?",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q068,A person should not insist on his own opinion if his co-workers disagree with him?,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q069,"For the sake of the family, the individual should put his personal interests second?",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q070,A man will lose face if he works under a female supervisor?,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q071,"If there is a quarrel, we should ask an elder to resolve the dispute?",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q072,"When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband sh",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q073,Contacted any government official to express your opinions?,haven_labelled,Once = 1; More than once = 2; Never done = 9,12217
Wave1,q074,Contacted officials to express your opinions at higher level?,haven_labelled,Once = 1; More than once = 2; Never done = 9,12217
Wave1,q075,contacted elected legislative representatives at any level?,haven_labelled,Once = 1; More than once = 2; Never done = 9,12217
Wave1,q076,Contacted political parties or other political organizations?,haven_labelled,Once = 1; More than once = 2; Never done = 9,12217
Wave1,q077,Contacted non-government/civil society organizations?,haven_labelled,Once = 1; More than once = 2; Never done = 9,12217
Wave1,q078,Contacted media to comment on something?,haven_labelled,Once = 1; More than once = 2; Never done = 9,12217
Wave1,q079,"Demonstrated, striken, or sat-in for something?",haven_labelled,Once = 1; More than once = 2; Never done = 9,12217
Wave1,q080,Contacted other people?,haven_labelled,Once = 1; More than once = 2; Never done = 9,12217
Wave1,q081,Did you do this alone or with others?_contacted government official,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q082,Did you do this alone or with others?_contacted officials at higher level,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q083,Did you do this alone or with others?_contacted elected legislative representatives at any level,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q084,Did you do this alone or with others?_contacted political parties or other political organizations,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q085,Did you do this alone or with others?_ contacted non-government/civil society organizations,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q086,Did you do this alone or with others?_contacted media,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q087,"Did you do this alone or with others?_demonstration, strike, sit-in",haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q088,Did you do this alone or with others?_contacted other people,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q089,Gift or dinner_contacted government,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q090,Gift or dinner_contacted officials at highter level,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q091,Gift or dinner_contacted elected legislative representatives,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q092,Gift or dinner_contacted political parties or other political organizations,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q093,Gift or dinner_contacted non-goverment/civil society organizations,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q094,Gift or dinner_contacted media,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q095,"Gift or dinner_demonstration, strike, sit-in",haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q096,Gift or dinner_contacted other people,haven_labelled,No = 1; Yes(with others) = 2; Not applicable = 97,12217
Wave1,q097_1,MEANING OF DEMOCRACY FIRST,haven_labelled,Evaluation = 1; Freedom = 2; Scepticism = 3,12217
Wave1,q097_2,MEANING OF DEMOCRACY SECOND,haven_labelled,Evaluation = 1; Freedom = 2; Scepticism = 3,12217
Wave1,q097_3,MEANING OF DEMOCRACY THIRD,haven_labelled,Evaluation = 1; Freedom = 2; Scepticism = 3,12217
Wave1,q098,Satisfaction with the way democracy works in our country?,haven_labelled,Not at all satisfied = 1; Not very satisfied = 2; Fairly satisfied = 3,12217
Wave1,q099,Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]?,haven_labelled,Complete dictatorship = 1; Complete democracy = 10; NOT APPLICABLE = 97,12217
Wave1,q100,Where would you place our country under the present government?,haven_labelled,Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97,12217
Wave1,q101,To what extent would you want our country to be democratic now?,haven_labelled,Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97,12217
Wave1,q102,Where do you expect our country to be in five years?,haven_labelled,Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97,12217
Wave1,q103,Do you think democracy is suitable for our country?,haven_labelled,Completely unsuitable = 1; Completely suitable = 10; Don't know = 98,12217
Wave1,q104,How satisfied or dissatisfied are you with the current government?,haven_labelled,Veryl dissatisfied = 1; Somewhat dissatisfied = 2; Somewhat satisfied = 3,12217
Wave1,q105,Everyone is free to say what they think- is better than before?,haven_labelled,Much worse = 1; Somewhat worse = 2; Much the same = 3,12217
Wave1,q106,Everyone is treated equally by the government- is better than before?,haven_labelled,Much worse = 1; Somewhat worse = 2; Much the same = 3,12217
Wave1,q107,People like me can have an influence on government- is better than before?,haven_labelled,Much worse = 1; Somewhat worse = 2; Much the same = 3,12217
Wave1,q108,Corruption in politics and government is under control- is better than before?,haven_labelled,Much worse = 1; Somewhat worse = 2; Much the same = 3,12217
Wave1,q109,The gap between the rich and the poor have narrowed- is better than before?,haven_labelled,Much worse = 1; Somewhat worse = 2; Much the same = 3,12217
Wave1,q110,Preventing crime and maintaining order- is better than before?,haven_labelled,Much worse = 1; Somewhat worse = 2; Much the same = 3,12217
Wave1,q111,Economic development- is better than before?,haven_labelled,Much worse = 1; Somewhat worse = 2; Much the same = 3,12217
Wave1,q112,Judges and courts are free from political interference- is better than before?,haven_labelled,Much worse = 1; Somewhat worse = 2; Much the same = 3,12217
Wave1,q113,You can join any organization you like- is better than before?,haven_labelled,Much worse = 1; Somewhat worse = 2; Much the same = 3,12217
Wave1,q114,How widespread corruption in your local/municipal government?,haven_labelled,Almost everyone is corrupt = 1; Most officials are corrupt = 2; Not a lot of officials are corrupt = 3,12217
Wave1,q115,How widespread corruption in the national government?,haven_labelled,Almost everyone is corrupt = 1; Most officials are corrupt = 2; Not a lot of officials are corrupt = 3,12217
Wave1,q116,anyone you know personally witnessed an act of corruption?,haven_labelled,Yes = 1; No = 2; Not Applicable = 97,12217
Wave1,q116e,anyone you know personally witnessed ?,haven_labelled,Personally = 1; Family member = 2; Friend = 3,12217
Wave1,q117,Which comes closest to your own opinion?,haven_labelled,Authoritarian government can be preferable = 1; Does not matter whether we have a non_or_democratic regime = 2; Democracy: preferable to any other kind of government = 3,12217
Wave1,q118,Which comes closer to your own view?,haven_labelled,Democracy can not solve our society's problems = 1; Democracy is capable of solving the problems of our society = 2; Don't know = 98,12217
Wave1,q119,choose between democracy and economic development?,haven_labelled,Economic development is definitely more important = 1; Economic development is somewhat more important = 2; Democracy is somewhat more important = 3,12217
Wave1,q120,Which comes closer to your own view?,haven_labelled, It is essential that the country remains one nation = 1; Parts of the country possibly be separate states = 2; Can't choose = 3,12217
Wave1,q121,We should get rid of parliament and elections and have a strong leader decide things,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q122,No opposition party should be allowed to compete for power,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q123,The military should come in to govern the country,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q124,We should get rid of parliament and elections and have the experts decide everything,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q125,"It is ok for the government to disregard the law in order to deal with the situation, when the country is facing a diffi",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q126,I have the ability to participate in politics,haven_labelled,Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,12217
Wave1,q127,Politics and government seems so complicated that a person like me can't really understand what is going on,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q128,The nation is run by a powerful few and ordinary citizens cannot do much about it,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q129,People like me don't have any influence over what the government does,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q130,Our form of government is still the best for us,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q131,You can generally trust the people who run our government to do what is right,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q132,People with little or no education should have as much say in politics as highly-educated people,haven_labelled,Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,12217
Wave1,q133,Government leaders are like the head of a family; we should all follow their decisions,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q134,The government should decide whether certain ideas should be allowed to be discussed in society,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q135,Harmony of the community will be disrupted if people organize lots of groups,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q136,"When judges decide important cases, they should accept the view of the executive branch",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q137,"If the government is constantly checked by the legislature, it cannot possibly accomplish great things",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q138,"If we have political leaders who are morally upright, we can let them decide everything",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q139,"If people have too many different ways of thinking, society will be chaotic",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q140,The government should maintain ownership of major state-owned enterprises,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q141,The national government should have more authority over local decisions than it does now,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q142,Our country should defend our way of life instead of becoming more and more like other countries,haven_labelled,Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,12217
Wave1,q143,"For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q144,"The state is like a big machine and the individual is but a small cog, with no independent status",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q145,The most important thing for a political leader is to accomplish his goals even if he has to ignore the established proc,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q146,"If a political leader really believes in his position, he should refuse to compromise regardless of how many people disa",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q147,A political leader should tolerate the views of those who challenge his political ideals,haven_labelled,Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,12217
Wave1,q147a,A political leader should not tolerate the views of those who challenge his political ideals,haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,q148,"As long as a political leader enjoys majority support, he should implement his own agenda and disregard the view of the",haven_labelled,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,12217
Wave1,ir001,Interviewer_s number,haven_labelled,No Answer = 9999,12217
Wave1,ir002,Is this the first questionnaire the interviewer have completed?,haven_labelled,yes = 1; no = 2; No Answer = 99,12217
Wave1,ir002a,Interviewer_s gender,haven_labelled,male = 1; female = 2; Not Applicable = 97,12217
Wave1,ir002b,Interviewer_s age,haven_labelled,Not Applicable = 97; No Answer = 99,12217
Wave1,ir003,Presence of others other than the respondent while interviewing,haven_labelled,yes = 1; no = 2; No record = 9,12217
Wave1,ir004,Has the respondent ever refused to be interviewed during the whole process?,haven_labelled,Yes_Right at the beginning of the interview = 1; Yes_In the middle of the interview = 2; Yes_Towards the end of the interview = 3,12217
Wave1,ir005,Has the respondent ever felt impatient during the interview?,haven_labelled,Never = 1; Occasionally = 2; Sometimes = 3,12217
Wave1,ir006,How cooperative was the respondent during the interview?,haven_labelled,Highly cooperative = 1; Fairly cooperative = 2; Not very cooperative = 3,12217
Wave1,ir007_1,date of interview: month,haven_labelled,1 = 1; 2 = 2; 3 = 3,12217
Wave1,ir007_2,date of interview: day,haven_labelled,1 = 1; 2 = 2; 3 = 3,12217
Wave1,ir007_3,date of interview: year,haven_labelled,2001 = 2001; 2002 = 2002; 2003 = 2003,12217
Wave1,ir009,Was the interview conducted with the assisance of an interpreter,haven_labelled,Yes = 1; No = 2; No Answer = 99,12217
Wave1,ir010a,What is the condition of the road leading to interview's residence,haven_labelled," WIDE ENOUGH FOR CAR AND PAVED WITH ASPHALT,CEMENT OR MAN-MA = 1;  NOT WIDE ENOUGH FOR CAR BUT PAVED WITH ASPHALT,CEMENT OR MA = 2; Paved with stone = 3",12217
Wave1,ir010b,How do rate the sanitary condition in the public area in the interviewee's nearby neighborhood,haven_labelled,Very bad = 1; Somewhat bad = 2; So so = 3,12217
Wave1,ir010c,Tell us whetherthe interviewee's residence has public water supply,haven_labelled,Yes = 1; No = 2; No Answer = 99,12217
Wave1,ir010d,Tell us whetherthe interviewee's residence has electricity,haven_labelled,Yes = 1; No = 2; No Answer = 99,12217
Wave1,ir010e,Walking distance between the nearest public transportation stop and the respondent's house,haven_labelled,Less than 10 minutes by walking = 1; Less than 20 minutes = 2; Less than 40 minutes = 3,12217
Wave1,w_jp,weight,numeric,NA,12217
Wave1,w_hk,weight for age (recommended),numeric,NA,12217
Wave1,w_kr,weight,numeric,NA,12217
Wave1,w_cn,NA,numeric,NA,12217
Wave1,w_mo,"weight for sex, age, region",numeric,NA,12217
Wave1,w_ph,weight,numeric,NA,12217
Wave1,w_tw,weight,numeric,NA,12217
Wave1,w_th,weight,numeric,NA,12217
Wave1,w_all,NA,numeric,NA,12217
Wave2,country,Country Code,haven_labelled,Japan = 1; Hong Kong = 2; Korea = 3,19798
Wave2,idnumber,Interview Numbers,numeric,NA,19798
Wave2,level3,Urban-rural,haven_labelled,Urban = 1; Rural = 2; No registration = 3,19798
Wave2,q1,How would you rate the overall economic condition of our country today?,haven_labelled,Very bad = 1; Bad = 2; So so (not good nor bad) = 3,19798
