variable,n_waves,waves_present,labels
q118,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","Which comes closer to your own view? | How widespread do you think corruption and bribe-taking are in the national government? | q118. In your opinion, is the government working to crack down on corruption and root out bribery? | 118 How widespread do you think corruption and bribe-taking are in the national government? | 118 How often do you think government leaders break the law or abuse their power? | 118 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?"
q120,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","Which comes closer to your own view? | In your opinion, is the government working to crackdown corruption and root out bribes? | q120. Remember the scale that we used before: 1 means completely undemocratic and 10 means completely democratic. Where would you place China today on this scale? | 120 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? | 120 To what extent is the legislature capable of keeping government leaders in check? | 120 Where would you place China today on this scale?"
q121,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",We should get rid of parliament and elections and have a strong leader decide things | Which of the following statements comes closest to your own opinion? | q121. Where would you place the United States today on this scale? | 121 Where would you place China today on this scale? | 121 How well do you think the government responds to what people want? | 121 Where would you place the United States of America today on this scale?
q122,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",No opposition party should be allowed to compete for power | Which of the following statements comes closer to your own view? | q122. Where would you place Japan today on this scale? | 122 Where would you place the United States today on this scale? | 122 How much do you feel that having elections makes the government more responsive to people's needs | 122 Where would you place Japan today on this scale?
q123,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","The military should come in to govern the country | If you had to choose between democracy and economic development, which would you say is more important? | q123. Where would you place India today on this scale? | 123 Where would you place Japan on this scale? | 123 How capable is the government of enforcing laws and implementing policies? | 123 Where would you place India today on this scale?"
q124,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",We should get rid of parliament and elections and have the experts decide everything | We should get rid of parliament and elections and have a strong leader decide things | q124. Which of the following statements comes closest to your own opinion? | 124 Where would you place India on this scale? | 124 How widespread do you think corruption and bribe-taking are in your local/municipal government? | 124 Which of the following statements comes closest to your own opinion?
q125,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","It is ok for the government to disregard the law in order to deal with the situation, when the country is facing a diffi | Only one political party is allowed to stand for election and hold office | q125. Which of the following statements comes closer to your own view? | 125 Which of the following statements comes closest to your own opinion? | 125 How widespread do you think corruption and bribe-taking are in the national government? | 125 Which of the following statements comes closer to your own view?"
q126,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","I have the ability to participate in politics | The army should come in to govern the country | q126. If you had to choose between democracy and economic development, which would you say is more important? | 126 Which of the following statements comes closer to your own view? | 126 How effective is the government in cracking down on corruption? | 126 If you had to choose between democracy and economic development, which would you say is more important?"
q127,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","Politics and government seems so complicated that a person like me can't really understand what is going on | I think I have the ability to participate in politics | q127. If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important? | 127 If you had to choose between democracy and economic development, which would you say is more important? | 127 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? | 127 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?"
q128,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","The nation is run by a powerful few and ordinary citizens cannot do much about it | Sometimes politics and government seems so complicated that a person like me can't really understand what is going on | q128. Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government."" | 128 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important? | 128 Where would you place China today on this scale? | 128 Do you agree or disagree with the following statement: 'Democracy may have its problems, but it is still the best form of government's?"
q129,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","People like me don't have any influence over what the government does | Whatever its faults may be, our form of government is still the best for us | q129. There are many ways to govern a country. Would you disapprove or approve of the following alternatives? For each statement, would you say you strongly approve, approve, disapprove, or strongly disapprove? We should get rid of parliament and election | 129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". | 129 Where would you place the United States today on this scale? | 129 We should get rid of parliament and elections and have a strong leader to decide things."
q130,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Our form of government is still the best for us | You can generally trust the people who run our government to do what is right (HK: Hong Kong government) | q130. Only one political party should be allowed to stand for election and hold office. | 130 We should get rid of parliament and elections and have a strong leader decide things. | 130 Where would you place Japan today on this scale? | 130 Only one political party is allowed to stand for election and hold office.
q131,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","You can generally trust the people who run our government to do what is right | Generally speaking, we can trust the local government officials to do the right things | q131. The army (military) should come in to govern the country. | 131 Only one political party should be allowed to stand for election and hold office. | 131 Where would you place India today on this scale? | 131 The army (military) should come in to govern the country."
q132,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",People with little or no education should have as much say in politics as highly-educated people | Which of these two statements comes closer to your own view | q132. We should get rid of elections and parliaments and have experts make decisions on behalf of the people. | 132 The army (military) should come in to govern the country. | 132 Which of the following statements comes closest to your own opinion? | 132 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.
q133,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","Government leaders are like the head of a family; we should all follow their decisions | People with little or no education should have as much say in politics as highly-educated people | q133. I have here some statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? I think I have the ability to participate in politics. | 133 We should get rid of elections and parliaments and have experts make decisions on behalf of the people. | 133 Which of the following statements comes closer to your own view? | 133 I think I have the ability to participate in politics."
q134,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","The government should decide whether certain ideas should be allowed to be discussed in society | Government leaders are like the head of a family; we should all follow their decisions | q134. Sometimes politics and government seems so complicated that a person like me can't really understand what is going on. | 134 I think I have the ability to participate in politics. | 134 If you had to choose between democracy and economic development, which would you say is more important? | 134 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on."
q135,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","Harmony of the community will be disrupted if people organize lots of groups | The government should decide whether certain ideas should be allowed to be discussed in society | q135. People like me don't have any influence over what the government does. | 135 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on. | 135 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important? | 135 People like me don't have any influence over what the government does."
q136,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","When judges decide important cases, they should accept the view of the executive branch | Harmony of the community will be disrupted if people organize lots of groups | q136. You can generally trust the people who run our government to do what is right. | 136 People like me don't have any influence over what the government does. | 136 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". | 136 You can generally trust the people who run our government to do what is right."
q137,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","If the government is constantly checked by the legislature, it cannot possibly accomplish great things | When judges decide important cases, they should accept the view of the executive branch | q137. A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done. | 137 You can generally trust the people who run our government to do what is right. | 137 We should get rid of parliament and elections and have a strong leader decide things. | 137 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done."
q138,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","If we have political leaders who are morally upright, we can let them decide everything | If the government is constantly checked by the legislature, it cannot possibly accomplish great things | q138. I have here other statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? The government should consult religious authorities when interpreting the laws. | 138 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done. | 138 Only one political party should be allowed to stand for election and hold office | 138 Have you or your family members previously contracted the Covid-19 virus?"
q140,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","The government should maintain ownership of major state-owned enterprises | If people have too many different ways of thinking, society will be chaotic | q140. People with little or no education should have as much say in politics as highly-educated people. | 140 The government should consult religious authorities when interpreting the laws | 140 We should get rid of elections and parliaments and have experts make decisions on behalf of the people. | 140 Thinking of the negative impact of Covid-19 on your family's livelihood, how serious it is in your view?"
q141,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","The national government should have more authority over local decisions than it does now | When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation | q141. Government leaders are like the head of a family; we should all follow their decisions. | 141 People with little or no education should have as much say in politics as highly-educated people | 141 I think I have the ability to participate in politics | 141 How much do you trust the Covid-19 related information provided by the government?"
q142,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Our country should defend our way of life instead of becoming more and more like other countries | The government should maintain ownership of major state-owned enterprises | q142. The government should decide whether certain ideas should be allowed to be discussed in society. | 142 Government leaders are like the head of a family; we should all follow their decisions | 142 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on | 142 How well or badly do you think the government handled the pandemic?
q144,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","The state is like a big machine and the individual is but a small cog, with no independent status | Our country should defend our way of life instead of becoming more and more like other countries | q144. When judges decide important cases, they should accept the view of the executive branch. | 144 Harmony of the community will be disrupted if people organize lots of groups | 144 You can generally trust the people who run our government to do what is right | 144 Have you been vaccinated against Covid-19?"
q145,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","The most important thing for a political leader is to accomplish his goals even if he has to ignore the established proc | In order to preserve social justice, the government should prevent the gap between rich and poor from growing any larger | q145. If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things. | 145 When judges decide important cases, they should accept the view of the executive branch | 145 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done. | 145 Why do you prefer not to be vaccinated against Covid-19?"
q146,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","If a political leader really believes in his position, he should refuse to compromise regardless of how many people disa | Our country should become more self-sufficient and less reliant on trade with other countries | q146. If we have political leaders who are morally upright, we can let them decide everything. | 146 If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things | 146 Women should not be involved in politics as much as men | 146 I have here other statements: Women should not be involved in politics as much as men"
q147,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","A political leader should tolerate the views of those who challenge his political ideals | Let us suppose that you had to choose between being a..... which of these do you feel most strongly attached to | q147. If people have too many different ways of thinking, society will be chaotic. | 147 If we have political leaders who are morally upright, we can let them decide everything | 147 The government should consult religious authorities when interpreting the laws | 147 The government should consult religious authorities when interpreting the laws."
q148,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","As long as a political leader enjoys majority support, he should implement his own agenda and disregard the view of the | These people should have the equal right to do whatever they want to do as other citizens | q148. When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation. | 148 If people have too many different ways of thinking, society will be chaotic | 148 People with little or no education should have as much say in politics as highly-educated people | 148 People with little or no education should have as much say in politics as highly-educated people."
q1,5,"Wave2, Wave3, Wave4, Wave5, Wave6",How would you rate the overall economic condition of our country today? | q1. How would you rate the overall economic condition of our country today?  Is it … | 1. How would you rate the overll economic condition of our country today? | 1. How would you rate the overall economic condition of our country today? | 1 How would you rate the overall economic condition of our country today?
q10,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Trust in Political parties | q10. Political parties [not any specific party] | 10 Political parties | 10 Political parties[not any specific party] | 10 Political parties [not any specific party]
q11,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Trust in Parliament | q11. Parliament | 11 Parliament
q119,5,"Wave1, Wave2, Wave3, Wave4, Wave5","choose between democracy and economic development? | Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? | q119. Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? IF WITNESSED: Did you personally witness it or were you told about it by a family member or friend who per | 119 In your opinion, is the government working to crack down on corruption and root out bribery? | 119 How often do you think our elections offer the voters a real choice between different parties/candidates?"
q12,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Trust in Civil service | q12. Civil service | 12 Civil service | 12 Civil Service
q13,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Trust in the military(or armed forces) | q13. The military(or armed forces) | 13 The military | 13 The military or armed force | 13 The military or armed forces
q139,5,"Wave1, Wave2, Wave3, Wave4, Wave5","If people have too many different ways of thinking, society will be chaotic | If we have political leaders who are morally upright, we can let them decide everything | q139. Women should not be involved in politics as much as men. | 139 Women should not be involved in politics as much as men | 139 The army (military) should come in to govern the country"
q14,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Trust in the police | q14. The police | 14 The police
q143,5,"Wave1, Wave2, Wave3, Wave4, Wave5","For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest | The local government should have more authority over local decisions than it does now | q143. Harmony of the community will be disrupted if people organize lots of groups. | 143 The government should decide whether certain ideas should be allowed to be discussed in society | 143 People like me don`t have any influence over what the government does"
q149,5,"Wave2, Wave3, Wave4, Wave5, Wave6","They should enjoy the same right as other citizens to vote in the election of the top leader | q149. How closely do you follow major events in foreign countries / the world? | 149 When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation | 149 Government leaders are like the head of a family; we should all follow their decisions | 149 Government leaders are like the head of a family; we should all follow their decisions."
q15,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Trust in local government | q15. Local government | 15 Local government
q150,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Their basic well-being should be taken care of by the government to the same extent as other citizens | q150. How often do you watch or listen to foreign programs (television, DVDs, movies, radio)? | 150 How closely do you follow major events in foreign countries/ the world? | 150 The government should decide whether certain ideas should be allowed to be discussed in society | 150 The government should decide whether certain ideas should be allowed to be discussed in society."
q151,5,"Wave2, Wave3, Wave4, Wave5, Wave6",A citizen who does not actively participate in the affairs of his local and national community is not performing his duties | q151. Our country should defend our way of life instead of becoming more and more like other countries. | 151 Our country should defend our way of life instead of becoming more and more like other countries. | 151 Harmony of the community will be disrupted if people organize lots of groups | 151 Harmony of the community will be disrupted if people organize lots of groups.
q152,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Citizens should always obey laws and regulations, even if they disagree with them | q152. Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods."" | 152 Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods."" | 152 When judges decide important cases, they should accept the view of the executive branch | 152 When judges decide important cases, they should accept the view of the executive branch."
q153,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Do you agree or disagree with the following statement: ""A citizen should always remain loyal only to his country, no matter how imperfect | q153. Do you agree or disagree with the following statement: ""Foreign goods are hurting the local community."" | 153 Do you think the government should increase or decrease the inflow of foreign immigrants into the country? | 153 If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things | 153 If the government is constantly checked by the legislature, it cannot possibly accomplish great things."
q154,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How proud are you to be a citizen of [Country] | q154. How proud are you to be a citizen of (COUNTRY)? | 154 Which of these statements comes closer to your view? | 154 If we have political leaders who are morally upright, we can let them decide everything | 154 If we have political leaders who are morally upright, we can let them decide everything."
q155,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Given the chance, how willing would you be to go and live in another country? | q155. Given the chance, how willing would you be to go and live in another country? | 155 How fair do you think income distribution is in the country? | 155 If people have too many different ways of thinking, society will be chaotic | 155 If people have too many different ways of thinking, society will be chaotic."
q156,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Relation: The European Community or European Union | q156. Which country has the most influence in Asia? | 156 It is the responsibility of the government to reduce the differences between people with high income and those with low incomes. | 156 Which of the following statements do you agree with the most? distinct way of life vs. learning from other countries | 156 Choose one statement.
q157,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Relation: The United Nations or UN | q157. Does (answer in Q156) do more good or harm to the region? Ask Q157a if the answer in Q156 is not China, otherwise skip to Q158 | 157 How concerned are you about the loss of your major source of income within the next 12 months? | 157 Which of the following statements do you agree with the most? limit or import of foreign goods | 157 Choose one statement."
q158,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Relation: International Monetary Fund or IMF | q158. In ten years, which country will have the most influence in Asia? | 158 The following is a hypothetical question: If you were unfortunate enough to lose your main source of income, how serious would it be for you and your family? | 158 Do you think the government should increase or decrease the inflow of foreigners who come to work in our country? | 158 Do you think the government should increase or decrease the inflow of foreign immigrants into the country."
q159,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Relation: World Bank | q159. Which country should be a model for our own country's future development? | 159 Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair-4 categories? | 159 How fair do you think income distribution is in the country? | 159 How fair do you think income distribution in Mongolia"
q16,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Trust in newspaper | q16. Newspapers | 16 Newspaper | 16 The election commission
q161,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Impression: The United Nations or UN | q161. General speaking, the influence China has on our country is? | 161 How proud are you to be a citizen of the country? Are you? | 161 How worried are you that your family might lose its major source of income within the next 12 months?"
q17,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Trust in television | q17. Television | 17 Television | 17 Non-government organizations or NGOs
q18,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Trust in the election commission(Singapore: International TV) | q18. The election commission [specify institution by name] <Optional> | 18 The election commission | 18. Name of the organization you belong to. First | 18 Name of the organization you belong to. First
q19,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Trust in NGOs | q19. Non-governmental organizations or NGOs <Optional> | 19 Non-government organizations or NGOs | 19. Name of the organization you belong to. Second | 19 Name of the organization you belong to. Second
q2,5,"Wave2, Wave3, Wave4, Wave5, Wave6",How would you describe the change in the economic condition of our country over the last years? | q2. How would you describe the change in the economic condition of our country over the last few years | 2. How would you dsecribe the change in the economic condition of our country over the last few years? | 2 How would you describe the change in the economic condition of our country over the last few years?
q20,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Are you a member of any organization or formal groups? | q20. Could you identity the three most important organizations or formal groups you belong to. First Organization | 20. Name of the organization you belong to. First | 20. Name of the organization that you belong to. Third | 20 Name of the organization that you belong to. Third
q23,5,"Wave2, Wave3, Wave4, Wave5, Wave6","General speaking, would you say ""Most people can be trusted"" or ""that you must be very careful""? | q23. General speaking, would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""? | 23 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""? | 23 Do you agree with the statement that 'most people are trustworthy?'"
q24,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How much trust do you have in your relatives? | q24. Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair? (NEW) | 24. Do you ageee with the statement 'Most people are trustworthy' | 24 How much trust do you have in each of the following types of people? Your relatives"
q25,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How much trust do you have in your neighbors? | q25. How much trust do you have in each of the following types of people?   Your relatives | 25 Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair? | 25 Trust in your neighbors"
q26,5,"Wave2, Wave3, Wave4, Wave5, Wave6",How much trust do you have in other people you interact with? | q26. Your neighbors | 26. How much do you trust your relatives? | 26 Trust in other people you interact with
q27,5,"Wave2, Wave3, Wave4, Wave5, Wave6","On average, about how many people do you have contact with in a typical week day? | q27. Other people you interact with | 27. Trust your neighbors | 27 Trust in people you meet for the first time"
q28,5,"Wave2, Wave3, Wave4, Wave5, Wave6","How often are you asked to help influence important decisions in other people's favor? | q28. On average, about how many people do you have contact with in a typical week day?  We are interested in contact on a one-on-one basis, including everyone with whom you chat, talk, or discuss matters.  This can be face to face, by telephone, by mail, | 28. Trust other people you interact with | 28 How many people do you have contact within a typical week day? | 28 How many people do you have contact with in a typical week day?"
q29,5,"Wave2, Wave3, Wave4, Wave5, Wave6","And are there people you could ask to help influence important decisions in your favor? | q29. If you have a difficult problem to manage, are there people outside your household you can ask for help? (NEW) | 29. How many people do you have contact within a typical week day? | 29 Which of the following best describes your relations with most of your social contacts?"
q3,5,"Wave2, Wave3, Wave4, Wave5, Wave6",What do you think will be the state of our country's economic condition a few years from now? | q3. What do you think will be the state of our country's economic condition a few years from now? Will it be … | 3. What do you think will be the state of our country's economic condition a few years from now? | 3 What do you think will be the state of our country's economic condition a few years from now?
q30,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Do you agree or disagree with the following statement: By helping people in trouble today, someone else will help me when I am in trouble someday. | q30. When people outside your household have problems, do they come to you for help? (NEW) | 30. If you have a difficult problem to manage, are there people outside your household you can ask for help? | 30 Among these people you have frequent contacts, which of the following best describes the political views of these people?"
q31,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Would you have a hard time conversing with your friends or co-workers about politics if you had differing opinions? | q31. If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them? (NEW) | 31. When people outside your household have problems, do they come to you for help? | 31 If you have a difficult problem to manage, are there people outside your household you can ask for help?"
q32,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Generally speaking, how safe is living in this city/town/village? | q32. In talking to people about elections, we often find that a lot of people were not able to vote because they were away from home, they were sick or they just didn't have time. How about you? Did you vote in the election [the most recent national elect | 32 If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them?"
q33,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Compared to the situation in this city/town/village a few years ago, do you feel more safe, less safe or the same as before? | q33. Which parties (or candidates for president if it was presidential race) did you vote for? [country-specific response grid] | 33 Did you vote in the last national election? | 33 Did you vote in the national election?"
q34,5,"Wave2, Wave3, Wave4, Wave5, Wave6","Have you been a victim of car, motorcycle or bicycle theft? | q34. Thinking about the national election in [year], did you attend a campaign meeting or rally? | 34 Which parties or candidates did you vote for?"
q35,5,"Wave2, Wave3, Wave4, Wave5, Wave6",Have you been a victim of pick-pocketing/robbery of personal property? | q35. try to persuade others to vote for a certain candidate or party? | 35. Did you attend a campaign meeting or rally? | 35. Did you attend a campaign meeting or rally in the last national election? | 35 Did you attend a campaign meeting or rally in the last national election?
