variable,label,Wave1,Wave2,Wave3,Wave4,Wave5,Wave6
SE14A,se14a Does the total income of your household allow you to satisactorily cover your needs?,,,,,✓,
SE14a,SE14a Does the total income of your household allow you to satisfactorily cover your needs?,,,,,,✓
SE15A,Se15a Do you or your fmaily own the following?Car/Jeep/Van,,,,,✓,
SE15B,Se15b Tractor,,,,,✓,
SE15C,Se15c Color or B/W Television,,,,,✓,
SE15D,Se15d Cable Televsion,,,,,✓,
SE15E,Se15e Scooter/Motorcycle/Moped,,,,,✓,
SE15F,Se15f Telephone,,,,,✓,
SE15G,Se15g Mobile Telephone,,,,,✓,
SE15H,Se15h Electric fan/cooler,,,,,✓,
SE15I,Se15i Bicycle,,,,,✓,
SE15J,Se15j Radio/transistor,,,,,✓,
SE15K,Se15k Pumping set,,,,,✓,
SE15L,Se15l Fridge,,,,,✓,
SE15M,Se15m Camera,,,,,✓,
SE15N,Se15n Goats/Sheep,,,,,✓,
SE15O,Se15o Cows/Buffalo,,,,,✓,
SE15a,SE15a Do you or your family own the following: Car/Jeep/Van?<optional>,,,,,,✓
SE15a_1,SE15a_1 How many?<optional>,,,,,,✓
SE15b,SE15b Tractor<optional>,,,,,,✓
SE15c,SE15c Color or B/W Television (Non-Cable)<optional>,,,,,,✓
SE15d,SE15d Cable Television<optional>,,,,,,✓
SE15e,SE15e Scooter/Motorcycle/Moped<optional>,,,,,,✓
SE15f,SE15f Telephone (Landline)<optional>,,,,,,✓
SE15g,SE15g Mobile Telephone<optional>,,,,,,✓
SE15h,SE15h Electric Fan/Cooler<optional>,,,,,,✓
SE15i,SE15i Bicycle<optional>,,,,,,✓
SE15j,SE15j Radio/Transistor<optional>,,,,,,✓
SE15k,SE15k Pumping Set<optional>,,,,,,✓
SE15l,SE15l Fridge<optional>,,,,,,✓
SE15m,SE15m Camera<optional>,,,,,,✓
SE15n,SE15n Goats/Sheep<optional>,,,,,,✓
SE15n_1,SE15n_1 How many?<optional>,,,,,,✓
SE15o,SE15o Cows/Buffalo<optional>,,,,,,✓
SE15o_1,SE15o_1 How many?<optional>,,,,,,✓
SE15p,SE15p Internet Connection at home<optional>,,,,,,✓
SE15q,SE15q Boat<optional>,,,,,,✓
SE15q_1,SE15q_1 How many?<optional>,,,,,,✓
SE2,se2 Gender,,,,,✓,
SE2,SE2 Gender,,,,,,✓
SE3,se3 Birth year,,,,,✓,
SE3,SE3 Birth year,,,,,,✓
SE3_1,se3_1 Actual age,,,,,✓,
SE3_1,SE3_1 Actual age,,,,,,✓
SE4,se4 Marital status,,,,,✓,
SE4,SE4 MARITAL STATUS,,,,,,✓
SE5,se5 Education,,,,,✓,
SE5,SE5 EDUCATION,,,,,,✓
SE5A,se5a How many year of formal education you have received?,,,,,✓,
SE5a,SE5a How many years of formal education you have received?,,,,,,✓
SE6,se6 Religion,,,,,✓,
SE6,SE6 Religion,,,,,,✓
SE6other,SE6. Other specify responses,,,,,,✓
SE7,se7 Religiosity,,,,,✓,
SE7,SE7 RELIGIOSITY: About how often do you practice religious services or rituals these days?,,,,,,✓
SE7A,"se7a Would you describe yourself as very religious, moderately religious, lightly religious, not religious at all?",,,,,✓,
SE7a,SE7a How would you describe yourself?,,,,,,✓
SE8A,se8a How many people live in this household?,,,,,✓,
SE8B,se8b How many generations of family members live in this household?,,,,,✓,
SE8a,SE8a How many people live in this household?,,,,,,✓
SE8b,SE8b How many generations of family members live in this household?,,,,,,✓
SE9,se9 Are you current employed?,,,,,✓,
SE9,SE9 Are you currently employed?,,,,,,✓
SE9A,"se9a Are you current self-employed, working in a family business or an outside employer?",,,,,✓,
SE9B,se9b How many people does your business employ?,,,,,✓,
SE9C,se9c What is your job title (ISCO code),,,,,✓,
SE9D,se9d Are you currently seeking employment?,,,,,✓,
SE9E,se9e What is your current status?,,,,,✓,
SE9a,SE9a Are you currently self-employed?,,,,,,✓
SE9b,SE9b How many people does your business employ?,,,,,,✓
SE9c,SE9c Here is a list of different types of jobs. Which type of job do you have now?,,,,,,✓
SE9d,SE9d Are you currently seeking employment?,,,,,,✓
SE9e,SE9e What is your current status?,,,,,,✓
SE9eother,SE9e. Other specify responses,,,,,,✓
Se10c_2,se10c_2 What is his/her job title (EGP class),,,,,✓,
Se10c_3,se10c_3 Extended application. Elite vs. Mass,,,,,✓,
Se10c_3,SE10c_3 Extended application. Elite vs. Mass,,,,,,✓
Se10c_4,se10c_4 Extended application. White vs. blue collar,,,,,✓,
Se10c_4,SE10c_4 Extended application. White vs. blue collar,,,,,,✓
Se11,se11 What language do you speak the most in the home?,,,,,✓,
Se11a,se11a What is your racial or ethnic background?,,,,,✓,
Se9c_2,se9c_2 What is your job title (EGP class),,,,,✓,
Se9c_3,se9c_3 Extended application. Elite vs. Mass,,,,,✓,
Se9c_3,SE9c_3 Extended application. Elite vs. Mass,,,,,,✓
Se9c_4,se9c_4 Extended application. White vs. blue collar,,,,,✓,
Se9c_4,SE9c_4 Extended application. White vs. blue collar,,,,,,✓
W,weight_factor,,,,,,✓
YEAR,Interview year,,,,,,✓
Year,Interview year,,,,,✓,
allweight,individual country weight,,,✓,,,
country,Country,✓,,,,,
country,Country Code,,✓,✓,,,
country,Country code,,,,✓,,
couweight,cross-country weight,,,✓,,,
fg,fg. Whether the respondent is a member of formal organization,,,,✓,,
fgnum,number of formal group,✓,,,,,
fgnum,Number of formal group,,✓,,,,
idnumber,idnumber,✓,,,,,
idnumber,Interview Numbers,,✓,,,,
idnumber,case number,,,✓,✓,,
ir001,Interviewer_s number,✓,,,,,
ir002,Is this the first questionnaire the interviewer have completed?,✓,,,,,
ir002a,Interviewer_s gender,✓,,,,,
ir002b,Interviewer_s age,✓,,,,,
ir003,Presence of others other than the respondent while interviewing,✓,,,,,
ir004,Has the respondent ever refused to be interviewed during the whole process?,✓,,,,,
ir005,Has the respondent ever felt impatient during the interview?,✓,,,,,
ir006,How cooperative was the respondent during the interview?,✓,,,,,
ir007_1,date of interview: month,✓,,,,,
ir007_2,date of interview: day,✓,,,,,
ir007_3,date of interview: year,✓,,,,,
ir009,Was the interview conducted with the assisance of an interpreter,✓,,,,,
ir010a,What is the condition of the road leading to interview's residence,✓,,,,,
ir010b,How do rate the sanitary condition in the public area in the interviewee's nearby neighborhood,✓,,,,,
ir010c,Tell us whetherthe interviewee's residence has public water supply,✓,,,,,
ir010d,Tell us whetherthe interviewee's residence has electricity,✓,,,,,
ir010e,Walking distance between the nearest public transportation stop and the respondent's house,✓,,,,,
ir1,IR1. Interviewer's number,,,✓,,,
ir1,ir1 Interviewer's number,,,,✓,,
ir10,IR10. Language in which interview was conducted,,,✓,,,
ir10,ir10 Language in which interview was conducted,,,,✓,,
ir10a,Was the interview conducted with the assistance of an interpreter?,,✓,,,,
ir10a,IR10a. Was the interview conducted with the assistance of an interpreter?,,,✓,,,
ir10a,ir10a Was the interview conducted with the assistance of an interpreter?,,,,✓,,
ir11a,IR11a. What is the condition of the road leading to interviewee's residence?,,,✓,,,
ir11a,ir11a What is the condition of the road leading to interviewee's residence?,,,,✓,,
ir11b,IR11b. Please identify the main source of drinking water in the household?,,,✓,,,
ir11b,ir11b Is there tape water in the household?,,,,✓,,
ir11b_2,ir11b_2 Please identify the main source of drinking water in the household?,,,,✓,,
ir11c,IR11c. Is electricity the main source of lighting in the house?,,,✓,,,
ir11c,ir11c Is electricity the main source of lighting in the house?,,,,✓,,
ir11d,"IR11d. In terms of walking distance, how far is it between the nearest public transportation stop (bus, train, ferry, tram, etc) and the respondent's house?",,,✓,,,
ir11d,ir11d Is this neighborhood covered by mobil phone network?,,,,✓,,
ir11e,"ir11e In terms of walking distance, how far is it between the nearest public transportation stop (bus, train, ferry, tram, etc.) and the respondent's house?",,,,✓,,
ir12,"IR12. Were the following services present within the neighborhood (i.e., within walking or easy driving distance).Estimate the distance of these services by:",,,✓,,,
ir12,"ir12 Were the following services present within the neighborhood, estimate the distance of services by ..",,,,✓,,
ir12a,What is the condition of the road leading to the interviewee's residence?,,✓,,,,
ir12a,IR12a. Post-office,,,✓,,,
ir12a,ir12a. Post-office,,,,✓,,
ir12b,Is tap water the main source of drinking water?,,✓,,,,
ir12b,IR12b. School,,,✓,,,
ir12b,ir12b. School,,,,✓,,
ir12c,Is electricity the main source of lighting?,,✓,,,,
ir12c,IR12c. Police station,,,✓,,,
ir12c,ir12c. Police station,,,,✓,,
ir12d,How far is it between the nearest public transportation stop and the respondent's house?,,✓,,,,
ir12d,IR12d. Sewerage system that most houses could access,,,✓,,,
ir12d,ir12d. Sewerage system that most houses could access,,,,✓,,
ir12e,IR12e. Health clinic,,,✓,,,
ir12e,ir12e. Health clinic,,,,✓,,
ir12f,IR12f. Signal for cellular phone,,,✓,,,
ir12f,ir12f. Signal for cellular phone,,,,✓,,
ir12g,"IR12g. Recreational facilities, e.g., a sports field",,,✓,,,
ir12g,"ir12g. Recreational facilities, e.g., a sports field",,,,✓,,
ir12h,"IR12h. Any churches, mosques, temples or other public places of worship",,,✓,,,
ir12h,"ir12h. Any churches, mosques, temples or other public places of worship",,,,✓,,
ir12i,IR12i. Any town halls or community buildings that can be used for meetings,,,✓,,,
ir12i,ir12i. Any town halls or community buildings that can be used for meetings,,,,✓,,
ir12j,ir12j. Market stalls (selling groceries and/or clothing),,,,✓,,
ir12k,IR12k. Market stalls (selling groceries and/or clothing),,,✓,,,
ir13,IR13. Which of the following levels within the country the respondent live?,,,✓,,,
ir13,ir13 Which of the following levels within the country the respondent live?,,,,✓,,
ir13a,A.  Post-office,,✓,,,,
ir13b,B.  School,,✓,,,,
ir13d,D.  Sewerage system that most houses could access,,✓,,,,
ir13e,E.  Health clinic,,✓,,,,
ir13f,F.  Signal for cellular phone,,✓,,,,
ir13g,"G.  Recreational facilities, e.g., a sports field",,✓,,,,
ir13h,"H.  Any churches, mosques, temples or other public places of worship",,✓,,,,
ir13i,I.  Any town halls or community buildings that can be used for meetings,,✓,,,,
ir13k,K.  Market stalls (selling groceries and/or clothing),,✓,,,,
ir14,Which of the following levels within the country the respondent live?,,✓,,,,
ir2,Is this the first questionnaire interviewers have completed?,,✓,,,,
ir2,IR2. Is this the first questionnaire you have completed?,,,✓,,,
ir2,ir2 Is this the first questionnaire you have completed?,,,,✓,,
ir2a,Interviewer's gender,,✓,,,,
ir2a,IR2a. Interviewer's gender,,,✓,,,
ir2a,ir2a Interviewer's gender,,,,✓,,
ir2b,Interviewer's age,,✓,,,,
ir2b,IR2b. Interviewer's Age,,,✓,,,
ir2b,ir2b Interviewer's Age,,,,✓,,
ir2c,IR2c. What kind of language do you normally use at home?[Country-specific],,,✓,,,
ir2c,ir2c What kind of language do you normally use at home?,,,,✓,,
ir3,"In the interview, other than the respondents, were others present?",,✓,,,,
ir3,"IR3. In the interview, other than the respondent, were others present?",,,✓,,,
ir3,"ir3 In the interview, other than the respondent, were others present?",,,,✓,,
ir3a,Who were they? (Multiple answers allowed),,,✓,,,
ir3a,ir3a Who were they?,,,,✓,,
ir3a_1,Spouse,,✓,,,,
ir3a_1HK,	Respondent’s spouse,,,✓,,,
ir3a_2,Children,,✓,,,,
ir3a_2HK,	Children,,,✓,,,
ir3a_3,Parents or parents in law,,✓,,,,
ir3a_3HK,	Parents or parents-in-law,,,✓,,,
ir3a_4,Neighbors/Passers by,,✓,,,,
ir3a_4HK,	Neighbors/Passers by,,,✓,,,
ir3a_5,Party/Government Official,,✓,,,,
ir3a_5HK,	Party/Government Official,,,✓,,,
ir3a_6,Others,,✓,,,,
ir4,Has the respondent ever refused to be interviewed during the whole process?,,✓,,,,
ir4,IR4. Has the respondent ever refused to be interviewed during the whole process?,,,✓,,,
ir4,ir4 Has the respondent ever refused to be interviewed during the whole process?,,,,✓,,
ir5,Has the respondent ever felt impatient during the interview?,,✓,,,,
ir5,IR5. Has the respondent ever felt impatient during the interview?,,,✓,,,
ir5,ir5 Has the respondent ever felt impatient during the interview?,,,,✓,,
ir6,How cooperative was the respondent during the interview?,,✓,,,,
ir6,IR6. How cooperative was the respondent during the interview?,,,✓,,,
ir6,ir6 How cooperative was the respondent during the interview?,,,,✓,,
ir7,How sincere was the respondent when answering sensitive questions?,,✓,,,,
ir7,IR7. How sincere was the respondent when answering sensitive questions?,,,✓,,,
ir7,ir7 How sincere was the respondent when answering sensitive questions?,,,,✓,,
ir8,What proportion of the questions do you feel the respondent had difficulty answering?,,✓,,,,
ir8,IR8. What proportion of the questions do you feel the respondent had difficulty answering?,,,✓,,,
ir8,ir8 What proportion of the questions do you feel the respondent had the difficulty answering?,,,,✓,,
ir9,Date of Interview____(month)____(date)_2010_(year),,,✓,,,
ir9_1,Date of interview: month,,✓,,,,
ir9_2,Date of interview: day,,✓,,,,
ir9_3,Date of interview: year,,✓,,,,
irII13c,C.  Police station,,✓,,,,
level,Rural or urban,,,,✓,,
level3,urban-rural,✓,,✓,,,
level3,Urban-rural,,✓,,,,
month,Interview month,,,,✓,,
pgnum,number of private group,✓,,,,,
q001,How would you rate the overall economic condition of our country today?,✓,,,,,
q002,How would you describe the change in the economic condition of our country over the past five years?,✓,,,,,
q003,What do you think will be the state of our country's economic condition five years from now?,✓,,,,,
q004,"As for your own family, how do you rate your economic situation today?",✓,,,,,
q005,How would you compare the current economic condition of your family with what it was five years ago?,✓,,,,,
q006,What do you think the economic situation of your family will be five years from now?,✓,,,,,
q007,How much trust do you have in the courts?,✓,,,,,
q008,How much trust do you have in the national government?,✓,,,,,
q009,How much trust do you have in political parties?,✓,,,,,
q010,How much trust do you have in Parliament?,✓,,,,,
q011,How much trust do you have in civil service?,✓,,,,,
q012,How much trust do you have in the military?,✓,,,,,
q013,How much trust do you have in the police?,✓,,,,,
q014,How much trust do you have in local government?,✓,,,,,
q015,How much trust do you have in newspapers?,✓,,,,,
q016,How much trust do you have in television?,✓,,,,,
q017,How much trust do you have in the election commission?,✓,,,,,
q018,How much trust do you have in non-governmental organizations?,✓,,,,,
q018_1,TRUST POLICE STATION,✓,,,,,
q018_2,TRUST STATE OWNED ENTERPRISES,✓,,,,,
q018_3,TRUST PRIVATE ENTERPRISES,✓,,,,,
q018_4,TRUST FOREIGN ENTERPRISES,✓,,,,,
q018_5,TRUST OUR COUNTRY,✓,,,,,
q018_6,how much trust in radio?,✓,,,,,
q018_7,Local MP(q18_1),✓,,,,,
q018_8,The Constitution Court(q18_2),✓,,,,,
q018_9,The Corruption Commission(q18_3),✓,,,,,
q022,How frequently do you participate?,✓,,,,,
q023,How often do you discuss politics?,✓,,,,,
q024,most people can be trusted??,✓,,,,,
q025,I have enough friends and connections so that I can get help if I need it,✓,,,,,
q026,"I have some friends with influence, so I don't have to worry too much if I get into a tight spot",✓,,,,,
q027,Have you participated in last election?,✓,,,,,
q028,Which party did you vote for?,✓,,,,,
q029,Did you attend a campaign meeting or rally?,✓,,,,,
q030,Did you try to persuade others to vote for a certain candidate or party?,✓,,,,,
q031,Did you do anything else to help or show your support for a party or candidate running in the election?,✓,,,,,
q032,Asked to vote for a particular candidate?_FAMILY MEMBER/RELATIVE,✓,,,,,
q033,Asked following personally ask you to vote for a particular candidate?_SENIORS IN A CLAN OR EXTENDED FAMILY,✓,,,,,
q034,Asked to vote for a particular candidate?_NEIGHBOR/FRIEND,✓,,,,,
q035,Asked to vote for a particular candidate?_COMMUNITY LEADERS,✓,,,,,
q036,Asked to vote for a particular candidate?_SUPERIOR AT WORK/SCHOOL,✓,,,,,
q037,Asked to vote for a particular candidate?_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,✓,,,,,
q038,Asked to vote for a particularcandidate?_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,✓,,,,,
q039,Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,✓,,,,,
q040,Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,✓,,,,,
q041,Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,✓,,,,,
q042,Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU DONT KNOW,✓,,,,,
q043,Asked to vote for a particular candidate?_OTHERS,✓,,,,,
q044,Influential_FAMILY MEMBER/RELATIVE,✓,,,,,
q045,Influential_SENIORS IN A CLAN OR EXTENDED FAMILY,✓,,,,,
q046,Influential_NEIGHBOR/FRIEND,✓,,,,,
q047,Influential_COMMUNITY LEADERS,✓,,,,,
q048,Influential_SUPERIOR AT WORK/SCHOOL,✓,,,,,
q049,Influential_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,✓,,,,,
q050,Influential_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,✓,,,,,
q051,Influential_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,✓,,,,,
q052,Influential_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,✓,,,,,
q053,Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,✓,,,,,
q054,Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU DON'T KNOW,✓,,,,,
q055,Influential_OTHERS,✓,,,,,
q056,How interested would you say you are interested in politics?,✓,,,,,
q057,How often do you follow news about politics?,✓,,,,,
q057a,"How often do you follow news about politics in the daily newspaper, television, and radio?",✓,,,,,
q058,How often do you follow news about politics in the daily newspaper?,✓,,,,,
q059,How often do you follow news about politics on television?,✓,,,,,
q060,How often do you follow news about politics on the radio?,✓,,,,,
q061,How much impact do you feel government policies have on your daily life?,✓,,,,,
q062,party feel closest to,✓,,,,,
q063,closeness,✓,,,,,
q064,"Even if parents' demands are unreasonable, children still should do what they ask?",✓,,,,,
q065,"When hiring someone, even if a stranger is more qualified, the opportunity should still be given to relatives and friend",✓,,,,,
q066,"When one has a conflict with a neighbor, the best way to deal with it is to accommodate the other person?",✓,,,,,
q067,"Wealth and poverty, success and failure are all determined by fate?",✓,,,,,
q068,A person should not insist on his own opinion if his co-workers disagree with him?,✓,,,,,
q069,"For the sake of the family, the individual should put his personal interests second?",✓,,,,,
q070,A man will lose face if he works under a female supervisor?,✓,,,,,
q071,"If there is a quarrel, we should ask an elder to resolve the dispute?",✓,,,,,
q072,"When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband sh",✓,,,,,
q073,Contacted any government official to express your opinions?,✓,,,,,
q074,Contacted officials to express your opinions at higher level?,✓,,,,,
q075,contacted elected legislative representatives at any level?,✓,,,,,
q076,Contacted political parties or other political organizations?,✓,,,,,
q077,Contacted non-government/civil society organizations?,✓,,,,,
q078,Contacted media to comment on something?,✓,,,,,
q079,"Demonstrated, striken, or sat-in for something?",✓,,,,,
q080,Contacted other people?,✓,,,,,
q081,Did you do this alone or with others?_contacted government official,✓,,,,,
q082,Did you do this alone or with others?_contacted officials at higher level,✓,,,,,
q083,Did you do this alone or with others?_contacted elected legislative representatives at any level,✓,,,,,
q084,Did you do this alone or with others?_contacted political parties or other political organizations,✓,,,,,
q085,Did you do this alone or with others?_ contacted non-government/civil society organizations,✓,,,,,
q086,Did you do this alone or with others?_contacted media,✓,,,,,
q087,"Did you do this alone or with others?_demonstration, strike, sit-in",✓,,,,,
q088,Did you do this alone or with others?_contacted other people,✓,,,,,
q089,Gift or dinner_contacted government,✓,,,,,
q090,Gift or dinner_contacted officials at highter level,✓,,,,,
q091,Gift or dinner_contacted elected legislative representatives,✓,,,,,
q092,Gift or dinner_contacted political parties or other political organizations,✓,,,,,
q093,Gift or dinner_contacted non-goverment/civil society organizations,✓,,,,,
q094,Gift or dinner_contacted media,✓,,,,,
q095,"Gift or dinner_demonstration, strike, sit-in",✓,,,,,
q096,Gift or dinner_contacted other people,✓,,,,,
q097_1,MEANING OF DEMOCRACY FIRST,✓,,,,,
q097_2,MEANING OF DEMOCRACY SECOND,✓,,,,,
q097_3,MEANING OF DEMOCRACY THIRD,✓,,,,,
q098,Satisfaction with the way democracy works in our country?,✓,,,,,
q099,Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]?,✓,,,,,
q1,How would you rate the overall economic condition of our country today?,,✓,,,,
q1,q1. How would you rate the overall economic condition of our country today?  Is it …,,,✓,,,
q1,1. How would you rate the overll economic condition of our country today?,,,,✓,,
q1,1. How would you rate the overall economic condition of our country today?,,,,,✓,
q1,1 How would you rate the overall economic condition of our country today?,,,,,,✓
