concept,wave,variable,scale_detected,n_categories,values,labels,direction
trust_parliament,Wave3,q11,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_parliament,Wave4,q11,7pt,7,"1, 2, 3, 4, 7",Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_parliament,Wave5,q11,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_parliament,Wave6,q11,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
trust_civil_service,Wave1,NA,NA,NA,NA,NA,NA
trust_civil_service,Wave2,q12,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
trust_civil_service,Wave3,q12,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_civil_service,Wave4,q12,7pt,7,"1, 2, 3, 4, 7",Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_civil_service,Wave5,q12,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_civil_service,Wave6,q12,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
trust_military,Wave1,NA,NA,NA,NA,NA,NA
trust_military,Wave2,q13,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
trust_military,Wave3,q13,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_military,Wave4,q13,7pt,7,"1, 2, 3, 4, 7",Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_military,Wave5,q13,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_military,Wave6,q13,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
trust_police,Wave1,NA,NA,NA,NA,NA,NA
trust_police,Wave2,q14,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
trust_police,Wave3,q14,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_police,Wave4,q14,7pt,7,"1, 2, 3, 4, 7",Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_police,Wave5,q14,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_police,Wave6,q14,6pt,6,"1, 2, 3, 4, 8",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
trust_local_govt,Wave1,NA,NA,NA,NA,NA,NA
trust_local_govt,Wave2,q15,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
trust_local_govt,Wave3,q15,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_local_govt,Wave4,q15,7pt,7,"1, 2, 3, 4, 7",Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_local_govt,Wave5,q15,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_local_govt,Wave6,q15,6pt,6,"1, 2, 3, 4, 8",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
trust_election_commission,Wave1,NA,NA,NA,NA,NA,NA
trust_election_commission,Wave2,q16,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
trust_election_commission,Wave3,q16,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_election_commission,Wave4,q16,7pt,7,"1, 2, 3, 4, 7",Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_election_commission,Wave5,q16,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_election_commission,Wave6,q16,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
trust_ngos,Wave1,NA,NA,NA,NA,NA,NA
trust_ngos,Wave2,q17,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
trust_ngos,Wave3,q17,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_ngos,Wave4,q17,7pt,7,"1, 2, 3, 4, 7",Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_ngos,Wave5,q17,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_ngos,Wave6,q17,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
gen_trust_binary,Wave1,NA,NA,NA,NA,NA,NA
gen_trust_binary,Wave2,q23,5pt,5,"1, 2, 7, 8, 9",You must be very careful in dealing with people = 1; Most people can be trusted = 2; Do not understand the question = 7,standard
gen_trust_binary,Wave3,q23,6pt,6,"1, 2, 6, 7, 8",Missing = -1; Most people can be trusted = 1; You must be very careful in dealing with people = 2,standard
gen_trust_binary,Wave4,q23,5pt,5,"1, 2, 7, 8, 9",Mising = -1; Most people can be trusted = 1; You must be very careful in dealing with people = 2,standard
gen_trust_binary,Wave5,q23,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Somewhat agree = 2,standard
gen_trust_binary,Wave6,NA,NA,NA,NA,NA,NA
gen_trust_scale,Wave1,NA,NA,NA,NA,NA,NA
gen_trust_scale,Wave2,NA,NA,NA,NA,NA,NA
gen_trust_scale,Wave3,NA,NA,NA,NA,NA,NA
gen_trust_scale,Wave4,q24,7pt,7,"1, 2, 3, 4, 7",Mising = -1; Strongly agree = 1; Somewhat agree = 2,standard
gen_trust_scale,Wave5,NA,NA,NA,NA,NA,NA
gen_trust_scale,Wave6,q23,5pt,5,"1, 2, 3, 4, 8",Missing = -1; Not applicable = 0; Strongly agree = 1,standard
trust_relatives,Wave1,NA,NA,NA,NA,NA,NA
trust_relatives,Wave2,q24,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
trust_relatives,Wave3,q24,6pt,6,"1, 2, 6, 7, 8",Missing = -1; Most people would try to take advantage of you if they got a = 1; Most people would try to be fair = 2,standard
trust_relatives,Wave4,NA,NA,NA,NA,NA,NA
trust_relatives,Wave5,q24,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_relatives,Wave6,q24,5pt,5,"1, 2, 3, 4, 8",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
trust_neighbors,Wave1,NA,NA,NA,NA,NA,NA
trust_neighbors,Wave2,q25,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
trust_neighbors,Wave3,q25,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of Trust = 1; Quite a lot of Trust = 2,standard
trust_neighbors,Wave4,NA,NA,NA,NA,NA,NA
trust_neighbors,Wave5,q25,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_neighbors,Wave6,q25,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
trust_others_interact,Wave1,NA,NA,NA,NA,NA,NA
trust_others_interact,Wave2,q26,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
trust_others_interact,Wave3,q26,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of Trust = 1; Quite a lot of Trust = 2,standard
trust_others_interact,Wave4,NA,NA,NA,NA,NA,NA
trust_others_interact,Wave5,q26,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_others_interact,Wave6,q26,6pt,6,"1, 2, 3, 4, 8",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
trust_first_meet,Wave1,NA,NA,NA,NA,NA,NA
trust_first_meet,Wave2,q27,7pt,7,"1, 2, 3, 4, 5",Not applicable = 0; 0-4 people = 1; 5-9 people = 2,standard
trust_first_meet,Wave3,q27,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of Trust = 1; Quite a lot of Trust = 2,standard
trust_first_meet,Wave4,NA,NA,NA,NA,NA,NA
trust_first_meet,Wave5,q27,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_first_meet,Wave6,q27,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
econ_country_current,Wave1,NA,NA,NA,NA,NA,NA
econ_country_current,Wave2,q1,7pt,7,"1, 2, 3, 4, 5",Very bad = 1; Bad = 2; So so (not good nor bad) = 3,standard
econ_country_current,Wave3,q1,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Very good = 1; Good = 2,standard
econ_country_current,Wave4,q1,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Very good = 1; Good = 2,standard
econ_country_current,Wave5,q1,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Very good = 1; Good = 2,standard
econ_country_current,Wave6,q1,7pt,7,"1, 2, 3, 4, 5",Very good = 1; Good = 2; So-so [not good nor bad] = 3,standard
econ_country_past,Wave1,NA,NA,NA,NA,NA,NA
econ_country_past,Wave2,q2,7pt,7,"1, 2, 3, 4, 5",Much worse = 1; A little worse = 2; About the same = 3,standard
econ_country_past,Wave3,q2,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
econ_country_past,Wave4,q2,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
econ_country_past,Wave5,q2,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
econ_country_past,Wave6,q2,7pt,7,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Much better = 1,standard
econ_country_future,Wave1,NA,NA,NA,NA,NA,NA
econ_country_future,Wave2,q3,7pt,7,"1, 2, 3, 4, 5",Much worse = 1; A little worse = 2; About the same = 3,standard
econ_country_future,Wave3,q3,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
econ_country_future,Wave4,q3,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
econ_country_future,Wave5,q3,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
econ_country_future,Wave6,q3,7pt,7,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Much better = 1,standard
econ_family_current,Wave1,NA,NA,NA,NA,NA,NA
econ_family_current,Wave2,q4,7pt,7,"1, 2, 3, 4, 5",Very bad = 1; Bad = 2; So so (not good nor bad) = 3,standard
econ_family_current,Wave3,q4,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Very good = 1; Good = 2,standard
econ_family_current,Wave4,q4,7pt,7,"1, 2, 3, 4, 5",Missing = -1; Very good = 1; Good = 2,standard
econ_family_current,Wave5,q4,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Very good = 1; Good = 2,standard
econ_family_current,Wave6,q4,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Very good = 1,standard
econ_family_past,Wave1,NA,NA,NA,NA,NA,NA
econ_family_past,Wave2,q5,7pt,7,"1, 2, 3, 4, 5",Much worse now = 1; A little worse now = 2; About the same = 3,standard
econ_family_past,Wave3,q5,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better now = 1; A little better now = 2,standard
econ_family_past,Wave4,q5,7pt,7,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
econ_family_past,Wave5,q5,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
econ_family_past,Wave6,q5,7pt,7,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Much better now = 1,standard
econ_family_future,Wave1,NA,NA,NA,NA,NA,NA
econ_family_future,Wave2,q6,7pt,7,"1, 2, 3, 4, 5",Much worse = 1; A little worse = 2; About the same = 3,standard
econ_family_future,Wave3,q6,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
econ_family_future,Wave4,q6,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
econ_family_future,Wave5,q6,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Much better = 1; A little better = 2,standard
econ_family_future,Wave6,q6,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Much better = 1,standard
interest_politics,Wave1,NA,NA,NA,NA,NA,NA
interest_politics,Wave2,q92,7pt,7,"1, 2, 3, 4, 7",No answer = 0; Opportunity to change the government through elections = 1; Freedom to criticize those in power = 2,standard
interest_politics,Wave3,q88,7pt,7,"1, 2, 3, 4, 7",Missing = -1; People have the freedom to take part in protests and demonst = 1; Politics is clean and free of corruption. = 2,standard
interest_politics,Wave4,q91,7pt,7,"1, 2, 3, 4, 7",Missing = -1; People have the freedom to take part in protests and demonstrations = 1; Politics is clean and free of corruption. = 2,standard
interest_politics,Wave5,q89,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly agree = 1; Agree = 2,standard
interest_politics,Wave6,q91,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; A Full Democracy = 1,standard
follow_news,Wave1,NA,NA,NA,NA,NA,NA
follow_news,Wave2,NA,NA,NA,NA,NA,NA
follow_news,Wave3,q91,10pt,10,"1, 2, 3, 4, 5",Missing = -1; Do not understand the question = 97; Can't choose = 98,standard
follow_news,Wave4,q94,10pt,10,"1, 2, 3, 4, 5",Missing = -1; Completely Undemocratic = 1; 2 = 2,standard
follow_news,Wave5,q92,10pt,10,"1, 2, 3, 4, 5",Missing = -1; Definitely not an essential characteristic of democracy = 1; 2 = 2,standard
follow_news,Wave6,q94,10pt,10,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Completely undemocratic = 1,standard
voted_last_election,Wave1,NA,NA,NA,NA,NA,NA
voted_last_election,Wave2,q38,4pt,4,"1, 2, 8, 9",Not applicable = 0; No = 1; Yes = 2,standard
voted_last_election,Wave3,q33,continuous_check,109,"90, 92, 101, 102, 103",Missing = -1; Not applicable = 90; No vote = 92,standard
voted_last_election,Wave4,q33,4pt,4,"1, 2, 8, 9",missing = -1; Not applicable/not yet eligible to vote = 0; Yes = 1,standard
voted_last_election,Wave5,q33,6pt,6,"1, 2, 3, 7, 8",Missing = -1; Not applicable = 0; Yes = 1,standard
voted_last_election,Wave6,q33,5pt,5,"1, 2, 3, 8, 9",Missing = -1; Not applicable = 0; Yes = 1,standard
satisfaction_democracy,Wave1,NA,NA,NA,NA,NA,NA
satisfaction_democracy,Wave2,q93,6pt,6,"1, 2, 3, 4, 8",Not at all satisfied = 1; Not very satisfied = 2; Fairly satisfied = 3,standard
satisfaction_democracy,Wave3,q89,6pt,6,"1, 2, 3, 4, 8",Missing = -1; Very satisfied = 1; Fairly satisfied = 2,standard
satisfaction_democracy,Wave4,q92,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Very satisfied = 1; Fairly satisfied = 2,standard
satisfaction_democracy,Wave5,q90,7pt,7,"1, 2, 3, 4, 7","Missing = -1; It works fine, not need to change = 1; Needs minor change = 2",standard
satisfaction_democracy,Wave6,q92,10pt,10,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Completely undemocratic = 1,standard
level_democracy,Wave1,NA,NA,NA,NA,NA,NA
level_democracy,Wave2,q94,7pt,7,"1, 2, 3, 4, 7","A full democracy = 1; A democracy, but with minor problems = 2; A democracy, with major problems = 3",standard
level_democracy,Wave3,q90,7pt,7,"1, 2, 3, 4, 7","Missing = -1; A full democracy = 1; A democracy, but with minor problems = 2",standard
level_democracy,Wave4,q93,7pt,7,"1, 2, 3, 4, 7","Missing = -1; A full democracy = 1; A democracy, but with minor problems = 2",standard
level_democracy,Wave5,q91,10pt,10,"1, 2, 3, 4, 5",Missing = -1; Definitely not an essential characteristic of democracy = 1; 2 = 2,standard
level_democracy,Wave6,q93,10pt,10,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Completely undemocratic = 1,standard
democracy_preferable,Wave1,q121,4pt,4,"1, 2, 3, 4",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
democracy_preferable,Wave2,q121,6pt,6,"1, 2, 3, 7, 8","For people like me, it does not matter whether we have a democratic or a nondemocratic regime = 1; Under some circumstances, an authoritarian government can be peferable to a democratic one = 2; Democracy is always preferable to any other kind of government = 3",standard
democracy_preferable,Wave3,q132,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Strongly approve = 1; Somewhat approve = 2,standard
democracy_preferable,Wave4,q125,6pt,6,"1, 2, 3, 7, 8","Missing = -1; Democracy is always preferable to any other kind of government = 1; Under some circumstances, an authoritarian government can be preferable to a democratic one = 2",standard
democracy_preferable,Wave5,q124,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Hardly anyone is involved = 1; Not a lot of officials are corrupt = 2,standard
democracy_preferable,Wave6,q125,5pt,5,"1, 2, 7, 8, 9",Missing = -1; Not applicable = 0; Democracy is capable of solving the problems of our society = 1,standard
covid_infection,Wave1,q138,4pt,4,"1, 2, 3, 4",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
covid_infection,Wave2,NA,NA,NA,NA,NA,NA
covid_infection,Wave3,NA,NA,NA,NA,NA,NA
covid_infection,Wave4,NA,NA,NA,NA,NA,NA
covid_infection,Wave5,NA,NA,NA,NA,NA,NA
covid_infection,Wave6,q138,binary,2,"1, 2",Missing = -1; Not applicable = 0; Yes = 1,standard
covid_economic_impact,Wave1,q140,4pt,4,"1, 2, 3, 4",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
covid_economic_impact,Wave2,NA,NA,NA,NA,NA,NA
covid_economic_impact,Wave3,NA,NA,NA,NA,NA,NA
covid_economic_impact,Wave4,NA,NA,NA,NA,NA,NA
covid_economic_impact,Wave5,NA,NA,NA,NA,NA,NA
covid_economic_impact,Wave6,q140,4pt,4,"1, 2, 3, 4",Missing = -1; Not applicable = 0; Very serious impact = 1,standard
covid_trust_info,Wave1,q141,4pt,4,"1, 2, 3, 4",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
covid_trust_info,Wave2,NA,NA,NA,NA,NA,NA
covid_trust_info,Wave3,NA,NA,NA,NA,NA,NA
covid_trust_info,Wave4,NA,NA,NA,NA,NA,NA
covid_trust_info,Wave5,NA,NA,NA,NA,NA,NA
covid_trust_info,Wave6,q141,4pt,4,"1, 2, 3, 4",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
covid_govt_handling,Wave1,q142,4pt,4,"1, 2, 3, 4",Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,standard
covid_govt_handling,Wave2,NA,NA,NA,NA,NA,NA
covid_govt_handling,Wave3,NA,NA,NA,NA,NA,NA
covid_govt_handling,Wave4,NA,NA,NA,NA,NA,NA
covid_govt_handling,Wave5,NA,NA,NA,NA,NA,NA
covid_govt_handling,Wave6,q142,4pt,4,"1, 2, 3, 4",Missing = -1; Not applicable = 0; Very well = 1,standard
covid_vaccination,Wave1,q144,4pt,4,"1, 2, 3, 4",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,standard
covid_vaccination,Wave2,NA,NA,NA,NA,NA,NA
covid_vaccination,Wave3,NA,NA,NA,NA,NA,NA
covid_vaccination,Wave4,NA,NA,NA,NA,NA,NA
covid_vaccination,Wave5,NA,NA,NA,NA,NA,NA
covid_vaccination,Wave6,q144,5pt,5,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; Yes = 1,standard
covid_emergency_powers,Wave1,NA,NA,NA,NA,NA,NA
covid_emergency_powers,Wave2,NA,NA,NA,NA,NA,NA
covid_emergency_powers,Wave3,NA,NA,NA,NA,NA,NA
covid_emergency_powers,Wave4,NA,NA,NA,NA,NA,NA
covid_emergency_powers,Wave5,NA,NA,NA,NA,NA,NA
covid_emergency_powers,Wave6,q172a,6pt,6,"1, 2, 3, 4, 8",Missing = -1; Not applicable = 0; Very justified = 1,standard
contact_frequency,Wave1,NA,NA,NA,NA,NA,NA
contact_frequency,Wave2,q27,7pt,7,"1, 2, 3, 4, 5",Not applicable = 0; 0-4 people = 1; 5-9 people = 2,standard
contact_frequency,Wave3,q28,7pt,7,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; 0-4 people = 1,standard
contact_frequency,Wave4,q28,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
contact_frequency,Wave5,q28,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; 0-4 people = 1,standard
contact_frequency,Wave6,q28,8pt,8,"1, 2, 3, 4, 5",Missing = -1; Not applicable = 0; 0-4 people = 1,standard
difficult_problem_help,Wave1,NA,NA,NA,NA,NA,NA
difficult_problem_help,Wave2,q29,7pt,7,"1, 2, 3, 4, 7","No, nobody = 1; Yes, a few = 2; Yes, some = 3",standard
difficult_problem_help,Wave3,q29,7pt,7,"1, 2, 3, 4, 7","Missing = -1; No, nobody = 1; Yes, a few = 2",standard
difficult_problem_help,Wave4,q31,7pt,7,"1, 2, 3, 4, 7","Missing = -1; No, nobody = 1; Yes, a few = 2",standard
difficult_problem_help,Wave5,q31,7pt,7,"1, 2, 3, 4, 7","Missing = -1; No, nobody = 1; Yes, a few = 2",standard
difficult_problem_help,Wave6,q31,6pt,6,"1, 2, 3, 4, 8","Missing = -1; Not applicable = 0; No, nobody = 1",standard
age,Wave1,NA,NA,NA,NA,NA,NA
age,Wave2,age,var_not_found,NA,NA,NA,NA
age,Wave3,age,var_not_found,NA,NA,NA,NA
age,Wave4,age,var_not_found,NA,NA,NA,NA
age,Wave5,age,var_not_found,NA,NA,NA,NA
age,Wave6,age,var_not_found,NA,NA,NA,NA
education,Wave1,NA,NA,NA,NA,NA,NA
education,Wave2,education,var_not_found,NA,NA,NA,NA
education,Wave3,education,var_not_found,NA,NA,NA,NA
education,Wave4,education,var_not_found,NA,NA,NA,NA
education,Wave5,education,var_not_found,NA,NA,NA,NA
education,Wave6,education,var_not_found,NA,NA,NA,NA
gender,Wave1,NA,NA,NA,NA,NA,NA
gender,Wave2,gender,var_not_found,NA,NA,NA,NA
gender,Wave3,gender,var_not_found,NA,NA,NA,NA
gender,Wave4,gender,var_not_found,NA,NA,NA,NA
gender,Wave5,gender,var_not_found,NA,NA,NA,NA
gender,Wave6,gender,var_not_found,NA,NA,NA,NA
income,Wave1,NA,NA,NA,NA,NA,NA
income,Wave2,income,var_not_found,NA,NA,NA,NA
income,Wave3,income,var_not_found,NA,NA,NA,NA
income,Wave4,income,var_not_found,NA,NA,NA,NA
income,Wave5,income,var_not_found,NA,NA,NA,NA
income,Wave6,income,var_not_found,NA,NA,NA,NA
urban_rural,Wave1,NA,NA,NA,NA,NA,NA
urban_rural,Wave2,urban,var_not_found,NA,NA,NA,NA
urban_rural,Wave3,urban,var_not_found,NA,NA,NA,NA
urban_rural,Wave4,urban,var_not_found,NA,NA,NA,NA
urban_rural,Wave5,urban,var_not_found,NA,NA,NA,NA
urban_rural,Wave6,urban,var_not_found,NA,NA,NA,NA
country,Wave1,NA,NA,NA,NA,NA,NA
country,Wave2,country,continuous,13,"1, 2, 3, 4, 5",Japan = 1; Hong Kong = 2; Korea = 3,standard
country,Wave3,country,continuous,13,"1, 2, 3, 4, 5",Missing = -1; Japan = 1; Hong Kong = 2,standard
country,Wave4,country,continuous,14,"1, 2, 3, 4, 5",Japan = 1; Hong Kong = 2; Korea = 3,standard
country,Wave5,country,var_not_found,NA,NA,NA,NA
country,Wave6,country,var_not_found,NA,NA,NA,NA
year,Wave1,NA,NA,NA,NA,NA,NA
year,Wave2,year,var_not_found,NA,NA,NA,NA
year,Wave3,year,var_not_found,NA,NA,NA,NA
year,Wave4,year,3pt,3,"2014, 2015, 2016",Missing = -1,standard
