variable,Wave1,Wave2,Wave3,Wave4,Wave5,Wave6,primary_domain,all_domains,n_waves
q111,Economic development- is better than before?,People can join any organization the like without fear,q111.  How often do you think our elections offer the voters a real choice between different parties/candidates?,111 How often do government officials withhold important information from the public view?,"111 When government leaders break the laws, there is nothing the court can do",111 To what extent is the legislature capable of keeping government leaders in check?,economic_evaluation,economic_evaluation,6
q1,,How would you rate the overall economic condition of our country today?,q1. How would you rate the overall economic condition of our country today?  Is it …,1. How would you rate the overll economic condition of our country today?,1. How would you rate the overall economic condition of our country today?,1 How would you rate the overall economic condition of our country today?,economic_evaluation,economic_evaluation,5
q2,,How would you describe the change in the economic condition of our country over the last years?,q2. How would you describe the change in the economic condition of our country over the last few years,2. How would you dsecribe the change in the economic condition of our country over the last few years?,2. How would you dsecribe the change in the economic condition of our country over the last few years?,2 How would you describe the change in the economic condition of our country over the last few years?,economic_evaluation,economic_evaluation,5
q3,,What do you think will be the state of our country's economic condition a few years from now?,q3. What do you think will be the state of our country's economic condition a few years from now? Will it be …,3. What do you think will be the state of our country's economic condition a few years from now?,3. What do you think will be the state of our country's economic condition a few years from now?,3 What do you think will be the state of our country's economic condition a few years from now?,economic_evaluation,economic_evaluation,5
q4,,"As for your own family, how do you rate your economic situation today?","q4. As for your own family, how do you rate the economic situation of your family today?  Is it …","4. As for your own family, how do you rate the economic situation of your family today?","4. As for your own family, how do you rate the economic situation of your family today?","4 As for your own family, how do you rate the economic situation of your family today?",economic_evaluation,economic_evaluation,5
q5,,How would you compare the current economic condition of your family with what it was a few years ago?,q5. How would you compare the current economic condition of your family with what it was a few years ago? Is it …,5. How would you compare the current economic condition of your family with what it was a few years ago?,5. How would you compare the current economic condition of your family with what it was a few years ago?,5 How would you compare the current economic condition of your family with what it was a few years ago?,economic_evaluation,economic_evaluation,5
q6,,What do you think the economic situation of your family will be a few years from now?,q6. What do you think the economic situation of your family will be a few years from now? Will it be …,6. What do you think the economic situation of your family will be a few years from now?,6. What do you think the economic situation of your family will be a few years from now?,6 What do you think the economic situation of your family will be a few years from now?,economic_evaluation,economic_evaluation,5
q001,How would you rate the overall economic condition of our country today?,,,,,,economic_evaluation,economic_evaluation,1
q002,How would you describe the change in the economic condition of our country over the past five years?,,,,,,economic_evaluation,economic_evaluation,1
q003,What do you think will be the state of our country's economic condition five years from now?,,,,,,economic_evaluation,economic_evaluation,1
q004,"As for your own family, how do you rate your economic situation today?",,,,,,economic_evaluation,economic_evaluation,1
q005,How would you compare the current economic condition of your family with what it was five years ago?,,,,,,economic_evaluation,economic_evaluation,1
q006,What do you think the economic situation of your family will be five years from now?,,,,,,economic_evaluation,economic_evaluation,1
q106,Everyone is treated equally by the government- is better than before?,"Between elections, the people have no way of holding the government responsible for its actions",q106. People are free to speak what they think without fear.,106 Rich and poor people are treated equally by the government,106 What are the first most important problems facing this country that government should address(1st response)?,106  People are free to speak what they think without fear.,equality,equality,6
q143b,,,,,,143b To limit freedom of speech or assembly,freedom_assembly,freedom_assembly; legislature,1
q105,Everyone is free to say what they think- is better than before?,Political parties or candidates in our country have equal access to the mass media during the election period,"q105. People have basic necessities like food, clothes, and shelter.",105. All citizens from different ethnic communities in the country are treated equally by the government.,105 How satisfied or dissatisfied are you with the current president/government?,"105  People have basic necessities like food, clothes, and shelter.",freedom_expression,freedom_expression,6
q128,The nation is run by a powerful few and ordinary citizens cannot do much about it,Sometimes politics and government seems so complicated that a person like me can't really understand what is going on,"q128. Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government.""","128 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",128 Where would you place China today on this scale?,"128 Do you agree or disagree with the following statement: 'Democracy may have its problems, but it is still the best form of government's?",identity,identity,6
q150,,Their basic well-being should be taken care of by the government to the same extent as other citizens,"q150. How often do you watch or listen to foreign programs (television, DVDs, movies, radio)?",150 How closely do you follow major events in foreign countries/ the world?,150 The government should decide whether certain ideas should be allowed to be discussed in society,150 The government should decide whether certain ideas should be allowed to be discussed in society.,identity,identity,5
q152,,"Citizens should always obey laws and regulations, even if they disagree with them","q152. Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods.""","152 Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods.""","152 When judges decide important cases, they should accept the view of the executive branch","152 When judges decide important cases, they should accept the view of the executive branch.",identity,identity,5
q153,,"Do you agree or disagree with the following statement: ""A citizen should always remain loyal only to his country, no matter how imperfect","q153. Do you agree or disagree with the following statement: ""Foreign goods are hurting the local community.""",153 Do you think the government should increase or decrease the inflow of foreign immigrants into the country?,"153 If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things","153 If the government is constantly checked by the legislature, it cannot possibly accomplish great things.",identity,identity,5
q154,,How proud are you to be a citizen of [Country],q154. How proud are you to be a citizen of (COUNTRY)?,154 Which of these statements comes closer to your view?,"154 If we have political leaders who are morally upright, we can let them decide everything","154 If we have political leaders who are morally upright, we can let them decide everything.",identity,identity,5
q143d,,,,,,143d To track citizens’ locations at all times,identity,identity,1
q112,Judges and courts are free from political interference- is better than before?,How often do government officials withhold important information from the public view?,q112. To what extent is the legislature capable of keeping government leaders in check?,112 How often do you think government leaders break the law or abuse their power?,112 All citizens from different ethnic communities in the country are treated equally by the government.,112 How well do you think the government responds to what people want?,judiciary,judiciary,6
q136,"When judges decide important cases, they should accept the view of the executive branch",Harmony of the community will be disrupted if people organize lots of groups,q136. You can generally trust the people who run our government to do what is right.,136 People like me don't have any influence over what the government does.,"136 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"".",136 You can generally trust the people who run our government to do what is right.,judiciary,judiciary,6
q018_8,The Constitution Court(q18_2),,,,,,judiciary,judiciary,1
q144a,,,judges,,,,judiciary,judiciary,1
q135,Harmony of the community will be disrupted if people organize lots of groups,The government should decide whether certain ideas should be allowed to be discussed in society,q135. People like me don't have any influence over what the government does.,135 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,"135 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",135 People like me don't have any influence over what the government does.,local_government,local_government,6
q143,"For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest",The local government should have more authority over local decisions than it does now,q143. Harmony of the community will be disrupted if people organize lots of groups.,143 The government should decide whether certain ideas should be allowed to be discussed in society,143 People like me don`t have any influence over what the government does,,local_government,local_government,5
q156,,Relation: The European Community or European Union,q156. Which country has the most influence in Asia?,156 It is the responsibility of the government to reduce the differences between people with high income and those with low incomes.,156 Which of the following statements do you agree with the most? distinct way of life vs. learning from other countries,156 Choose one statement.,local_government,local_government,5
q32,,"Generally speaking, how safe is living in this city/town/village?","q32. In talking to people about elections, we often find that a lot of people were not able to vote because they were away from home, they were sick or they just didn't have time. How about you? Did you vote in the election [the most recent national elect","32 If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them?","32 If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them?","32 If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them?",local_government,local_government,5
q33,,"Compared to the situation in this city/town/village a few years ago, do you feel more safe, less safe or the same as before?",q33. Which parties (or candidates for president if it was presidential race) did you vote for? [country-specific response grid],33 Did you vote in the last national election?,33 Did you vote in the last national election?,33 Did you vote in the national election?,local_government,local_government,5
q76,,"For the sake of the national community/society, the individual should be prepared to sacrifice","q76. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",76 Attended a demonstration or protest march-3 categories,76 Used the internet including social media networks to express opinions about politics and government,76  Attended a demonstration or protest march,local_government,local_government,5
q160,,Impression: The European Community or European Union,q160. How much influence does China have on our country?,"160 As compared to my parent's generation, my generation has more or fewer opportunities to improve one's standard of living or social status?",,,local_government,local_government,3
q143a,,,Harmony of the community,,,"143aWhen there is a public health challenge like the coronavirus, is it justifiable for the government to postpone elections?",local_government,local_government,2
q047,Influential_COMMUNITY LEADERS,,,,,,local_government,local_government,1
q71a,,,,71a Contacted traditional leaders/community leaders-4 categories,,,local_government,local_government; traditional_values; social_capital,1
q16,,Trust in newspaper,q16. Newspapers,16 Newspaper,16 The election commission,16 The election commission,media,media,5
q17,,Trust in television,q17. Television,17 Television,17 Non-government organizations or NGOs,17 Non-government organizations or NGOs,media,media,5
q50,,How often do you follow news about politics and government,"q50. For the sake of the family, the individual should put his personal interests second",50. Do you currently use any of the following social media networks?,"50 Do you currently use any of the following social media networks?(E.g. facebook, twitter, telegram, whatsapp, youtube, tumblr, instagram, snapchat, etc.)","50 How often do you use the internet, either through computer, tablet or smartphone?",media,media,5
q62,,"When dealing with others, securing one's immediate interests should be more important than developing a long-term","q62. If one could have only one child, it is more preferable to have a boy than a girl.","62. Being a student, one should not question the authority of their teacher.","62 Even if parents' demands are unreasonable, children still should do what they ask.","62 Being a student, one should not question the authority of their teacher.",media,media,5
q66,,How often do you use the internet?,q66. Contacted traditional leaders/community leaders.,"66. Wealth and poverty, success and failure are all determined by fate.","66 Even if there is some disagreement with others, one should avoid the conflict.","66 Wealth and poverty, success and failure are all determined by fate.",media,media,5
q75,,Cruel criminals should be punished immediately without regard to time-consuming legal processes,"q75. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",75 Got together with others to raise an issue or sign a petition-3 categories,75 Signed an online petition,75  Got together with others face-to face to try to resolve local problems,media,media,5
q84,,Contacted traditional leaders/community leaders (IN: Mass media; TW/HK: Acquaintances in the government),"q84. Compared with other systems in the world, would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?","84. Thinking in general, I am proud of our system of government",84 Which of the following statements do you agree with most? freedom of the press,"84 Would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?",media,media; local_government; traditional_values; social_capital,5
q015,How much trust do you have in newspapers?,,,,,,media,media,1
q016,How much trust do you have in television?,,,,,,media,media,1
q018_6,how much trust in radio?,,,,,,media,media,1
q057,How often do you follow news about politics?,,,,,,media,media,1
q057a,"How often do you follow news about politics in the daily newspaper, television, and radio?",,,,,,media,media,1
q058,How often do you follow news about politics in the daily newspaper?,,,,,,media,media,1
q059,How often do you follow news about politics on television?,,,,,,media,media,1
q060,How often do you follow news about politics on the radio?,,,,,,media,media,1
q078,Contacted media to comment on something?,,,,,,media,media; social_capital,1
q086,Did you do this alone or with others?_contacted media,,,,,,media,media; social_capital,1
q094,Gift or dinner_contacted media,,,,,,media,media; social_capital,1
q143c,,,,,,143c To censor the media,media,media,1
q51_1,,Main source of information. Question 51.01 Television,,,,,media,media,1
q51_2,,Question 51.02 Newspaper,,,,,media,media,1
q51_3,,Question 51.03 Radio,,,,,media,media,1
q51_4,,Question 51.04 Internet,,,,,media,media,1
q51a_Facebook,,,,,,51a Which social media and text messaging services do you actively use? Facebook,media,media,1
q51b,,,,,51b You use social media primarily to expresss my opinion on political issues,,media,media,1
q51c,,,,,51c You use social media primarily to share news or information,,media,media,1
q51d,,,,,51d You use social media primarily for work,,media,media,1
q52a,,,,,,52a How often do you use social media to talk to or to connect with other people?,media,media,1
q52b,,,,,,52b How often do you use social media to express my opinion on political issues?,media,media,1
q52c,,,,,,52c How often do you use social media to share news or information?,media,media,1
q52d,,,,,,52d How often do you use social media to organize to influence politics?,media,media,1
q73a,,,,73a  Contacted news media-4 categories,,,media,media; social_capital,1
q100,Where would you place our country under the present government?,"In your opinion, what are the most important questions facing the country that government should address?","q100. Between elections, the people have no way of holding the government responsible for its actions.",100. How likely is it that the government will solve the most important problem you identified within the next five years?,100 In your opinion how much of a democracy is our country?,"100  In our country, parties and candidates not in power have opportunities to be elected into government.",other,other,6
q102,Where do you expect our country to be in five years?,Third Response,q102. Most citizens in our country don't make much effort to influence government decisions.,102. Political parties or candidates in our country have equal access to the mass media during the election period.,102 Where would you place our country ten years ago?,"102  When government leaders break the laws, there is nothing the court can do.",other,other,6
q104,How satisfied or dissatisfied are you with the current government?,Our current courts always punish the guilty even if they are high-ranking officials,q104. Rich and poor people are treated equally by the government.,"104. When government leaders break the laws, there is nothing the court can do.",104 Where would you place our country today? Democracy is suitable or not,104  Rich and poor people are treated equally by the government.,other,other,6
q109,The gap between the rich and the poor have narrowed- is better than before?,"People have basic necessities like food, clothes, and shelter",q109. How often do government officials withhold important information from the public view?,109 People can join any organization they like without fear.,"109 In our country, parties and candidates not in power have opportunities to be elected into government",109 How often do you think government leaders break the law or abuse their power?,other,other,6
q110,Preventing crime and maintaining order- is better than before?,People are free to speak what they think without fear,q110. How often do you think government leaders break the law or abuse their power?,110 Do officials who commit crimes go unpunished?,"110 Between elections, the people have no way of holding the government responsible for its actions",110 How often do you think our elections offer the voters a real choice between different parties/candidates?,other,other,6
q117,Which comes closest to your own opinion?,How widespread do you think corruption and bribe-taking are in your local/municipal government?,q117. How widespread do you think corruption and bribe-taking are in the national government [in capital city]?  Would you say …?,117 How widespread do you think corruption and bribe-taking are in your local/municipal government?,117 How often do government officials withhold important information from the public?,117 How effective is the government in cracking down on corruption?,other,other,6
q118,Which comes closer to your own view?,How widespread do you think corruption and bribe-taking are in the national government?,"q118. In your opinion, is the government working to crack down on corruption and root out bribery?",118 How widespread do you think corruption and bribe-taking are in the national government?,118 How often do you think government leaders break the law or abuse their power?,118 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,other,other,6
q120,Which comes closer to your own view?,"In your opinion, is the government working to crackdown corruption and root out bribes?",q120. Remember the scale that we used before: 1 means completely undemocratic and 10 means completely democratic. Where would you place China today on this scale?,120 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,120 To what extent is the legislature capable of keeping government leaders in check?,120 Where would you place China today on this scale?,other,other,6
q122,No opposition party should be allowed to compete for power,Which of the following statements comes closer to your own view?,q122. Where would you place Japan today on this scale?,122 Where would you place the United States today on this scale?,122 How much do you feel that having elections makes the government more responsive to people's needs,122 Where would you place Japan today on this scale?,other,other,6
q125,"It is ok for the government to disregard the law in order to deal with the situation, when the country is facing a diffi",Only one political party is allowed to stand for election and hold office,q125. Which of the following statements comes closer to your own view?,125 Which of the following statements comes closest to your own opinion?,125 How widespread do you think corruption and bribe-taking are in the national government?,125 Which of the following statements comes closer to your own view?,other,other,6
q127,Politics and government seems so complicated that a person like me can't really understand what is going on,I think I have the ability to participate in politics,"q127. If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?","127 If you had to choose between democracy and economic development, which would you say is more important?",127 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,"127 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",other,other,6
q130,Our form of government is still the best for us,You can generally trust the people who run our government to do what is right (HK: Hong Kong government),q130. Only one political party should be allowed to stand for election and hold office.,130 We should get rid of parliament and elections and have a strong leader decide things.,130 Where would you place Japan today on this scale?,130 Only one political party is allowed to stand for election and hold office.,other,other,6
q132,People with little or no education should have as much say in politics as highly-educated people,Which of these two statements comes closer to your own view,q132. We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,132 The army (military) should come in to govern the country.,132 Which of the following statements comes closest to your own opinion?,132 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,other,other,6
q133,Government leaders are like the head of a family; we should all follow their decisions,People with little or no education should have as much say in politics as highly-educated people,"q133. I have here some statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? I think I have the ability to participate in politics.",133 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,133 Which of the following statements comes closer to your own view?,133 I think I have the ability to participate in politics.,other,other,6
q134,The government should decide whether certain ideas should be allowed to be discussed in society,Government leaders are like the head of a family; we should all follow their decisions,q134. Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,134 I think I have the ability to participate in politics.,"134 If you had to choose between democracy and economic development, which would you say is more important?",134 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,other,other,6
q140,The government should maintain ownership of major state-owned enterprises,"If people have too many different ways of thinking, society will be chaotic",q140. People with little or no education should have as much say in politics as highly-educated people.,140 The government should consult religious authorities when interpreting the laws,140 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,"140 Thinking of the negative impact of Covid-19 on your family's livelihood, how serious it is in your view?",other,other,6
q141,The national government should have more authority over local decisions than it does now,"When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation",q141. Government leaders are like the head of a family; we should all follow their decisions.,141 People with little or no education should have as much say in politics as highly-educated people,141 I think I have the ability to participate in politics,141 How much do you trust the Covid-19 related information provided by the government?,other,other,6
q142,Our country should defend our way of life instead of becoming more and more like other countries,The government should maintain ownership of major state-owned enterprises,q142. The government should decide whether certain ideas should be allowed to be discussed in society.,142 Government leaders are like the head of a family; we should all follow their decisions,142 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on,142 How well or badly do you think the government handled the pandemic?,other,other,6
q144,"The state is like a big machine and the individual is but a small cog, with no independent status",Our country should defend our way of life instead of becoming more and more like other countries,"q144. When judges decide important cases, they should accept the view of the executive branch.",144 Harmony of the community will be disrupted if people organize lots of groups,144 You can generally trust the people who run our government to do what is right,144 Have you been vaccinated against Covid-19?,other,other,6
q145,The most important thing for a political leader is to accomplish his goals even if he has to ignore the established proc,"In order to preserve social justice, the government should prevent the gap between rich and poor from growing any larger","q145. If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things.","145 When judges decide important cases, they should accept the view of the executive branch","145 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",145 Why do you prefer not to be vaccinated against Covid-19?,other,other,6
q146,"If a political leader really believes in his position, he should refuse to compromise regardless of how many people disa",Our country should become more self-sufficient and less reliant on trade with other countries,"q146. If we have political leaders who are morally upright, we can let them decide everything.","146 If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things",146 Women should not be involved in politics as much as men,146 I have here other statements: Women should not be involved in politics as much as men,other,other,6
q147,A political leader should tolerate the views of those who challenge his political ideals,Let us suppose that you had to choose between being a..... which of these do you feel most strongly attached to,"q147. If people have too many different ways of thinking, society will be chaotic.","147 If we have political leaders who are morally upright, we can let them decide everything",147 The government should consult religious authorities when interpreting the laws,147 The government should consult religious authorities when interpreting the laws.,other,other,6
q10,,Trust in Political parties,q10. Political parties [not any specific party],10 Political parties,10 Political parties[not any specific party],10 Political parties [not any specific party],other,other,5
q119,choose between democracy and economic development?,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,q119. Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? IF WITNESSED: Did you personally witness it or were you told about it by a family member or friend who per,"119 In your opinion, is the government working to crack down on corruption and root out bribery?",119 How often do you think our elections offer the voters a real choice between different parties/candidates?,,other,other,5
q139,"If people have too many different ways of thinking, society will be chaotic","If we have political leaders who are morally upright, we can let them decide everything",q139. Women should not be involved in politics as much as men.,139 Women should not be involved in politics as much as men,139 The army (military) should come in to govern the country,,other,other,5
q155,,"Given the chance, how willing would you be to go and live in another country?","q155. Given the chance, how willing would you be to go and live in another country?",155 How fair do you think income distribution is in the country?,"155 If people have too many different ways of thinking, society will be chaotic","155 If people have too many different ways of thinking, society will be chaotic.",other,other,5
q157,,Relation: The United Nations or UN,"q157. Does (answer in Q156) do more good or harm to the region? Ask Q157a if the answer in Q156 is not China, otherwise skip to Q158",157 How concerned are you about the loss of your major source of income within the next 12 months?,157 Which of the following statements do you agree with the most? limit or import of foreign goods,157 Choose one statement.,other,other,5
q158,,Relation: International Monetary Fund or IMF,"q158. In ten years, which country will have the most influence in Asia?","158 The following is a hypothetical question: If you were unfortunate enough to lose your main source of income, how serious would it be for you and your family?",158 Do you think the government should increase or decrease the inflow of foreigners who come to work in our country?,158 Do you think the government should increase or decrease the inflow of foreign immigrants into the country.,other,other,5
q159,,Relation: World Bank,q159. Which country should be a model for our own country's future development?,"159 Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair-4 categories?",159 How fair do you think income distribution is in the country?,159 How fair do you think income distribution in Mongolia,other,other,5
q161,,Impression: The United Nations or UN,"q161. General speaking, the influence China has on our country is?",161 How proud are you to be a citizen of the country? Are you?,161 How worried are you that your family might lose its major source of income within the next 12 months?,161 How worried are you that your family might lose its major source of income within the next 12 months?,other,other,5
