variable,suggested_domain,n_waves_present,w1_label,w1_label_present,w2_label,w2_label_present,w3_label,w3_label_present,w4_label,w4_label_present,w5_label,w5_label_present,w6_label,w6_label_present,similar_variables,similarity_scores
q123,military,6,The military should come in to govern the country,TRUE,"If you had to choose between democracy and economic development, which would you say is more important?",TRUE,q123. Where would you place India today on this scale?,TRUE,123 Where would you place Japan on this scale?,TRUE,123 How capable is the government of enforcing laws and implementing policies?,TRUE,123 Where would you place India today on this scale?,TRUE,NA,NA
q102,other,6,Where do you expect our country to be in five years?,TRUE,Third Response,TRUE,q102. Most citizens in our country don't make much effort to influence government decisions.,TRUE,102. Political parties or candidates in our country have equal access to the mass media during the election period.,TRUE,102 Where would you place our country ten years ago?,TRUE,"102  When government leaders break the laws, there is nothing the court can do.",TRUE,NA,NA
q109,other,6,The gap between the rich and the poor have narrowed- is better than before?,TRUE,"People have basic necessities like food, clothes, and shelter",TRUE,q109. How often do government officials withhold important information from the public view?,TRUE,109 People can join any organization they like without fear.,TRUE,"109 In our country, parties and candidates not in power have opportunities to be elected into government",TRUE,109 How often do you think government leaders break the law or abuse their power?,TRUE,NA,NA
q110,other,6,Preventing crime and maintaining order- is better than before?,TRUE,People are free to speak what they think without fear,TRUE,q110. How often do you think government leaders break the law or abuse their power?,TRUE,110 Do officials who commit crimes go unpunished?,TRUE,"110 Between elections, the people have no way of holding the government responsible for its actions",TRUE,110 How often do you think our elections offer the voters a real choice between different parties/candidates?,TRUE,NA,NA
q117,other,6,Which comes closest to your own opinion?,TRUE,How widespread do you think corruption and bribe-taking are in your local/municipal government?,TRUE,q117. How widespread do you think corruption and bribe-taking are in the national government [in capital city]?  Would you say …?,TRUE,117 How widespread do you think corruption and bribe-taking are in your local/municipal government?,TRUE,117 How often do government officials withhold important information from the public?,TRUE,117 How effective is the government in cracking down on corruption?,TRUE,q118; q120; q118; q120,0.856; 0.856; 0.856; 0.856
q118,other,6,Which comes closer to your own view?,TRUE,How widespread do you think corruption and bribe-taking are in the national government?,TRUE,"q118. In your opinion, is the government working to crack down on corruption and root out bribery?",TRUE,118 How widespread do you think corruption and bribe-taking are in the national government?,TRUE,118 How often do you think government leaders break the law or abuse their power?,TRUE,118 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,TRUE,q120; q120; q117; q117,1; 1; 0.856; 0.856
q120,other,6,Which comes closer to your own view?,TRUE,"In your opinion, is the government working to crackdown corruption and root out bribes?",TRUE,q120. Remember the scale that we used before: 1 means completely undemocratic and 10 means completely democratic. Where would you place China today on this scale?,TRUE,120 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,TRUE,120 To what extent is the legislature capable of keeping government leaders in check?,TRUE,120 Where would you place China today on this scale?,TRUE,q118; q118; q117; q117,1; 1; 0.856; 0.856
q128,other,6,The nation is run by a powerful few and ordinary citizens cannot do much about it,TRUE,Sometimes politics and government seems so complicated that a person like me can't really understand what is going on,TRUE,"q128. Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government.""",TRUE,"128 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",TRUE,128 Where would you place China today on this scale?,TRUE,"128 Do you agree or disagree with the following statement: 'Democracy may have its problems, but it is still the best form of government's?",TRUE,NA,NA
q142,other,6,Our country should defend our way of life instead of becoming more and more like other countries,TRUE,The government should maintain ownership of major state-owned enterprises,TRUE,q142. The government should decide whether certain ideas should be allowed to be discussed in society.,TRUE,142 Government leaders are like the head of a family; we should all follow their decisions,TRUE,142 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on,TRUE,142 How well or badly do you think the government handled the pandemic?,TRUE,NA,NA
q144,other,6,"The state is like a big machine and the individual is but a small cog, with no independent status",TRUE,Our country should defend our way of life instead of becoming more and more like other countries,TRUE,"q144. When judges decide important cases, they should accept the view of the executive branch.",TRUE,144 Harmony of the community will be disrupted if people organize lots of groups,TRUE,144 You can generally trust the people who run our government to do what is right,TRUE,144 Have you been vaccinated against Covid-19?,TRUE,NA,NA
q139,other,5,"If people have too many different ways of thinking, society will be chaotic",TRUE,"If we have political leaders who are morally upright, we can let them decide everything",TRUE,q139. Women should not be involved in politics as much as men.,TRUE,139 Women should not be involved in politics as much as men,TRUE,139 The army (military) should come in to govern the country,TRUE,NA,FALSE,NA,NA
q113,participation; civil_society,6,You can join any organization you like- is better than before?,TRUE,How often do national government officials abide by the law? (HK: Hong Kong government),TRUE,q113. How well do you think the government responds to what people want?,TRUE,113 How often do you think our elections offer the voters a real choice between different parties/candidates?,TRUE,113 Rich and poor people are treated equally by the government,TRUE,113 How much do you feel that having elections make the government more responsive to people's needs?,TRUE,NA,NA
q135,participation; local_govt,6,Harmony of the community will be disrupted if people organize lots of groups,TRUE,The government should decide whether certain ideas should be allowed to be discussed in society,TRUE,q135. People like me don't have any influence over what the government does.,TRUE,135 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,TRUE,"135 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",TRUE,135 People like me don't have any influence over what the government does.,TRUE,NA,NA
q122,politics,6,No opposition party should be allowed to compete for power,TRUE,Which of the following statements comes closer to your own view?,TRUE,q122. Where would you place Japan today on this scale?,TRUE,122 Where would you place the United States today on this scale?,TRUE,122 How much do you feel that having elections makes the government more responsive to people's needs,TRUE,122 Where would you place Japan today on this scale?,TRUE,NA,NA
q145,politics,6,The most important thing for a political leader is to accomplish his goals even if he has to ignore the established proc,TRUE,"In order to preserve social justice, the government should prevent the gap between rich and poor from growing any larger",TRUE,"q145. If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things.",TRUE,"145 When judges decide important cases, they should accept the view of the executive branch",TRUE,"145 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",TRUE,145 Why do you prefer not to be vaccinated against Covid-19?,TRUE,q77; q77,0.851; 0.851
q146,politics,6,"If a political leader really believes in his position, he should refuse to compromise regardless of how many people disa",TRUE,Our country should become more self-sufficient and less reliant on trade with other countries,TRUE,"q146. If we have political leaders who are morally upright, we can let them decide everything.",TRUE,"146 If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things",TRUE,146 Women should not be involved in politics as much as men,TRUE,146 I have here other statements: Women should not be involved in politics as much as men,TRUE,NA,NA
q147,politics,6,A political leader should tolerate the views of those who challenge his political ideals,TRUE,Let us suppose that you had to choose between being a..... which of these do you feel most strongly attached to,TRUE,"q147. If people have too many different ways of thinking, society will be chaotic.",TRUE,"147 If we have political leaders who are morally upright, we can let them decide everything",TRUE,147 The government should consult religious authorities when interpreting the laws,TRUE,147 The government should consult religious authorities when interpreting the laws.,TRUE,q147a; q147a,0.895; 0.895
q147a,politics,2,A political leader should not tolerate the views of those who challenge his political ideals,TRUE,NA,FALSE,chaotic,TRUE,NA,FALSE,NA,FALSE,NA,FALSE,q147; q147,0.895; 0.895
q148,politics; demographics,6,"As long as a political leader enjoys majority support, he should implement his own agenda and disregard the view of the",TRUE,These people should have the equal right to do whatever they want to do as other citizens,TRUE,"q148. When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation.",TRUE,"148 If people have too many different ways of thinking, society will be chaotic",TRUE,148 People with little or no education should have as much say in politics as highly-educated people,TRUE,148 People with little or no education should have as much say in politics as highly-educated people.,TRUE,NA,NA
q132,politics; efficacy; demographics,6,People with little or no education should have as much say in politics as highly-educated people,TRUE,Which of these two statements comes closer to your own view,TRUE,q132. We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,TRUE,132 The army (military) should come in to govern the country.,TRUE,132 Which of the following statements comes closest to your own opinion?,TRUE,132 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,TRUE,NA,NA
q127,politics; governance,6,Politics and government seems so complicated that a person like me can't really understand what is going on,TRUE,I think I have the ability to participate in politics,TRUE,"q127. If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",TRUE,"127 If you had to choose between democracy and economic development, which would you say is more important?",TRUE,127 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,TRUE,"127 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",TRUE,NA,NA
q108,politics; governance; corruption,6,Corruption in politics and government is under control- is better than before?,TRUE,Everyone is treated equally by the government,TRUE,q108. Do officials who commit crimes go unpunished?,TRUE,108. People are free to speak what they think without fear.,TRUE,108 Citizens are able to remove a government they don't like through elections,TRUE,108 How often do government officials withhold important information from the public?,TRUE,NA,NA
q112,politics; judiciary,6,Judges and courts are free from political interference- is better than before?,TRUE,How often do government officials withhold important information from the public view?,TRUE,q112. To what extent is the legislature capable of keeping government leaders in check?,TRUE,112 How often do you think government leaders break the law or abuse their power?,TRUE,112 All citizens from different ethnic communities in the country are treated equally by the government.,TRUE,112 How well do you think the government responds to what people want?,TRUE,NA,NA
q121,politics; legislature,6,We should get rid of parliament and elections and have a strong leader decide things,TRUE,Which of the following statements comes closest to your own opinion?,TRUE,q121. Where would you place the United States today on this scale?,TRUE,121 Where would you place China today on this scale?,TRUE,121 How well do you think the government responds to what people want?,TRUE,121 Where would you place the United States of America today on this scale?,TRUE,q124; q124,0.884; 0.884
q124,politics; legislature,6,We should get rid of parliament and elections and have the experts decide everything,TRUE,We should get rid of parliament and elections and have a strong leader decide things,TRUE,q124. Which of the following statements comes closest to your own opinion?,TRUE,124 Where would you place India on this scale?,TRUE,124 How widespread do you think corruption and bribe-taking are in your local/municipal government?,TRUE,124 Which of the following statements comes closest to your own opinion?,TRUE,q121; q121,0.884; 0.884
q126,politics; participation,6,I have the ability to participate in politics,TRUE,The army should come in to govern the country,TRUE,"q126. If you had to choose between democracy and economic development, which would you say is more important?",TRUE,126 Which of the following statements comes closer to your own view?,TRUE,126 How effective is the government in cracking down on corruption?,TRUE,"126 If you had to choose between democracy and economic development, which would you say is more important?",TRUE,NA,NA
q138,politics; values,6,"If we have political leaders who are morally upright, we can let them decide everything",TRUE,"If the government is constantly checked by the legislature, it cannot possibly accomplish great things",TRUE,"q138. I have here other statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? The government should consult religious authorities when interpreting the laws.",TRUE,"138 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",TRUE,138 Only one political party should be allowed to stand for election and hold office,TRUE,138 Have you or your family members previously contracted the Covid-19 virus?,TRUE,NA,NA
q131,trust; governance,6,You can generally trust the people who run our government to do what is right,TRUE,"Generally speaking, we can trust the local government officials to do the right things",TRUE,q131. The army (military) should come in to govern the country.,TRUE,131 Only one political party should be allowed to stand for election and hold office.,TRUE,131 Where would you place India today on this scale?,TRUE,131 The army (military) should come in to govern the country.,TRUE,NA,NA
q1,NA,5,NA,FALSE,How would you rate the overall economic condition of our country today?,TRUE,q1. How would you rate the overall economic condition of our country today?  Is it …,TRUE,1. How would you rate the overll economic condition of our country today?,TRUE,1. How would you rate the overall economic condition of our country today?,TRUE,1 How would you rate the overall economic condition of our country today?,TRUE,q001; q001,1; 1
q10,NA,5,NA,FALSE,Trust in Political parties,TRUE,q10. Political parties [not any specific party],TRUE,10 Political parties,TRUE,10 Political parties[not any specific party],TRUE,10 Political parties [not any specific party],TRUE,NA,NA
q11,NA,5,NA,FALSE,Trust in Parliament,TRUE,q11. Parliament,TRUE,11 Parliament,TRUE,11 Parliament,TRUE,11 Parliament,TRUE,NA,NA
q12,NA,5,NA,FALSE,Trust in Civil service,TRUE,q12. Civil service,TRUE,12 Civil service,TRUE,12 Civil service,TRUE,12 Civil Service,TRUE,NA,NA
q13,NA,5,NA,FALSE,Trust in the military(or armed forces),TRUE,q13. The military(or armed forces),TRUE,13 The military,TRUE,13 The military or armed force,TRUE,13 The military or armed forces,TRUE,NA,NA
q14,NA,5,NA,FALSE,Trust in the police,TRUE,q14. The police,TRUE,14 The police,TRUE,14 The police,TRUE,14 The police,TRUE,q8; q8; q17; q17,0.837; 0.837; 0.826; 0.826
q149,NA,5,NA,FALSE,They should enjoy the same right as other citizens to vote in the election of the top leader,TRUE,q149. How closely do you follow major events in foreign countries / the world?,TRUE,"149 When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation",TRUE,149 Government leaders are like the head of a family; we should all follow their decisions,TRUE,149 Government leaders are like the head of a family; we should all follow their decisions.,TRUE,NA,NA
q15,NA,5,NA,FALSE,Trust in local government,TRUE,q15. Local government,TRUE,15 Local government,TRUE,15 Local government,TRUE,15 Local government,TRUE,NA,NA
q150,NA,5,NA,FALSE,Their basic well-being should be taken care of by the government to the same extent as other citizens,TRUE,"q150. How often do you watch or listen to foreign programs (television, DVDs, movies, radio)?",TRUE,150 How closely do you follow major events in foreign countries/ the world?,TRUE,150 The government should decide whether certain ideas should be allowed to be discussed in society,TRUE,150 The government should decide whether certain ideas should be allowed to be discussed in society.,TRUE,NA,NA
q151,NA,5,NA,FALSE,A citizen who does not actively participate in the affairs of his local and national community is not performing his duties,TRUE,q151. Our country should defend our way of life instead of becoming more and more like other countries.,TRUE,151 Our country should defend our way of life instead of becoming more and more like other countries.,TRUE,151 Harmony of the community will be disrupted if people organize lots of groups,TRUE,151 Harmony of the community will be disrupted if people organize lots of groups.,TRUE,NA,NA
q152,NA,5,NA,FALSE,"Citizens should always obey laws and regulations, even if they disagree with them",TRUE,"q152. Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods.""",TRUE,"152 Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods.""",TRUE,"152 When judges decide important cases, they should accept the view of the executive branch",TRUE,"152 When judges decide important cases, they should accept the view of the executive branch.",TRUE,NA,NA
q153,NA,5,NA,FALSE,"Do you agree or disagree with the following statement: ""A citizen should always remain loyal only to his country, no matter how imperfect",TRUE,"q153. Do you agree or disagree with the following statement: ""Foreign goods are hurting the local community.""",TRUE,153 Do you think the government should increase or decrease the inflow of foreign immigrants into the country?,TRUE,"153 If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things",TRUE,"153 If the government is constantly checked by the legislature, it cannot possibly accomplish great things.",TRUE,q30; q30,0.824; 0.824
q154,NA,5,NA,FALSE,How proud are you to be a citizen of [Country],TRUE,q154. How proud are you to be a citizen of (COUNTRY)?,TRUE,154 Which of these statements comes closer to your view?,TRUE,"154 If we have political leaders who are morally upright, we can let them decide everything",TRUE,"154 If we have political leaders who are morally upright, we can let them decide everything.",TRUE,NA,NA
q155,NA,5,NA,FALSE,"Given the chance, how willing would you be to go and live in another country?",TRUE,"q155. Given the chance, how willing would you be to go and live in another country?",TRUE,155 How fair do you think income distribution is in the country?,TRUE,"155 If people have too many different ways of thinking, society will be chaotic",TRUE,"155 If people have too many different ways of thinking, society will be chaotic.",TRUE,NA,NA
q156,NA,5,NA,FALSE,Relation: The European Community or European Union,TRUE,q156. Which country has the most influence in Asia?,TRUE,156 It is the responsibility of the government to reduce the differences between people with high income and those with low incomes.,TRUE,156 Which of the following statements do you agree with the most? distinct way of life vs. learning from other countries,TRUE,156 Choose one statement.,TRUE,q160; q160,0.806; 0.806
q157,NA,5,NA,FALSE,Relation: The United Nations or UN,TRUE,"q157. Does (answer in Q156) do more good or harm to the region? Ask Q157a if the answer in Q156 is not China, otherwise skip to Q158",TRUE,157 How concerned are you about the loss of your major source of income within the next 12 months?,TRUE,157 Which of the following statements do you agree with the most? limit or import of foreign goods,TRUE,157 Choose one statement.,TRUE,q161; q161,0.9; 0.9
q158,NA,5,NA,FALSE,Relation: International Monetary Fund or IMF,TRUE,"q158. In ten years, which country will have the most influence in Asia?",TRUE,"158 The following is a hypothetical question: If you were unfortunate enough to lose your main source of income, how serious would it be for you and your family?",TRUE,158 Do you think the government should increase or decrease the inflow of foreigners who come to work in our country?,TRUE,158 Do you think the government should increase or decrease the inflow of foreign immigrants into the country.,TRUE,NA,NA
q159,NA,5,NA,FALSE,Relation: World Bank,TRUE,q159. Which country should be a model for our own country's future development?,TRUE,"159 Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair-4 categories?",TRUE,159 How fair do you think income distribution is in the country?,TRUE,159 How fair do you think income distribution in Mongolia,TRUE,q163; q163,0.837; 0.837
q16,NA,5,NA,FALSE,Trust in newspaper,TRUE,q16. Newspapers,TRUE,16 Newspaper,TRUE,16 The election commission,TRUE,16 The election commission,TRUE,q19; q19,0.819; 0.819
q161,NA,5,NA,FALSE,Impression: The United Nations or UN,TRUE,"q161. General speaking, the influence China has on our country is?",TRUE,161 How proud are you to be a citizen of the country? Are you?,TRUE,161 How worried are you that your family might lose its major source of income within the next 12 months?,TRUE,161 How worried are you that your family might lose its major source of income within the next 12 months?,TRUE,q157; q157,0.9; 0.9
q17,NA,5,NA,FALSE,Trust in television,TRUE,q17. Television,TRUE,17 Television,TRUE,17 Non-government organizations or NGOs,TRUE,17 Non-government organizations or NGOs,TRUE,q14; q14,0.826; 0.826
q18,NA,5,NA,FALSE,Trust in the election commission(Singapore: International TV),TRUE,q18. The election commission [specify institution by name] <Optional>,TRUE,18 The election commission,TRUE,18. Name of the organization you belong to. First,TRUE,18 Name of the organization you belong to. First,TRUE,NA,NA
q19,NA,5,NA,FALSE,Trust in NGOs,TRUE,q19. Non-governmental organizations or NGOs <Optional>,TRUE,19 Non-government organizations or NGOs,TRUE,19. Name of the organization you belong to. Second,TRUE,19 Name of the organization you belong to. Second,TRUE,q16; q16; q8; q8,0.819; 0.819; 0.808; 0.808
q2,NA,5,NA,FALSE,How would you describe the change in the economic condition of our country over the last years?,TRUE,q2. How would you describe the change in the economic condition of our country over the last few years,TRUE,2. How would you dsecribe the change in the economic condition of our country over the last few years?,TRUE,2. How would you dsecribe the change in the economic condition of our country over the last few years?,TRUE,2 How would you describe the change in the economic condition of our country over the last few years?,TRUE,q002; q002,0.973; 0.973
q20,NA,5,NA,FALSE,Are you a member of any organization or formal groups?,TRUE,q20. Could you identity the three most important organizations or formal groups you belong to. First Organization,TRUE,20. Name of the organization you belong to. First,TRUE,20. Name of the organization that you belong to. Third,TRUE,20 Name of the organization that you belong to. Third,TRUE,NA,NA
q23,NA,5,NA,FALSE,"General speaking, would you say ""Most people can be trusted"" or ""that you must be very careful""?",TRUE,"q23. General speaking, would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?",TRUE,"23 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?",TRUE,23 Do you agree with the statement that 'most people are trustworthy?',TRUE,23 Do you agree with the statement that 'most people are trustworthy?',TRUE,NA,NA
q24,NA,5,NA,FALSE,How much trust do you have in your relatives?,TRUE,"q24. Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair? (NEW)",TRUE,24. Do you ageee with the statement 'Most people are trustworthy',TRUE,24 How much trust do you have in each of the following types of people? Your relatives,TRUE,24 How much trust do you have in each of the following types of people? Your relatives,TRUE,q016; q016; q25; q25; q012,0.912; 0.912; 0.911; 0.911; 0.901
