batch,concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes
1,govt_anticorruption_effort,corruption,Is government working to crack down on corruption,,,,,q118,4pt_1best,q119,4pt_1best,q125,4pt_1low,q116,4pt_1low,,,,W3+ q118. 4pt (1=doing best to 4=nothing). HIGHER=LESS effort
3,govt_withhold_info,corruption,Government officials withhold important information from the public,,,,,q109,4pt_1always,,,,,,,,,,
1,govt_withhold_info,corruption,How often govt withholds important info from public,,,,,,,q111,4pt_1always,,,,,,,,W4+ q111. 4pt (1=always to 4=rarely). HIGHER=MORE transparent
2,leaders_abuse_power,corruption,How often govt leaders break law/abuse power,,,,,q110,4pt_1always,,,,,,,,,,W3 q110. 4pt_1always. NEW CONCEPT
1,leaders_break_law,corruption,How often govt leaders break law or abuse power,,,,,,,q112,4pt_1always,,,,,,,,W4+ q112. 4pt (1=always to 4=rarely). HIGHER=LESS corruption
3,officials_unpunished,corruption,Officials who commit crimes go unpunished,,,,,q108,4pt_1always,,,,,,,,,,
1,officials_unpunished,corruption,Officials who commit crimes go unpunished,,,,,,,q110,4pt_1always,,,,,,,,W4+ q110. 4pt (1=always to 4=rarely). HIGHER=LESS corruption
1,covid_economic_impact,covid,COVID impact on family livelihood,,,,,,,,,,,q140,4pt,covid_econ_impact,4pt_1serious,none,W6 only. 1=very serious to 4=not much
1,covid_emergency_powers,covid,Justify emergency powers for health,,,,,,,,,,,q172a,4pt_1justified,emergency_powers,4pt_1justified,none,W6 only. Authoritarianism measure
1,covid_govt_handling,covid,Government pandemic handling,,,,,,,,,,,q142,4pt,covid_govt_handling,4pt_1good,none,*** W6 ONLY - KEY DV for Paper 1 ***
1,covid_infection,covid,Personal/family COVID-19 infection,,,,,,,,,,,q138,binary,covid_infected,binary_1yes,none,*** W6 ONLY - KEY for Paper 1 (Vietnam Paradox) ***
1,covid_trust_info,covid,Trust in govt COVID information,,,,,,,,,,,q141,4pt,covid_trust_info,4pt_1high,none,*** W6 ONLY - KEY MEDIATOR for Paper 1 ***
1,covid_vaccination,covid,COVID vaccination status,,,,,,,,,,,q144,categorical,covid_vaccinated,categorical,none,W6 only. Multiple categories
1,emergency_powers_corruption,covid,Justify emergency powers to reduce corruption,,,,,,,,,,,q172c,4pt_1justified,,,,W6 q172c. Corruption justification
1,emergency_powers_covid,covid,Justify emergency powers for COVID pandemic,,,,,,,,,,,q172a,4pt_1justified,,,,W6 q172a. 1=very justified to 4=not at all
1,emergency_powers_economic,covid,Justify emergency powers for economic crisis,,,,,,,,,,,q172b,4pt_1justified,,,,W6 q172b. Economic crisis justification
1,emergency_powers_security,covid,Justify emergency powers for security crisis,,,,,,,,,,,q172d,4pt_1justified,,,,W6 q172d. Security/terrorism justification
1,emergency_powers_war,covid,Justify emergency powers when at war,,,,,,,,,,,q172e,4pt_1justified,,,,W6 q172e. War justification
1,between_elections_accountability,democracy,Between elections people can't hold govt responsible,,,,,,,q103,4pt_1agree,,,,,,,,W4+ q103. 4pt agree-disagree. REVERSED - agreement=less accountable
3,between_elections_accountability,democracy,,,,,,q100,4pt_1agree,,,,,,,,,,
1,courts_check_leaders,democracy,Courts can't do anything when leaders break laws,,,,,,,q104,4pt_1agree,,,,,,,,W4+ q104. 4pt agree-disagree. REVERSED - agreement=less accountable
3,courts_check_leaders,democracy,,,,,,q101,4pt_1agree,,,,,,,,,,
1,courts_powerless_govt_w2,democracy,"When the government breaks the laws, there is nothing the legal system can do",,,q107,4pt_agree,,,,,,,,,,,,
1,demchar_clean_politics,democracy,Politics clean and free of corruption (essential),,,,,,,,,q92,10pt_1low,,,,,,W5 q92 is clean politics (10pt essential scale)
1,demchar_courts_protect,democracy,Courts protect from govt abuse (essential for democracy),,,,,,,,,q91,10pt_1low,,,,,,W5 q91 is courts protect (1=not essential to 10=essential)
2,demchar_essential_1,democracy,Essential democracy characteristic (set 1),,,,,q85,4opt,,,,,q85,4opt,,,,W3 q85. 4opt. NEW CONCEPT
2,demchar_essential_2,democracy,Essential democracy characteristic (set 2),,,,,q86,4opt,,,,,q86,4opt,,,,W3 q86. 4opt. NEW CONCEPT
2,demchar_essential_3,democracy,Essential democracy characteristic (set 3),,,,,q87,4opt,,,,,q87,4opt,,,,W3 q87. 4opt. NEW CONCEPT
2,demchar_essential_4,democracy,Essential democracy characteristic (set 4),,,,,q88,4opt,,,,,q88,4opt,,,,W3 q88. 4opt. NEW CONCEPT
1,demchar_essential_choice_w2,democracy,People often differ in their views on the characteristic that is essential to democracy. If you have to choose only one of the things,,,q92,4pt,,,,,,,,,,,,
1,demchar_leader_wisdom,democracy,Leaders rule by wisdom not preferences (essential),,,,,,,,,q95,10pt_1low,,,,,,W5 q95 is leader wisdom (10pt essential scale)
1,demchar_one_party,democracy,One party represents all classes (essential),,,,,,,,,q96,10pt_1low,,,,,,W5 q96 is one party (10pt essential scale)
1,demchar_protest_freedom,democracy,Freedom to protest (essential for democracy),,,,,,,,,q93,10pt_1low,,,,,,W5 q93 is protest freedom (10pt essential scale)
1,demchar_religious_authority,democracy,Govt consults religious authorities (essential),,,,,,,,,q94,10pt_1low,,,,,,W5 q94 is religious authority (10pt essential scale)
1,demchar_religious_leaders,democracy,Religious leaders pre-select candidates (essential),,,,,,,,,q97,10pt_1low,,,,,,W5 q97 is religious selection (10pt essential scale)
1,democracy_assessment,democracy,How much of a democracy is country (4pt),,,,,,,q93,4pt_1high,,,,,,,,W4+ q93. 4pt (1=full democracy to 4=not democracy). Different from 10pt scale
3,democracy_best_form,democracy,Democracy best form of govt,,,,,q128,4pt_1agree,,,,,,,,,,
1,democracy_best_form,democracy,Democracy is best form despite problems,,,,,,,q129,4pt_1agree,q136,4pt_1agree,q128,4pt_1agree,,,,W4+ q129. 4pt agree-disagree. Pro-democracy attitude
1,democracy_desire_now_w2,democracy,To what extent would you want our country to be democratic now?,,,q97,3pt,,,,,,,,,,,,
1,democracy_essential_choice,democracy,Most essential element of democracy (forced choice),,,,,,,,,q98,4opt,,,,,,W5 q98 is forced choice between 4 democracy elements
1,democracy_meaning,democracy,What does democracy mean (open-ended),,,,,,,,,,,q89,open_ended,,,,W6 q89. Open-ended question
1,democracy_meaning_1,democracy,Meaning of democracy #1,,,q91_1,210cat,,,,,,,,,,,,
1,democracy_meaning_2,democracy,Meaning of democracy #2,,,q91_2,210cat,,,,,,,,,,,,
1,democracy_meaning_3,democracy,Meaning of democracy #3,,,q91_3,210cat,,,,,,,,,,,,
1,democracy_preferable,democracy,Democracy is preferable to alternatives,q117,3opt,q121,varies,,,q125,varies,q132,3opt,q124,3opt,dem_prefer,varies,none,Variable numbers differ. Check exact scale
1,democracy_solve_problems,democracy,Democracy capable of solving society's problems,,,,,,,q126,binary,q133,binary,q125,binary,,,,W4+ q126. Binary choice
3,democracy_solve_problems,democracy,Is democracy capable of solving the problems of society,,,,,q125,binary,,,,,,,,,,
1,democracy_vs_development,democracy,Choose between democracy and economic development,q119,"4pt_1econ,5equal",q123,"4pt_1econ,5equal",q126,"4pt_1econ,5equal",q127,"4pt_1econ,5equal",q134,"4pt_1econ,5equal",q126,"4pt_1econ,5equal",,,,W4+ q127. 5pt comparison scale with equally important option
2,elections_govt_attention,electoral,Elections make govt pay attention to people,,,,,q115,4pt_1high,q116,4pt_1high,q122,4pt_1high,q113,4pt_1high,,,,W3 q115. 4pt_1high. NEW CONCEPT
3,equality_vs_freedom,democracy,"Btw reducing econ inequality and protect pol freedom, which?",,,,,q127,"4pt_econ,5=equal",,,,,,,,,,
1,equality_vs_freedom,democracy,Choose between reducing inequality and protecting freedom,,,,,,,q128,5pt_compare,q135,5pt_compare,q127,5pt_compare,,,,W4+ q128. 5pt comparison scale
1,freedom_organization,democracy,People can join any organization without fear,,,,,,,q109,4pt_1agree,,,,,,,,W4+ q109. 4pt agree-disagree. Freedom perception
3,legislature_check_govt,democracy,Legislature capable of keeping government leaders in check,,,q115,4pt_capable,q112,4pt_capable,q114,4pt_capable,q120,4pt_capable,q111,4pt_capable,,,,
1,level_democracy,democracy,Level of democracy in country,,,q94,varies,q90,varies,q93,varies,q100,4pt_1high,q91,4pt_1high,dem_level,varies,none,Check scale per wave - may be 1-10 in some
1,minority_equal_rights_w2,democracy,These people should have the equal right to do whatever they want to do as other citizens,,,q148,3pt,,,,,,,,,,,,
1,minority_voting_rights_w2,democracy,They should enjoy the same right as other citizens to vote in the election of the top leader,,,q149,binary,,,,,,,,,,,,
1,parties_equal_media,democracy,Parties have equal access to media during elections,,,,,,,q102,4pt_1agree,,,,,,,,W4+ q102. 4pt agree-disagree. Electoral fairness perception
3,parties_equal_media,democracy,,,,,,q99,4pt_1agree,,,,,,,,,,
1,people_change_govt,democracy,People have power to change government they don't like,,,,,,,q101,4pt_1agree,,,,,,,,W4+ q101. 4pt agree-disagree. Democratic belief
1,satisfaction_democracy,democracy,Satisfaction with democracy,q098,4pt_1low,q93,4pt,q89,4pt,q92,4pt,q99,4pt_1high,q90,4pt_1high,dem_satisfaction,4pt_1high,none,Variable numbers differ but content same
1,uneducated_equal_say,democracy,Uneducated should have equal say in politics,,,q133,4pt_agree,q140,4pt_1agree,q141,4pt_1agree,q148,4pt_1agree,q148,4pt_1agree,trust_civil_service,4pt_1high,W3+,W3+ q140. 4pt agree-disagree. Egalitarian attitudes
1,age,demographics,Age of respondent,se003a,continuous,age,continuous,age,continuous,age,continuous,age,continuous,age,continuous,age,continuous,none,Standard demographic
1,education,demographics,Education level,se005,ordinal,education,ordinal,education,ordinal,education,ordinal,education,ordinal,education,ordinal,education,ordinal,none,Standard demographic - check coding
1,gender,demographics,Gender/sex,se002,binary,gender,binary,gender,binary,gender,binary,gender,binary,gender,binary,gender,binary,none,Standard demographic
2,household_income,demographics,Household income level,,,,,se13,ordinal,,,,,,,,,,W3 se13. ordinal. NEW CONCEPT
1,income,demographics,Income level,se009,ordinal,income,ordinal,income,ordinal,income,ordinal,income,ordinal,income,ordinal,income,ordinal,none,Check exact variable names per wave
1,subjective_social_status,demographics,Self-perceived social status (1-10 ladder),,,se13,10pt_1low,,,,,,,,,,,,W2+. 10pt ladder (1=Lowest to 10=Highest status). HIGHER=HIGHER status
1,urban_rural,demographics,Urban vs rural residence,level3,binary,level3,binary_1urban,urban,binary,urban,binary,urban,binary,urban,binary,urban,binary,none,Check exact variable names - may vary
1,econ_country_current,economic,Current country economic condition,q001,5pt_1bad,q1,5pt_1bad,q1,5pt,q1,5pt_rev,q1,5pt,q1,5pt,econ_country_now,5pt_1good,W4,All waves. Very good=1 to Very bad=5
1,econ_country_future,economic,Country economy in few years,q003,5pt_1bad,q3,5pt_1bad,q3,5pt,q3,5pt_rev,q3,5pt,q3,5pt,econ_country_future,5pt_1better,W4,All waves
1,econ_country_past,economic,Country economy vs few years ago,q002,5pt_1bad,q2,5pt_1bad,q2,5pt,q2,5pt_rev,q2,5pt,q2,5pt,econ_country_past,5pt_1better,W4,All waves. Much better=1 to Much worse=5
1,econ_family_current,economic,Current family economic condition,q004,5pt_1bad,q4,5pt_bad,q4,5pt,q4,5pt_rev,q4,5pt,q4,5pt,econ_family_now,5pt_1good,W4,All waves
1,econ_family_future,economic,Family economy in few years,q006,5pt_1bad,q6,5pt_1bad,q6,5pt,q6,5pt_rev,q6,5pt,q6,5pt,econ_family_future,5pt_1better,W4,All waves
1,econ_family_past,economic,Family economy vs few years ago,q005,5pt_1bad,q5,5pt_1bad,q5,5pt,q5,5pt_rev,q5,5pt,q5,5pt,econ_family_past,5pt_1better,W4,All waves
1,economic_self_sufficiency_w2,economic,Our country should become more self-sufficient and less reliant on trade with other countries,,,q146,4pt,,,,,,,,,,,,
1,govt_own_enterprises_w2,economic,The government should maintain ownership of major state-owned enterprises,,,q142,4pt_1agree,,,,,,,,,,,,
1,govt_reduce_inequality,economic,Govt responsibility to narrow gap btw rich and poor,,,,,,,q156,4pt_1agree,q160a,4pt_1all_resp,q160a,4pt_1all_resp,govt_reduce_ineq,varies,none,W4+ q156. 4pt agree-disagree. Redistributive preference
1,govt_reduce_inequality_w2,economic,"In order to preserve social justice, the government should prevent the gap between rich and poor from growing any larger",,,q145,4pt_1agree,,,,,,,,,,,,
1,income_distribution_fair,economic,How fair is income distribution in country,,,,,,,q155,4pt_1high,q159,4pt_1high,q159,4pt_1high,income_fair_country,4pt_1high,none,W4+ q155. 4pt (1=very fair to 4=very unfair). HIGHER=LESS fair
1,income_fairness_personal,economic,Family income is fair given efforts,,,,,,,q159,4pt_1high,q163,6pt_1high,q163,4pt_1high,income_fair_personal,4pt_1high,none,W4+ q159. 4pt (1=very fair to 4=very unfair). HIGHER=LESS fair
1,income_loss_concern,economic,Concerned about losing major income source next 12 months,,,,,,,q157,4pt_1low,q161,4pt_1high,q161,4pt_1high,income_worry,4pt_1high,none,W4+ q157. 4pt (1=not at all to 4=very concerned). HIGHER=MORE concerned
1,income_loss_impact,economic,How serious if lost main income source,,,,,,,q158,3pt_1serious,q162,3pt_1serious,q162,3pt_1serious,income_impact,3pt_1high,none,W4+ q158. 3pt (1=serious difficulty to 3=manage fine). HIGHER=LESS serious
1,follow_comm_lead_vote,election_mobilization,Voted as community leader suggested,q047,binary_1no,,,,,,,,,,,,,,
1,follow_family_vote,election_mobilization,Voted as family member/relative suggested,q044,binary_1no,,,,,,,,,,,,,,
1,follow_friend_vote,election_mobilization,Voted as friend/neighbor suggested,q046,binary_1no,,,,,,,,,,,,,,
1,follow_known_official_vote,election_mobilization,Voted as known govt official suggested,q051,binary_1no,,,,,,,,,,,,,,
1,follow_org_lead_vote,election_mobilization,Voted as organization leader suggested,q050,binary_1no,,,,,,,,,,,,,,
1,follow_other_vote,election_mobilization,Voted as other person suggested,q055,binary_1no,,,,,,,,,,,,,,
1,follow_owner_vote,election_mobilization,Voted as owner where you work suggested,q049,binary_1no,,,,,,,,,,,,,,
1,follow_party_activist_vote,election_mobilization,Voted as party activist suggested,q053,binary_1no,,,,,,,,,,,,,,
1,follow_senior_clan_vote,election_mobilization,Voted as senior clan member suggested,q045,binary_1no,,,,,,,,,,,,,,
1,follow_superior_vote,election_mobilization,Voted as superior at work suggested,q048,binary_1no,,,,,,,,,,,,,,
1,follow_unknown_official_vote,election_mobilization,Voted as unknown govt official suggested,q052,binary_1no,,,,,,,,,,,,,,
1,follow_unknown_party_activist_vote,election_mobilization,Voted as unknown party activist suggested,q054,binary_1no,,,,,,,,,,,,,,
1,solicited_by_boss,election_mobilization,Asked to vote by superior at work,q036,binary_1no,,,,,,,,,,,,,,
1,solicited_by_comm_lead,election_mobilization,Asked to vote by community leader,q035,binary_1no,,,,,,,,,,,,,,
1,solicited_by_family,election_mobilization,Asked to vote by family member/relative,q032,binary_1no,,,,,,,,,,,,,,
1,solicited_by_friend,election_mobilization,Asked to vote by friend/neighbor,q034,binary_1no,,,,,,,,,,,,,,
1,solicited_by_known_official,election_mobilization,Asked to vote by known govt official,q039,binary_1no,,,,,,,,,,,,,,
1,solicited_by_known_party_activist,election_mobilization,Asked to vote by known party activist,q041,binary_1no,,,,,,,,,,,,,,
1,solicited_by_org,election_mobilization,Asked to vote by organization leader,q038,binary_1no,,,,,,,,,,,,,,
1,solicited_by_other,election_mobilization,Asked to vote by other person,q043,binary_1no,,,,,,,,,,,,,,
1,solicited_by_owner,election_mobilization,Asked to vote by owner where you work,q037,binary_1no,,,,,,,,,,,,,,
1,solicited_by_senior_clan,election_mobilization,Asked to vote by senior clan member,q033,binary_1no,,,,,,,,,,,,,,
1,solicited_by_unknown_official,election_mobilization,Asked to vote by unknown govt official,q040,binary_1no,,,,,,,,,,,,,,
1,solicited_by_unknown_party_activist,election_mobilization,Asked to vote by unknown party activist,q042,binary_1no,,,,,,,,,,,,,,
1,attend_campaign,electoral,Attended campaign meeting or rally,q029,binary_1no,q40,binary_2yes,q34,binary_1yes,q35,binary_1yes,q35,binary_1yes,q35,binary_1yes,attend_campaign,binary_1yes,W1-W2,All waves. W1-W2 (1=no 2=yes) vs W3-W6 (1=yes 2=no). W1-W2 need reversal
1,election_free_fair,electoral,Assessment of election freeness and fairness,,,q43,4pt_1freefair,q37,"5pt_1freefaor,5free_notfair",q38,4pt_1freefair,q38,4pt_1freefair,q38,4pt_1freefair,election_quality,4pt_1freefair,none,W2-W6. 4-point scale (1=completely free/fair to 4=not free/fair). W3 adds 5th option (free but unfair). Higher=worse quality
1,election_real_choice,electoral,How often elections offer real choice between parties,,,q114,4pt_always,q111,4pt_always,q113,4pt_always,q119,4pt_always,q110,4pt_always,election_real_choice,4pt_1best,none,W2-W6. Four point scale (1=always to 4=rarely). Higher=worse. Perception of electoral competitiveness
1,persuade_vote,electoral,Tried to persuade others to vote for candidate/party,q030,binary_1no,q41,binary_2yes,q35,binary_1yes,,,,,q36,binary_1yes,persuade_vote,binary_1yes,W1-W2,W1-W3 and W6. Missing W4-W5. W1-W2 (1=no 2=yes) vs W3/W6 (1=yes 2=no). W1-W2 need reversal
1,vote_buying_experience,electoral,Offered something in return for vote,,,,,,,,,,,q79,3pt_1often,,,,"W6 q79. 1=often, 2=sometimes, 3=never"
1,vote_winner_loser,electoral,Voted for winning or losing camp,,,,,,,,,,,q34a,categorical,,,,W6 q34a. Winner/loser/not sure
1,vote_winner_loser_w2,electoral,If the respondent voted for the winning camp or loosing camp?,,,q39a,4pt_agree,,,,,,,,,,,,
1,voting_history_self_w2,electoral,"Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted",,,q90,4pt,,,,,,,,,,,,
1,which_party_voted,electoral,Which party or candidate voted for,q028,categorical,q39,country_specific,q33,country_specific,q34,country_specific,q34,country_specific,q34,country_specific,party_voted,categorical,none,All waves. Country-specific party codes. Not directly comparable across countries
1,work_for_party,electoral,Worked or helped party/candidate in campaign,q031,binary_1no,q42,binary_2yes,q36,binary_1yes,q37,binary_1yes,q37,binary_1yes,q37,binary_1yes,work_party,binary_1yes,W1-W2,All waves. W1-W2 (1=no 2=yes) vs W3-W6 (1=yes 2=no). W1-W2 need reversal
1,impression_china,external_impressions,,,,q165,10pt_1bad,,,,,,,,,,,,
1,impression_eu,external_impressions,,,,q160,10pt_1bad,,,,,,,,,,,,
1,impression_imf,external_impressions,,,,q162,10pt_1bad,,,,,,,,,,,,
1,impression_japan,external_impressions,,,,q166,10pt_1bad,,,,,,,,,,,,
1,impression_un,external_impressions,,,,q161,10pt_1bad,,,,,,,,,,,,
1,impression_usa,external_impressions,,,,q164,10pt_1bad,,,,,,,,,,,,
1,impression_worldbank,external_impressions,,,,q163,10pt_1bad,,,,,,,,,,,,
1,access_childcare,governance,How easy to obtain childcare,,,,,,,,,,,q45,4pt_1easy,access_childcare,,,W6 q45. 1=very easy to 4=very difficult
1,access_healthcare,governance,How easy to obtain healthcare,,,,,,,,,,,,4pt_1easy,,,,W6 q42. 1=very easy to 4=very difficult
1,access_id_document,governance,How easy to obtain identity document service,,,q44,5pt_1diff-no-try,q38,5pt_1diff-no-try,q39,5pt_1diff-no-try,,,,,,,,W4+ q39. 4pt (1=very difficult to 4=very easy). HIGHER=EASIER
1,access_internet,governance,How easy to obtain internet access,,,,,,,,,,,q44,4pt_1easy,access_internet,,,W6 q44. 1=very easy to 4=very difficult
1,access_medical,governance,How easy to obtain medical treatment at clinic,,,q46,5pt_1diff-no-try,q40,5pt_1diff-no-try,q41,5pt_1diff-no-try,,,,,,,,W4+ q41. 4pt (1=very difficult to 4=very easy). HIGHER=EASIER
1,access_police,governance,How easy to obtain help from police,,,,,,,,,,,q43,4pt_1easy,access_police,,,W6 q43. 1=very easy to 4=very difficult
1,access_police_help,governance,How easy to obtain help from police,,,q47,5pt_1diff-no-try,q41,5pt_1diff-no-try,q42,5pt_1diff-no-try,,,,,,,,W4+ q42. 4pt (1=very difficult to 4=very easy). HIGHER=EASIER
1,access_roads,governance,How easy to obtain roads in good condition,,,,,,,,,,,q39,4pt_1easy,,,,W6 q39. 1=very easy to 4=very difficult
1,access_school,governance,How easy to obtain place in public primary school,,,q45,5pt_1diff-no-try,q39,5pt_1diff-no-try,q40,5pt_1diff-no-try,,,,,,,,W4+ q40. 4pt (1=very difficult to 4=very easy). HIGHER=EASIER
1,access_transport,governance,How easy to obtain public transportation,,,,,,,,,,,q41,4pt_1easy,access_transport,,,W6 q41. 1=very easy to 4=very difficult
1,access_water,governance,How easy to obtain running water,,,,,,,,,,,q40,4pt_1easy,access_water,,,W6 q40. 1=very easy to 4=very difficult
1,accountability_vs_efficiency,governance,Hold govt accountable vs get things done,,,,,,,,,q83,binary_choice,,,,,,W5 q83 is accountability vs efficiency binary
1,basic_necessities_met,governance,"People have basic necessities (food, clothes, shelter)",,,q109,4pt_1agree,q105,4pt_1agree,q107,4pt_1agree,q114,4pt_1agree,q105,4pt_1agree,basic_needs,4pt_1high,none,W4+ q107. 4pt agree-disagree
1,country_problem_1,governance,Most important problem facing country (1st),,,q100,categorical,q96,categorical,q99,categorical,q106,categorical,q97,categorical,county_problem_1,categorical,,W6 q97. Multiple categories
1,country_problem_2,governance,Most important problem facing country (2nd),,,q101,categorical,,,q99a,categorical,q106a,categorical,q97a,categorical,county_problem_2,categorical,,W6 q97a. Second most important
1,country_problem_3,governance,Most important problem facing country (3rd),,,q102,categorical,,,q99b,categorical,q106b,categorical,q97b,categorical,county_problem_3,categorical,,W6 q97b. Third most important
1,country_problem_main,governance,Most important problems facing country,,,,,,,q99,categorical,,,,,,,,W4+ q99. Multiple choice with 39 categories
1,environment_vs_economy,governance,Priority: environment protection vs economic growth,,,,,,,q154,binary,,,,,,,,W4+ q154. Binary choice
1,equal_treatment_all,governance,Everyone is treated equally by the government,,,q108,4pt,,,,,,,,,,,,
1,ethnic_equal_treatment,governance,All ethnic communities treated equally by government,,,,,q103,4pt_1agree,q105,4pt_1agree,q112,4pt_1agree,q103,4pt_1agree,equal_ethnic,4pt_1high,none,W4+ q105. 4pt agree-disagree
1,freedom_association,governance,Freedom to join organization of choice,,,q111,4pt_1agree,q107,4pt_1agree,q109,,q116,4pt_1agree,q107,4pt_1agree,freedom_assoc,4pt_1high,W2+,W2+. 4pt scale (1=Completely free to 4=Not at all free). HIGHER=LESS freedom
1,freedom_press,governance,Freedom of press/media,,,q112,4pt_1complete,,,,,,,,,,,,W2+. 4pt scale (1=Completely free to 4=Not at all free). HIGHER=LESS freedom
1,freedom_speech,governance,Perceived freedom to express opinions without fear,,,q110,4pt_1agree,q106,4pt_1agree,q108,4pt_1agree,q115,4pt_1agree,q106,4pt_1agree,freedom_speech,4pt_1high,W2+,W2+. 4pt scale (1=Completely free to 4=Not at all free). HIGHER=LESS freedom
1,freedom_vote,governance,Freedom to vote without pressure,,,q113,4pt_1complete,,,,,,,,,,,,W2+. 4pt scale (1=Completely free to 4=Not at all free). HIGHER=LESS freedom
1,govt_employee_vs_parent,governance,Govt is employee of people vs parent who decides,,,,,q75,binary,q80,binary_choice,,,,,,,,"W3+ q75. Statement 1=employee, 2=parent"
1,govt_implement_vs_decide,governance,Govt implements voter wants vs does what thinks best,,,,,,,,,q82,binary_choice,,,,,,W5 q82 is govt responsiveness binary choice
1,govt_responsive_people,governance,How well govt responds to what people want,,,,,,,q115,4pt_1high,,,,,,,,W4+ q115. 4pt (1=very responsive to 4=not at all). HIGHER=LESS responsive
1,govt_responsive_vs_expert,governance,Govt should do what voters want vs what experts think best,,,,,q74,binary,q79,binary_choice,,,,,,,,"W3+ q74. Statement 1=responsive, 2=expert knows best"
2,govt_responsiveness,governance,How well govt responds to what people want,,,,,q113,4pt_1high,,,,,,,,,,W3 q113. 4pt_1high. NEW CONCEPT
1,govt_responsiveness_w2,governance,How well do you think the government responds to what people want?,,,q116,4pt_agree,,,,,,,,,,,,
1,govt_solve_problem,governance,How likely govt will solve main problem,,,q102a,4pt_likely,q97,4pt_likely,q100,4pt_likely,q107,4pt_likely,q98,4pt_likely,likelihood_govt_solves,4pt_likely,,W6 q98. 1=very likely to 4=not at all likely
1,govt_solve_problem_likely,governance,How likely govt will solve main problem in 5 years,,,,,,,q100,4pt_1high,,,,,,,,W4+ q100. 4pt (1=very likely to 4=not at all likely). HIGHER=LESS likely
1,individual_vs_govt_welfare,governance,Individual responsibility vs govt welfare,,,,,q77,binary,,,,,,,,,,"W3+ q77. Statement 1=individual, 2=govt responsible"
1,leaders_elected_vs_merit,governance,Leaders chosen by election vs merit,,,,,q78,binary,q82,binary_choice,,,,,,,,"W3+ q78. Statement 1=elected, 2=merit-based"
1,leaders_elected_vs_virtue,governance,Leaders chosen by election vs by virtue/capability,,,,,,,,,q85,binary_choice,,,,,,W5 q85 is leader selection binary choice
1,local_govt_authority_w2,governance,The local government should have more authority over local decisions than it does now,,,q143,4pt,,,,,,,,,,,,
1,media_freedom_vs_control,governance,Media free to publish vs govt controls,,,,,q76,binary,q81,binary_choice,,,,,,,,"W3+ q76. Statement 1=media free, 2=govt controls"
