concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes,source,w1_label
trust_first_meet,trust,Trust in people you meet first time,NA,NA,q27,6pt,q27,6pt,NA,NA,q27,6pt,q27,6pt,trust_first_meet,6pt_1high,none,W2-W3 and W5-W6. Missing W4,existing,NA
econ_country_current,economic,Current country economic condition,NA,NA,q1,5pt,q1,5pt,q1,5pt_rev,q1,5pt,q1,5pt,econ_country_now,5pt_1good,W4,All waves. Very good=1 to Very bad=5,existing,NA
econ_country_past,economic,Country economy vs few years ago,NA,NA,q2,5pt,q2,5pt,q2,5pt_rev,q2,5pt,q2,5pt,econ_country_past,5pt_1better,W4,All waves. Much better=1 to Much worse=5,existing,NA
econ_country_future,economic,Country economy in few years,NA,NA,q3,5pt,q3,5pt,q3,5pt_rev,q3,5pt,q3,5pt,econ_country_future,5pt_1better,W4,All waves,existing,NA
econ_family_current,economic,Current family economic condition,NA,NA,q4,5pt,q4,5pt,q4,5pt_rev,q4,5pt,q4,5pt,econ_family_now,5pt_1good,W4,All waves,existing,NA
econ_family_past,economic,Family economy vs few years ago,NA,NA,q5,5pt,q5,5pt,q5,5pt_rev,q5,5pt,q5,5pt,econ_family_past,5pt_1better,W4,All waves,existing,NA
econ_family_future,economic,Family economy in few years,NA,NA,q6,5pt,q6,5pt,q6,5pt_rev,q6,5pt,q6,5pt,econ_family_future,5pt_1better,W4,All waves,existing,NA
interest_politics,politics,Interest in politics,NA,NA,q92,4pt,q88,4pt,q91,4pt,q89,4pt,q91,4pt,pol_interest,4pt_1high,none,Variable numbers change but content consistent,existing,NA
follow_news,politics,How often follow political news,NA,NA,NA,NA,q91,varies,q94,varies,q92,varies,q94,varies,follow_news,varies,none,W3-W6. Check exact scales per wave,existing,NA
voted_last_election,politics,Voted in last national election,NA,NA,q38,binary,q33,binary,q33,binary,q33,binary,q33,binary,voted,binary,none,All waves. Yes/No,existing,NA
satisfaction_democracy,democracy,Satisfaction with democracy,NA,NA,q93,4pt,q89,4pt,q92,4pt,q90,4pt,q92,4pt,dem_satisfaction,4pt_1high,none,Variable numbers differ but content same,existing,NA
level_democracy,democracy,Level of democracy in country,NA,NA,q94,varies,q90,varies,q93,varies,q91,varies,q93,varies,dem_level,varies,none,Check scale per wave - may be 1-10 in some,existing,NA
democracy_preferable,democracy,Democracy is preferable to alternatives,q121,NA,q121,varies,q132,varies,q125,varies,q124,varies,q125,varies,dem_prefer,varies,none,Variable numbers differ. Check exact scale,existing,We should get rid of parliament and elections and have a strong leader decide things
covid_infection,covid,Personal/family COVID-19 infection,q138,NA,NA,NA,NA,NA,NA,NA,NA,NA,q138,binary,covid_infected,binary_1yes,none,*** W6 ONLY - KEY for Paper 1 (Vietnam Paradox) ***,existing,"If we have political leaders who are morally upright, we can let them decide everything"
covid_economic_impact,covid,COVID impact on family livelihood,q140,NA,NA,NA,NA,NA,NA,NA,NA,NA,q140,4pt,covid_econ_impact,4pt_1serious,none,W6 only. 1=very serious to 4=not much,existing,The government should maintain ownership of major state-owned enterprises
covid_trust_info,covid,Trust in govt COVID information,q141,NA,NA,NA,NA,NA,NA,NA,NA,NA,q141,4pt,covid_trust_info,4pt_1high,none,*** W6 ONLY - KEY MEDIATOR for Paper 1 ***,existing,The national government should have more authority over local decisions than it does now
covid_govt_handling,covid,Government pandemic handling,q142,NA,NA,NA,NA,NA,NA,NA,NA,NA,q142,4pt,covid_govt_handling,4pt_1good,none,*** W6 ONLY - KEY DV for Paper 1 ***,existing,Our country should defend our way of life instead of becoming more and more like other countries
covid_vaccination,covid,COVID vaccination status,q144,NA,NA,NA,NA,NA,NA,NA,NA,NA,q144,categorical,covid_vaccinated,categorical,none,W6 only. Multiple categories,existing,"The state is like a big machine and the individual is but a small cog, with no independent status"
covid_emergency_powers,covid,Justify emergency powers for health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q172a,4pt,emergency_powers,4pt_1justified,none,W6 only. Authoritarianism measure,existing,NA
contact_frequency,social,People contacted in typical week,NA,NA,q27,continuous,q28,continuous,q28,continuous,q28,continuous,q28,continuous,social_contacts,continuous,none,W2-W6. Count variable,existing,NA
difficult_problem_help,social,People to help with problems,NA,NA,q29,ordinal,q29,ordinal,q31,ordinal,q31,ordinal,q31,ordinal,social_support,ordinal,none,W2-W6. Ordinal scale (nobody/few/some/lot),existing,NA
age,demographics,Age of respondent,NA,NA,age,continuous,age,continuous,age,continuous,age,continuous,age,continuous,age,continuous,none,Standard demographic,existing,NA
education,demographics,Education level,NA,NA,education,ordinal,education,ordinal,education,ordinal,education,ordinal,education,ordinal,education,ordinal,none,Standard demographic - check coding,existing,NA
gender,demographics,Gender/sex,NA,NA,gender,binary,gender,binary,gender,binary,gender,binary,gender,binary,gender,binary,none,Standard demographic,existing,NA
income,demographics,Income level,NA,NA,income,ordinal,income,ordinal,income,ordinal,income,ordinal,income,ordinal,income,ordinal,none,Check exact variable names per wave,existing,NA
urban_rural,demographics,Urban vs rural residence,NA,NA,urban,binary,urban,binary,urban,binary,urban,binary,urban,binary,urban,binary,none,Check exact variable names - may vary,existing,NA
country,identifiers,Country name,NA,NA,country,categorical,country,categorical,country,categorical,country,categorical,country,categorical,country_name,categorical,none,Standardize country names,existing,NA
year,identifiers,Survey year,NA,NA,year,continuous,year,continuous,year,continuous,year,continuous,year,continuous,survey_year,continuous,none,2006/2010/2014/2018/2022,existing,NA
respondent_id,identifiers,Unique respondent ID,NA,NA,idnumber,id,idnumber,id,idnumber,id,idnumber,id,idnumber,id,resp_id,id,none,May need to create wave-country-id,existing,NA
concept_001,NA,How would you rate the overall economic conditi...,NA,NA,q1,NA,q1,NA,q1,NA,q1,NA,q1,NA,concept_001_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_002,NA,"As for your own family, how do you rate your ec...",NA,NA,q4,NA,q4,NA,q4,NA,q4,NA,q4,NA,concept_002_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_003,NA,"Even if parents' demands are unreasonable, chil...",NA,NA,q56,NA,q56,NA,q56,NA,q56,NA,q56,NA,concept_003_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_004,NA,A person should not insist on his own opinion i...,NA,NA,q59,NA,q59,NA,q59,NA,q59,NA,q59,NA,concept_004_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_005,NA,"For the sake of the family, the individual shou...",NA,NA,q60,NA,q60,NA,q60,NA,q60,NA,q60,NA,concept_005_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_006,governance,Where would you place our country under the pre...,q100,NA,q100,NA,q100,NA,q100,NA,q100,NA,q100,NA,concept_006_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,Where would you place our country under the present government?
concept_007,democracy,To what extent would you want our country to be...,q101,NA,q101,NA,q101,NA,q101,NA,q101,NA,q101,NA,concept_007_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,To what extent would you want our country to be democratic now?
concept_008,other,Which comes closer to your own view?,q118,NA,q118,NA,q118,NA,q118,NA,q118,NA,q118,NA,concept_008_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,Which comes closer to your own view?
concept_010,NA,q74a. Do you strongly agree or just agree with ...,NA,NA,NA,NA,q74a,NA,q74a,NA,q156a,NA,q156a,NA,concept_010_harm,NA,NA,Auto-generated from 4 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_011,NA,167 Which country should be a model for our own...,NA,NA,NA,NA,NA,NA,q167,NA,q167,NA,q167,NA,concept_011_harm,NA,NA,Auto-generated from 3 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_012,NA,168 How much influence does China have on our c...,NA,NA,NA,NA,NA,NA,q168,NA,q168,NA,q168,NA,concept_012_harm,NA,NA,Auto-generated from 3 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_013,NA,"169 General speaking, the influence China has o...",NA,NA,NA,NA,NA,NA,q169,NA,q169,NA,q169,NA,concept_013_harm,NA,NA,Auto-generated from 3 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_014,NA,170 How much influence does the United States h...,NA,NA,NA,NA,NA,NA,q170,NA,q170,NA,q170,NA,concept_014_harm,NA,NA,Auto-generated from 3 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_015,NA,"171 General speaking, the influence the United ...",NA,NA,NA,NA,NA,NA,q171,NA,q171,NA,q171,NA,concept_015_harm,NA,NA,Auto-generated from 3 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_016,NA,172 How close do you feel to ASEAN? (ASEAN coun...,NA,NA,NA,NA,NA,NA,q172,NA,q172,NA,q186,NA,concept_016_harm,NA,NA,Auto-generated from 3 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_017,NA,q21. Second Organization,NA,NA,NA,NA,q21,NA,q21,NA,q21,NA,q21,NA,concept_017_harm,NA,NA,Auto-generated from 4 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_018,NA,q22. Third Organization,NA,NA,NA,NA,q22,NA,q22,NA,q22,NA,q22,NA,concept_018_harm,NA,NA,Auto-generated from 4 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_020,NA,How would you describe the change in the econom...,NA,NA,q2,NA,q2,NA,q2,NA,q2,NA,q2,NA,concept_020_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_022,NA,How would you compare the current economic cond...,NA,NA,q5,NA,q5,NA,q5,NA,q5,NA,q5,NA,concept_022_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_026,NA,What do you think will be the state of our coun...,NA,NA,q3,NA,q3,NA,q3,NA,q3,NA,q3,NA,concept_026_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_029,NA,What do you think the economic situation of you...,NA,NA,q6,NA,q6,NA,q6,NA,q6,NA,q6,NA,concept_029_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_030,local_govt,"For the sake of the national community/society,...",q143,NA,q143,NA,q143,NA,q143,NA,q143,NA,q76,NA,concept_030_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,"For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest"
concept_031,governance; satisfaction,How satisfied or dissatisfied are you with the ...,q104,NA,q104,NA,q104,NA,q104,NA,q104,NA,q104,NA,concept_031_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,How satisfied or dissatisfied are you with the current government?
concept_032,NA,How often do you follow news about politics and...,NA,NA,q50,NA,q50,NA,q50,NA,q50,NA,q50,NA,concept_032_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_034,NA,How much impact do you feel government politics...,NA,NA,q53,NA,q53,NA,q53,NA,q53,NA,q53,NA,concept_034_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_035,NA,How much trust do you have in your relatives?,NA,NA,q24,NA,q24,NA,q24,NA,q24,NA,q24,NA,concept_035_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_041,NA,How interested would you say you are in politics,NA,NA,q49,NA,q49,NA,q49,NA,q49,NA,q49,NA,concept_041_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_042,NA,Relation: The United Nations or UN,NA,NA,q157,NA,q157,NA,q157,NA,q157,NA,q157,NA,concept_042_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_043,politics,A political leader should tolerate the views of...,q147,NA,q147,NA,q147,NA,q147,NA,q147,NA,q147,NA,concept_043_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,A political leader should tolerate the views of those who challenge his political ideals
concept_046,corruption,anyone you know personally witnessed an act of ...,q116,NA,q116,NA,q116,NA,q116,NA,q116,NA,q116,NA,concept_046_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,anyone you know personally witnessed an act of corruption?
concept_047,NA,Where would you place our country during the pe...,NA,NA,q95,NA,q95,NA,q95,NA,q95,NA,q95,NA,concept_047_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_048,NA,Did you do anything else to help out or work fo...,NA,NA,q42,NA,q42,NA,q42,NA,q42,NA,q42,NA,concept_048_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_051,NA,"When one has conflict with a neighbor, the best...",NA,NA,q58,NA,q58,NA,q58,NA,q58,NA,q58,NA,concept_051_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_052,NA,160b It is the responsibility of the government...,NA,NA,NA,NA,NA,NA,NA,NA,q160b,NA,q160b,NA,concept_052_harm,NA,NA,Auto-generated from 2 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_055,NA,156_1 Our country should do more to learn from ...,NA,NA,NA,NA,NA,NA,NA,NA,q156_1,NA,q156_1,NA,concept_055_harm,NA,NA,Auto-generated from 2 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_056,politics,The most important thing for a political leader...,q145,NA,q145,NA,q145,NA,q145,NA,q145,NA,q145,NA,concept_056_harm,NA,NA,Auto-generated from 6 waves (including W1 where present). REVIEW NEEDED.,auto-generated,The most important thing for a political leader is to accomplish his goals even if he has to ignore the established proc
