concept,domain,description,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes
level_democracy,democracy,Level of democracy in country,q94,varies,q90,varies,q93,varies,q91,varies,q93,varies,dem_level,varies,none,Check scale per wave - may be 1-10 in some
democracy_preferable,democracy,Democracy is preferable to alternatives,q121,varies,q132,varies,q125,varies,q124,varies,q125,varies,dem_prefer,varies,none,Variable numbers differ. Check exact scale
covid_infection,covid,Personal/family COVID-19 infection,NA,NA,NA,NA,NA,NA,NA,NA,q138,binary,covid_infected,binary_1yes,none,*** W6 ONLY - KEY for Paper 1 (Vietnam Paradox) ***
covid_economic_impact,covid,COVID impact on family livelihood,NA,NA,NA,NA,NA,NA,NA,NA,q140,4pt,covid_econ_impact,4pt_1serious,none,W6 only. 1=very serious to 4=not much
covid_trust_info,covid,Trust in govt COVID information,NA,NA,NA,NA,NA,NA,NA,NA,q141,4pt,covid_trust_info,4pt_1high,none,*** W6 ONLY - KEY MEDIATOR for Paper 1 ***
covid_govt_handling,covid,Government pandemic handling,NA,NA,NA,NA,NA,NA,NA,NA,q142,4pt,covid_govt_handling,4pt_1good,none,*** W6 ONLY - KEY DV for Paper 1 ***
covid_vaccination,covid,COVID vaccination status,NA,NA,NA,NA,NA,NA,NA,NA,q144,categorical,covid_vaccinated,categorical,none,W6 only. Multiple categories
covid_emergency_powers,covid,Justify emergency powers for health,NA,NA,NA,NA,NA,NA,NA,NA,q172a,4pt,emergency_powers,4pt_1justified,none,W6 only. Authoritarianism measure
contact_frequency,social,People contacted in typical week,q27,continuous,q28,continuous,q28,continuous,q28,continuous,q28,continuous,social_contacts,continuous,none,W2-W6. Count variable
difficult_problem_help,social,People to help with problems,q29,ordinal,q29,ordinal,q31,ordinal,q31,ordinal,q31,ordinal,social_support,ordinal,none,W2-W6. Ordinal scale (nobody/few/some/lot)
age,demographics,Age of respondent,age,continuous,age,continuous,age,continuous,age,continuous,age,continuous,age,continuous,none,Standard demographic
education,demographics,Education level,education,ordinal,education,ordinal,education,ordinal,education,ordinal,education,ordinal,education,ordinal,none,Standard demographic - check coding
gender,demographics,Gender/sex,gender,binary,gender,binary,gender,binary,gender,binary,gender,binary,gender,binary,none,Standard demographic
income,demographics,Income level,income,ordinal,income,ordinal,income,ordinal,income,ordinal,income,ordinal,income,ordinal,none,Check exact variable names per wave
urban_rural,demographics,Urban vs rural residence,urban,binary,urban,binary,urban,binary,urban,binary,urban,binary,urban,binary,none,Check exact variable names - may vary
country,identifiers,Country name,country,categorical,country,categorical,country,categorical,country,categorical,country,categorical,country_name,categorical,none,Standardize country names
year,identifiers,Survey year,year,continuous,year,continuous,year,continuous,year,continuous,year,continuous,survey_year,continuous,none,2006/2010/2014/2018/2022
respondent_id,identifiers,Unique respondent ID,idnumber,id,idnumber,id,idnumber,id,idnumber,id,idnumber,id,resp_id,id,none,May need to create wave-country-id
