concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes,source,w1_label
trust_first_meet,trust,Trust in people you meet first time,NA,NA,q27,6pt,q27,6pt,NA,NA,q27,6pt,q27,6pt,trust_first_meet,6pt_1high,none,W2-W3 and W5-W6. Missing W4,existing,NA
econ_country_current,economic,Current country economic condition,NA,NA,q1,5pt,q1,5pt,q1,5pt_rev,q1,5pt,q1,5pt,econ_country_now,5pt_1good,W4,All waves. Very good=1 to Very bad=5,existing,NA
econ_country_past,economic,Country economy vs few years ago,NA,NA,q2,5pt,q2,5pt,q2,5pt_rev,q2,5pt,q2,5pt,econ_country_past,5pt_1better,W4,All waves. Much better=1 to Much worse=5,existing,NA
econ_country_future,economic,Country economy in few years,NA,NA,q3,5pt,q3,5pt,q3,5pt_rev,q3,5pt,q3,5pt,econ_country_future,5pt_1better,W4,All waves,existing,NA
econ_family_current,economic,Current family economic condition,NA,NA,q4,5pt,q4,5pt,q4,5pt_rev,q4,5pt,q4,5pt,econ_family_now,5pt_1good,W4,All waves,existing,NA
econ_family_past,economic,Family economy vs few years ago,NA,NA,q5,5pt,q5,5pt,q5,5pt_rev,q5,5pt,q5,5pt,econ_family_past,5pt_1better,W4,All waves,existing,NA
econ_family_future,economic,Family economy in few years,NA,NA,q6,5pt,q6,5pt,q6,5pt_rev,q6,5pt,q6,5pt,econ_family_future,5pt_1better,W4,All waves,existing,NA
interest_politics,politics,Interest in politics,NA,NA,q92,4pt,q88,4pt,q91,4pt,q89,4pt,q91,4pt,pol_interest,4pt_1high,none,Variable numbers change but content consistent,existing,NA
follow_news,politics,How often follow political news,NA,NA,NA,NA,q91,varies,q94,varies,q92,varies,q94,varies,follow_news,varies,none,W3-W6. Check exact scales per wave,existing,NA
voted_last_election,politics,Voted in last national election,NA,NA,q38,binary,q33,binary,q33,binary,q33,binary,q33,binary,voted,binary,none,All waves. Yes/No,existing,NA
satisfaction_democracy,democracy,Satisfaction with democracy,NA,NA,q93,4pt,q89,4pt,q92,4pt,q90,4pt,q92,4pt,dem_satisfaction,4pt_1high,none,Variable numbers differ but content same,existing,NA
level_democracy,democracy,Level of democracy in country,NA,NA,q94,varies,q90,varies,q93,varies,q91,varies,q93,varies,dem_level,varies,none,Check scale per wave - may be 1-10 in some,existing,NA
democracy_preferable,democracy,Democracy is preferable to alternatives,q121,NA,q121,varies,q132,varies,q125,varies,q124,varies,q125,varies,dem_prefer,varies,none,Variable numbers differ. Check exact scale,existing,We should get rid of parliament and elections and have a strong leader decide things
covid_infection,covid,Personal/family COVID-19 infection,q138,NA,NA,NA,NA,NA,NA,NA,NA,NA,q138,binary,covid_infected,binary_1yes,none,*** W6 ONLY - KEY for Paper 1 (Vietnam Paradox) ***,existing,"If we have political leaders who are morally upright, we can let them decide everything"
covid_economic_impact,covid,COVID impact on family livelihood,q140,NA,NA,NA,NA,NA,NA,NA,NA,NA,q140,4pt,covid_econ_impact,4pt_1serious,none,W6 only. 1=very serious to 4=not much,existing,The government should maintain ownership of major state-owned enterprises
covid_trust_info,covid,Trust in govt COVID information,q141,NA,NA,NA,NA,NA,NA,NA,NA,NA,q141,4pt,covid_trust_info,4pt_1high,none,*** W6 ONLY - KEY MEDIATOR for Paper 1 ***,existing,The national government should have more authority over local decisions than it does now
covid_govt_handling,covid,Government pandemic handling,q142,NA,NA,NA,NA,NA,NA,NA,NA,NA,q142,4pt,covid_govt_handling,4pt_1good,none,*** W6 ONLY - KEY DV for Paper 1 ***,existing,Our country should defend our way of life instead of becoming more and more like other countries
covid_vaccination,covid,COVID vaccination status,q144,NA,NA,NA,NA,NA,NA,NA,NA,NA,q144,categorical,covid_vaccinated,categorical,none,W6 only. Multiple categories,existing,"The state is like a big machine and the individual is but a small cog, with no independent status"
covid_emergency_powers,covid,Justify emergency powers for health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,q172a,4pt,emergency_powers,4pt_1justified,none,W6 only. Authoritarianism measure,existing,NA
contact_frequency,social,People contacted in typical week,NA,NA,q27,continuous,q28,continuous,q28,continuous,q28,continuous,q28,continuous,social_contacts,continuous,none,W2-W6. Count variable,existing,NA
difficult_problem_help,social,People to help with problems,NA,NA,q29,ordinal,q29,ordinal,q31,ordinal,q31,ordinal,q31,ordinal,social_support,ordinal,none,W2-W6. Ordinal scale (nobody/few/some/lot),existing,NA
age,demographics,Age of respondent,NA,NA,age,continuous,age,continuous,age,continuous,age,continuous,age,continuous,age,continuous,none,Standard demographic,existing,NA
education,demographics,Education level,NA,NA,education,ordinal,education,ordinal,education,ordinal,education,ordinal,education,ordinal,education,ordinal,none,Standard demographic - check coding,existing,NA
gender,demographics,Gender/sex,NA,NA,gender,binary,gender,binary,gender,binary,gender,binary,gender,binary,gender,binary,none,Standard demographic,existing,NA
income,demographics,Income level,NA,NA,income,ordinal,income,ordinal,income,ordinal,income,ordinal,income,ordinal,income,ordinal,none,Check exact variable names per wave,existing,NA
urban_rural,demographics,Urban vs rural residence,NA,NA,urban,binary,urban,binary,urban,binary,urban,binary,urban,binary,urban,binary,none,Check exact variable names - may vary,existing,NA
country,identifiers,Country name,NA,NA,country,categorical,country,categorical,country,categorical,country,categorical,country,categorical,country_name,categorical,none,Standardize country names,existing,NA
year,identifiers,Survey year,NA,NA,year,continuous,year,continuous,year,continuous,year,continuous,year,continuous,survey_year,continuous,none,2006/2010/2014/2018/2022,existing,NA
respondent_id,identifiers,Unique respondent ID,NA,NA,idnumber,id,idnumber,id,idnumber,id,idnumber,id,idnumber,id,resp_id,id,none,May need to create wave-country-id,existing,NA
obey_parents_unreasonable,traditionalism,Children should obey parents even if unreasonable,q064,4pt_1trad,q56,4pt_1trad,q55,4pt_1trad,q60,4pt_1trad,q62,4pt_1trad,q60,4pt_1trad,trad_obey_parents,4pt_1high,none,All waves. 1=Strongly agree to 4=Strongly disagree. Higher=less traditional,manual,NA
hire_relatives_over_qualified,traditionalism,Hire relatives over qualified stranger,q065,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trad_nepotism,4pt_1high,none,W1 only. Measuring nepotism/particularism,manual,NA
accommodate_neighbor,traditionalism,Accommodate neighbor in conflict,q066,4pt_1trad,q58,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,trad_accommodate,4pt_1high,none,W1-W2 only. Conflict avoidance,manual,NA
fate_determines_success,traditionalism,Fate determines wealth and success,q067,4pt_1trad,NA,NA,q61,4pt_1trad,q66,4pt_1trad,q68,4pt_1trad,q66,4pt_1trad,trad_fate,4pt_1high,none,W1 and W3-W6. Fatalism measure,manual,NA
not_insist_opinion_coworkers,traditionalism,Not insist on own opinion if coworkers disagree,q068,4pt_1trad,q59,4pt_1trad,q60,4pt_1trad,q65,4pt_1trad,q67,4pt_1trad,q65,4pt_1trad,trad_conform_work,4pt_1high,none,All waves. Conformity/harmony over individual opinion,manual,NA
family_over_individual,traditionalism,Put family interests before individual,q069,4pt_1trad,q60,4pt_1trad,q50,4pt_1trad,q55,4pt_1trad,q58,4pt_1trad,q56,4pt_1trad,trad_family_first,4pt_1high,none,All waves. Collectivism - family level,manual,NA
man_lose_face_female_boss,traditionalism,Man loses face working under female supervisor,q070,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trad_gender_hierarchy,4pt_1high,none,W1 only. Gender hierarchy,manual,NA
elder_resolve_dispute,traditionalism,Ask elder to resolve quarrels,q071,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trad_elder_authority,4pt_1high,none,W1 only. Respect for age/authority,manual,NA
mother_in_law_conflict,traditionalism,Husband should side with mother-in-law over wife,q072,4pt_1trad,NA,NA,q56,4pt_1trad,q61,4pt_1trad,q63,4pt_1trad,q61,4pt_1trad,trad_filial_piety,4pt_1high,none,W1 and W3-W6. Filial piety over spousal loyalty,manual,NA
not_question_teacher,traditionalism,Students should not question teacher authority,NA,NA,q57,4pt_1trad,q57,4pt_1trad,q62,4pt_1trad,q64,4pt_1trad,q62,4pt_1trad,trad_teacher_authority,4pt_1high,none,W2-W6. Hierarchical education,manual,NA
follow_own_beliefs,traditionalism,Follow own beliefs regardless of others,NA,NA,q61,4pt_1modern,NA,NA,NA,NA,NA,NA,NA,NA,trad_individualism,4pt_1high,W2,W2 only. REVERSED - agreement=modern/individualistic. Need reversal,manual,NA
immediate_vs_longterm,traditionalism,Long-term relationship over immediate interest,NA,NA,q62,4pt_1trad,q53,4pt_1trad,q58,4pt_1trad,q61,4pt_1trad,q59,4pt_1trad,trad_longterm,4pt_1high,none,W2-W6. Relational vs transactional orientation,manual,NA
sacrifice_individual_group,traditionalism,Sacrifice individual for group collective interest,NA,NA,NA,NA,q51,4pt_1trad,q56,4pt_1trad,q59,4pt_1trad,q57,4pt_1trad,trad_collectivism_group,4pt_1high,none,W3-W6. Collectivism - group level,manual,NA
sacrifice_individual_nation,traditionalism,Sacrifice individual for national interest,NA,NA,NA,NA,q52,4pt_1trad,q57,4pt_1trad,q60,4pt_1trad,q58,4pt_1trad,trad_collectivism_nation,4pt_1high,none,W3-W6. Collectivism - national level,manual,NA
avoid_open_quarrel,traditionalism,Avoid open quarrel to preserve group harmony,NA,NA,NA,NA,q58,4pt_1trad,q63,4pt_1trad,q65,4pt_1trad,q63,4pt_1trad,trad_harmony_group,4pt_1high,none,W3-W6. Harmony/conflict avoidance,manual,NA
avoid_disagreement_conflict,traditionalism,Avoid conflict even with disagreement,NA,NA,NA,NA,q59,4pt_1trad,q64,4pt_1trad,q66,4pt_1trad,q64,4pt_1trad,trad_avoid_conflict,4pt_1high,none,W3-W6. Interpersonal conflict avoidance,manual,NA
plan_future_not_immediate,traditionalism,Plan for future not just immediate interest,NA,NA,NA,NA,q54,4pt_1trad,q59,4pt_1trad,NA,NA,NA,NA,trad_future_oriented,4pt_1high,none,W3-W4 only. Similar to q53 but slightly different wording,manual,NA
prefer_boy_child,traditionalism,Prefer to have boy over girl if only one child,NA,NA,NA,NA,q62,4pt_1trad,q67,4pt_1trad,q69,4pt_1trad,q67,4pt_1trad,trad_son_preference,4pt_1high,none,W3-W6. Gender preference/patrilineal values,manual,NA
not_preoccupied_gains_losses,traditionalism,Not preoccupied with temporary gains and losses,NA,NA,NA,NA,q63,4pt_1trad,q68,4pt_1trad,NA,NA,NA,NA,trad_not_calculating,4pt_1high,none,W3-W4 only. Long-term orientation variant,manual,NA
contact_elected_officials,participation,Contacted elected officials or legislative representatives,q073,3pt_done,q72,3pt_done,q67,3pt_done,q69,3pt_done,q71,3pt_done,q69,3pt_done,contact_officials,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). Some waves have 4-point version with willingness. HIGHER=LESS participation,manual,NA
contact_higher_officials,participation,Contacted government officials at higher level,q074,3pt_done,q73,3pt_done,q68,3pt_done,q70,3pt_done,q72,3pt_done,q70,3pt_done,contact_higher_govt,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,NA
contact_traditional_leaders,participation,Contacted traditional or community leaders,NA,NA,q74,3pt_done,q69,3pt_done,q71,3pt_done,q73,3pt_done,q71,3pt_done,contact_traditional,3pt_1high,none,W2-W6. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,NA
contact_influential_people,participation,Contacted other influential people outside government,NA,NA,q75,3pt_done,q70,3pt_done,q72,3pt_done,q74,3pt_done,q72,3pt_done,contact_influential,3pt_1high,none,W2-W6. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,NA
contact_media,participation,Contacted news media,q080,3pt_done,q76,3pt_done,q71,3pt_done,q73,3pt_done,q75,3pt_done,q73,3pt_done,contact_media,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,NA
collective_problem_solving,participation,Got together with others to resolve local problems,NA,NA,q77,3pt_done,q72,3pt_done,q74,3pt_done,q77,3pt_done,q75,3pt_done,collective_action,3pt_1high,none,W2-W6. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,NA
petition_sign,participation,Got together to raise issue or sign petition,q084,3pt_done,q78,3pt_done,q73,3pt_done,q75,3pt_done,q78,3pt_done,q76,3pt_done,sign_petition,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,NA
attend_demonstration,participation,Attended demonstration or protest march,q087,3pt_done,q80,3pt_done,q75,3pt_done,q76,3pt_done,q79,3pt_done,q77,3pt_done,attend_protest,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,NA
use_force_violence,participation,Used force or violence for political cause,q095,3pt_done,q81,3pt_done,q76,3pt_done,q77,3pt_done,q80,3pt_done,q78,3pt_done,use_force,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,NA
voting_frequency_pattern,participation,How often vote in elections since eligible,NA,NA,NA,NA,q78,4pt_1high,q78,4pt_1high,q81,4pt_1high,q79,4pt_1high,voting_pattern,4pt_1high,none,W3-W6. 4-point scale (1=every election to 4=hardly ever). HIGHER=LESS participation,manual,NA
which_party_voted,electoral,Which party or candidate voted for,q028,country_specific,q39,country_specific,q33,country_specific,q34,country_specific,q34,country_specific,q34,country_specific,party_voted,categorical,none,All waves. Country-specific party codes. Not directly comparable across countries,manual,NA
attend_campaign,electoral,Attended campaign meeting or rally,q029,binary_2yes,q40,binary_2yes,q34,binary_1yes,q35,binary_1yes,q35,binary_1yes,q35,binary_1yes,attend_campaign,binary_1yes,W1-W2,All waves. W1-W2 (1=no 2=yes) vs W3-W6 (1=yes 2=no). W1-W2 need reversal,manual,NA
persuade_vote,electoral,Tried to persuade others to vote for candidate/party,q030,binary_2yes,q41,binary_2yes,q35,binary_1yes,NA,NA,NA,NA,q36,binary_1yes,persuade_vote,binary_1yes,W1-W2,W1-W3 and W6. Missing W4-W5. W1-W2 (1=no 2=yes) vs W3/W6 (1=yes 2=no). W1-W2 need reversal,manual,NA
work_for_party,electoral,Worked or helped party/candidate in campaign,q031,binary_2yes,q42,binary_2yes,q36,binary_1yes,q37,binary_1yes,q37,binary_1yes,q37,binary_1yes,work_party,binary_1yes,W1-W2,All waves. W1-W2 (1=no 2=yes) vs W3-W6 (1=yes 2=no). W1-W2 need reversal,manual,NA
election_free_fair,electoral,Assessment of election freeness and fairness,NA,NA,q43,4pt_1best,q37,5pt_1best,q38,4pt_1best,q38,4pt_1best,q38,4pt_1best,election_quality,4pt_1best,none,W2-W6. 4-point scale (1=completely free/fair to 4=not free/fair). W3 adds 5th option (free but unfair). Higher=worse quality,manual,NA
election_real_choice,electoral,How often elections offer real choice between parties,NA,NA,q114,4pt_1best,q111,4pt_1best,q113,4pt_1best,q119,4pt_1best,q110,4pt_1best,election_choice,4pt_1best,none,W2-W6. Four point scale (1=always to 4=rarely). Higher=worse. Perception of electoral competitiveness,manual,NA
democracy_scale_current,regime,Democracy scale for country now (1-10),q096,10pt_1low,q96,10pt_1low,q92,10pt_1low,q94,10pt_1low,q96,10pt_1low,q94,10pt_1low,democracy_scale_now,10pt_1high,none,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic,manual,NA
democracy_scale_past,regime,Democracy scale for country 10 years ago,q097,10pt_1low,q97,10pt_1low,q93,10pt_1low,q95,10pt_1low,q97,10pt_1low,q95,10pt_1low,democracy_scale_past,10pt_1high,none,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic,manual,NA
democracy_scale_future,regime,Expected democracy scale 10 years from now,q098,10pt_1low,q98,10pt_1low,q94,10pt_1low,q96,10pt_1low,q98,10pt_1low,q96,10pt_1low,democracy_scale_future,10pt_1high,none,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic,manual,NA
democracy_suitable,regime,Whether democracy is suitable for our country,q099,10pt_1low,q99,10pt_1low,q95,10pt_1low,q97,10pt_1low,q99,10pt_1low,q97,10pt_1low,democracy_suitable,10pt_1high,none,All waves. 10-point scale (1=completely unsuitable to 10=perfectly suitable). HIGHER=MORE suitable,manual,NA
govt_satisfaction,regime,Satisfaction with current government,q102,4pt_1high,q102,4pt_1high,q98,4pt_1high,q98,4pt_1high,q100,4pt_1high,q98,4pt_1high,govt_satisfaction,4pt_1high,none,All waves. 4-point scale (1=very satisfied to 4=very dissatisfied). HIGHER=LESS satisfied,manual,NA
strong_leader_support,regime,Support for strong leader who doesn't bother with elections,q103,4choice,q103,4choice,q130,4choice,q130,4choice,q132,4choice,q130,4choice,strong_leader,4choice,none,All waves. 4-choice ordinal (1=strongly support to 4=strongly oppose). HIGHER=LESS authoritarian,manual,NA
army_rule_support,regime,Support for army rule,q104,4choice,q104,4choice,q131,4choice,q131,4choice,q133,4choice,q131,4choice,army_rule,4choice,none,All waves. 4-choice ordinal (1=strongly support to 4=strongly oppose). HIGHER=LESS authoritarian,manual,NA
expert_decide_support,regime,Support for experts making decisions instead of government/elections,q105,4choice,q105,4choice,q132,4choice,q132,4choice,q134,4choice,q132,4choice,expert_decide,4choice,none,All waves. 4-choice ordinal (1=strongly support to 4=strongly oppose). HIGHER=LESS authoritarian,manual,NA
org_member_any,social_capital,Member of any organization or group (binary),NA,NA,q20,binary,NA,NA,NA,NA,NA,NA,NA,NA,org_member_any,binary,none,W2 only. Binary yes/no question,manual,NA
org_count_formal,social_capital,Number of formal groups belong to,fgnum,count_0to3,fgnum,count_0to3,NA,NA,NA,NA,NA,NA,NA,NA,org_count_formal,count,none,W1-W2 only. Count variable 0-3,manual,NA
org_count_private,social_capital,Number of private groups belong to,pgnum,count_0to3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,org_count_private,count,none,W1 only. Count variable 0-3,manual,NA
org_member_1,social_capital,First most important organization belong to,NA,NA,q20_1,20cat,q20,21cat,q20,21cat,q18,21cat,q18,21cat,org_import_1,categorical,none,W2 has 20 categories. W3-W6 have 21 categories. Categories mostly align,manual,NA
org_member_2,social_capital,Second most important organization,NA,NA,q20_2,20cat,q21,21cat,q21,21cat,q19,21cat,q19,21cat,org_import_2,categorical,none,W2 has 20 categories. W3-W6 have 21 categories,manual,NA
org_member_3,social_capital,Third most important organization,NA,NA,q20_3,20cat,q22,21cat,q22,21cat,q20,21cat,q20,21cat,org_import_3,categorical,none,W2 has 20 categories. W3-W6 have 21 categories,manual,NA
org_most_active,social_capital,Most actively participated organization in past 12 months,NA,NA,NA,NA,NA,NA,NA,NA,q21,21cat,q21,21cat,org_most_active,categorical,none,W5-W6 only. Same 21 categories,manual,NA
trust_gen_binary,social_capital,Most people can be trusted (binary/trichotomous),q024,3opt,q23,2opt,q23,2opt,q23,2opt,q22,3opt,q22,3opt,trust_general_binary,binary,none,W1 has 3 options (both/it depends). W2-W4 binary. W5-W6 add it depends,manual,NA
trust_gen_trustworthy,social_capital,Most people are trustworthy (agree scale),NA,NA,NA,NA,q49,4pt,q24,4pt,q23,4pt,q23,4pt,trust_general_scale,4pt_1high,none,W3-W6 only. 1=Strongly agree to 4=Strongly disagree. Need reversal,manual,NA
trust_fairness,social_capital,People try to take advantage vs be fair,NA,NA,NA,NA,NA,NA,q25,2opt,NA,NA,NA,NA,trust_fairness,binary,none,W4 only. Binary choice question,manual,NA
trust_first_time,social_capital,Trust in people you meet for the first time,NA,NA,q27,4pt_1low,q27,4pt_1low,NA,NA,q27,6pt_1high,q27,6pt_1high,trust_first_time,4pt_1high,W5-W6,W2-W3 and W5-W6. Missing W4. W2-W3 (1=none→4=great deal) HIGHER=MORE. W5-W6 (1=fully→6=distrust) HIGHER=LESS. Must reverse W5-W6,manual,NA
network_status,social_capital,Social status of most contacts (higher/lower/equal),NA,NA,NA,NA,NA,NA,NA,NA,q29,3cat,q29,3cat,social_network_status,categorical,none,W5-W6 only. Three categories comparing social status,manual,NA
network_politics,social_capital,Political views similarity of frequent contacts,NA,NA,NA,NA,NA,NA,NA,NA,q30,6cat,q30,6cat,social_network_political,categorical,none,W5-W6 only. Six categories from all similar to don't know their views,manual,NA
support_receive,social_capital,Can ask people for help with difficult problems,NA,NA,NA,NA,q29,4pt,q30,4pt,q31,4pt,q31,4pt,social_support_receive,4pt_1high,none,W3-W6. Four point scale from nobody to a lot of people,manual,NA
support_give,social_capital,Other people come to you for help,NA,NA,NA,NA,q30,4pt,q31,4pt,NA,NA,NA,NA,social_support_give,4pt_1high,none,W3-W4 only. Four point scale from nobody to a lot of people,manual,NA
political_tolerance,social_capital,Difficulty conversing with those with different political views,NA,NA,q31,4pt,q31,4pt,q32,4pt,q32,4pt,q32,4pt,political_tolerance,4pt_1high,yes_reverse,W2-W6. Four point from very hard to not hard at all. Higher=more tolerant so reverse code,manual,NA
internet_access_home,internet,Have Internet access at home,NA,NA,NA,NA,NA,NA,q47,binary_1yes,NA,NA,NA,NA,internet_home,binary_1yes,none,W4 only. Binary 1=yes 2=no,manual,NA
internet_access_mobile,internet,Have Internet access on mobile phone,NA,NA,NA,NA,NA,NA,q48,binary_1yes,NA,NA,NA,NA,internet_mobile,binary_1yes,none,W4 only. Binary 1=yes 2=no with 0=no cell phone,manual,NA
internet_use_frequency,internet,How often use internet,NA,NA,NA,NA,NA,NA,q49,8pt_1high,q49,8pt_1high,q50,8pt_1high,internet_frequency,8pt_1high,none,W4-W6. 8-point scale 1=several hours daily to 8=never. HIGHER=LESS. Consistent directionality across waves,manual,NA
socialmedia_use,internet,Currently use social media networks,NA,NA,NA,NA,NA,NA,q50,binary_1yes,q50,binary_1yes,NA,NA,socialmedia_use,binary_1yes,none,W4-W5. Binary 1=yes 2=no. W6 asks about specific platforms (q51a-q51h) instead,manual,NA
internet_politics_info,internet,How often use internet/social media to find political information,NA,NA,NA,NA,NA,NA,q51,6pt_1high,NA,NA,NA,NA,internet_politics_info,6pt_1high,none,W4 only. 6-point scale 1=everyday to 6=practically never. HIGHER=LESS,manual,NA
internet_politics_express,internet,How often use internet/social media to express political opinion,NA,NA,NA,NA,NA,NA,q52,6pt_1high,q76,binary_done,q73,binary_done,internet_politics_express,mixed,none,Different measurement across waves. W4 (6-point frequency 1=everyday to 6=never). W5-W6 (binary ever done). Not directly comparable - harmonization difficult,manual,NA
socialmedia_opinion_politics,internet,Use social media to express opinion on political issues,NA,NA,NA,NA,NA,NA,NA,NA,q51b,binary_1yes,q52b,freq_6pt,socialmedia_politics_opinion,mixed,none,W5-W6 only but different scales. W5 binary usage. W6 frequency scale. Requires careful harmonization,manual,NA
socialmedia_connect_people,internet,Use social media to connect with other people,NA,NA,NA,NA,NA,NA,NA,NA,q51a,binary_1yes,q52a,freq_6pt,socialmedia_connect,mixed,none,W5-W6 only but different scales. W5 binary usage. W6 frequency scale. Not directly comparable,manual,NA
socialmedia_share_news,internet,Use social media to share news or information,NA,NA,NA,NA,NA,NA,NA,NA,q51c,binary_1yes,q52c,freq_6pt,socialmedia_share_news,mixed,none,W5-W6 only but different scales. W5 binary usage. W6 frequency scale. Not directly comparable,manual,NA
discuss_politics,political_interest,How often discuss political matters with family or friends,q023,5pt_1low,q52,3pt_1low,q46,3pt_1high,q46,3pt_1high,q48,3pt_1high,q49,3pt_1high,discuss_politics,3pt_1high,W1-W2,Most waves. W1 (1=never to 5=very often) 5-point HIGHER=MORE. W2 (1=never to 3=frequently) 3-point HIGHER=MORE. W3-W6 (1=frequently to 3=never) HIGHER=LESS. Must reverse W1-W2. Different scale lengths require careful harmonization,manual,NA
party_closeness,partisanship,Which party do you feel closest to,q062,categorical,q54,categorical,q47,categorical,q53,categorical,q56,categorical,q54,categorical,party_id,categorical,none,All waves. Categorical variable with country-specific party codes. 90/99=no party. Codes vary by country - not directly comparable across countries but consistent concept,manual,NA
concept_001,NA,How would you rate the overall economic conditi...,NA,NA,q1,NA,q1,NA,q1,NA,q1,NA,q1,NA,concept_001_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
concept_002,NA,"As for your own family, how do you rate your ec...",NA,NA,q4,NA,q4,NA,q4,NA,q4,NA,q4,NA,concept_002_harm,NA,NA,Auto-generated from 5 waves (including W1 where present). REVIEW NEEDED.,auto-generated,NA
