concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes,source,w1_label
trust_others_interact,trust,Trust in people you interact with,NA,NA,q26,4pt_1high,q26,4pt_1high,q28,4pt_1high,q26,6pt,q26,6pt,trust_others,6pt_1high,none,W2-W3 and W5-W6. Missing W4,existing,NA
trust_parliament,trust,Trust in parliament/legislature,q010,4pt_0low,q11,4pt,q11,4pt_1high,q11,4pt_rev,q11,6pt,q11,4pt,trust_parliament,4pt_1high,W4,All waves present,existing,Trust in parliament
trust_parties,trust,Trust in political parties,q009,4pt_0low,q10,4pt,q10,4pt_1high,q10,4pt_rev,q10,6pt,q10,4pt,trust_parties,4pt_1high,W4,All waves present,existing,Trust in political parties
trust_police,trust,Trust in police,q013,4pt_0low,q14,4pt,q14,4pt_1high,q14,4pt_rev,q14,6pt,q14,4pt,trust_police,4pt_1high,W4,All waves present,existing,Trust in police
trust_relatives,trust,Trust in relatives,NA,NA,q24,4pt_1high,q24,4pt_1high,q26,4pt_1high,q24,6pt,q24,6pt,trust_relatives,6pt_1high,none,W2-W3 and W5-W6. Missing W4,existing,NA
trust_television,trust,Trust in television,NA,NA,q19,4pt_1low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W2. 4pt trust scale (1=None at all to 4=Great deal). W2 only - distinct media trust,w2_verification,NA
trust_television_w3,trust,Trust in television (W3 specific),NA,NA,NA,NA,q17,4pt_1high,q17,4pt_1high,NA,NA,NA,NA,NA,NA,NA,W3 q17. 4pt (1=Great deal to 4=None). W3-only - other waves have different media items,w3_verification,NA
econ_country_current,economic,Current country economic condition,q001,5pt_1bad,q1,5pt,q1,5pt,q1,5pt_rev,q1,5pt,q1,5pt,econ_country_now,5pt_1good,W4,All waves. Very good=1 to Very bad=5,existing,Country economic condition now (1=Very bad to 5=Very good)
econ_country_future,economic,Country economy in few years,q003,5pt_1worse,q3,5pt,q3,5pt,q3,5pt_rev,q3,5pt,q3,5pt,econ_country_future,5pt_1better,W4,All waves,existing,Country economic future (1=Much worse to 5=Much better)
econ_country_past,economic,Country economy vs few years ago,q002,5pt_1worse,q2,5pt,q2,5pt,q2,5pt_rev,q2,5pt,q2,5pt,econ_country_past,5pt_1better,W4,All waves. Much better=1 to Much worse=5,existing,Country economic change past (1=Much worse to 5=Much better)
econ_family_current,economic,Current family economic condition,q004,5pt_1bad,q4,5pt,q4,5pt,q4,5pt_rev,q4,5pt,q4,5pt,econ_family_now,5pt_1good,W4,All waves,existing,Family economic condition now
econ_family_future,economic,Family economy in few years,q006,5pt_1worse,q6,5pt,q6,5pt,q6,5pt_rev,q6,5pt,q6,5pt,econ_family_future,5pt_1better,W4,All waves,existing,Family economic future
econ_family_past,economic,Family economy vs few years ago,q005,5pt_1worse,q5,5pt,q5,5pt,q5,5pt_rev,q5,5pt,q5,5pt,econ_family_past,5pt_1better,W4,All waves,existing,Family economic change past
democracy_preferable,democracy,Democracy is preferable to alternatives,q117,3opt,q121,varies,q132,varies,q125,varies,q132,3opt,q124,3opt,dem_prefer,varies,none,Variable numbers differ. Check exact scale,existing,Democracy preferable to other regimes
level_democracy,democracy,Level of democracy in country,NA,NA,q94,varies,q90,varies,q93,varies,q100,4pt_1high,q91,4pt_1high,dem_level,varies,none,Check scale per wave - may be 1-10 in some,existing,NA
satisfaction_democracy,democracy,Satisfaction with democracy,q098,4pt_1low,q93,4pt,q89,4pt,q92,4pt,q99,4pt_1high,q90,4pt_1high,dem_satisfaction,4pt_1high,none,Variable numbers differ but content same,existing,Satisfaction with democracy (1=Not at all to 4=Very)
uneducated_equal_say,democracy,Uneducated should have equal say in politics,NA,NA,NA,NA,q140,4pt_1agree,q141,4pt_1agree,NA,NA,NA,NA,NA,NA,NA,W3+ q140. 4pt agree-disagree. Egalitarian attitudes,w3_verification,NA
army_rule_support,regime,Support for army rule,q123,4pt_1agree,q104,4choice,q131,4choice,q132,4choice,q139,4pt_1agree,q131,4choice,army_rule,4choice,none,All waves. 4-choice ordinal (1=strongly support to 4=strongly oppose). HIGHER=LESS authoritarian,manual,Support for army rule
democracy_scale_current,regime,Democracy scale for country now (1-10),q100,10pt_1low,q96,10pt_1low,q91,10pt_1low,q94,10pt_1low,q101,10pt_1low,q92,10pt_1low,democracy_scale_now,10pt_1high,none,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic,manual,Democracy scale current (1-10)
democracy_scale_future,regime,Expected democracy scale 10 years from now,q102,10pt_1low,NA,NA,q93,10pt_1low,q96,10pt_1low,q103,10pt_1low,q94,10pt_1low,democracy_scale_future,10pt_1high,none,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic,manual,Democracy scale future 5 years (1-10)
democracy_scale_past,regime,Democracy scale for country 10 years ago,q099,10pt_1low,q95,10pt_1low,q92,10pt_1low,q95,10pt_1low,q102,10pt_1low,q93,10pt_1low,democracy_scale_past,10pt_1high,none,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic,manual,Democracy scale past regime (1-10)
democracy_suitable,regime,Whether democracy is suitable for our country,q103,10pt_1low,q98,10pt_1low,q94,10pt_1low,q97,10pt_1low,q104,10pt_1low,q95,10pt_1low,democracy_suitable,10pt_1high,none,All waves. 10-point scale (1=completely unsuitable to 10=perfectly suitable). HIGHER=MORE suitable,manual,Democracy suitable for country (1-10)
emergency_disregard_law,regime,OK for govt to disregard law in emergencies,NA,NA,NA,NA,q148,4pt_1agree,q149,4pt_1agree,NA,NA,NA,NA,NA,NA,NA,W3+ q148. 4pt agree-disagree. Emergency authoritarianism,w3_verification,NA
expert_decide_support,regime,Support for experts making decisions instead of government/elections,q124,4pt_1agree,q105,4choice,q132,4choice,q133,4choice,q140,4pt_1agree,q132,4choice,expert_decide,4choice,none,All waves. 4-choice ordinal (1=strongly support to 4=strongly oppose). HIGHER=LESS authoritarian,manual,Support for experts making decisions
govt_control_ideas,regime,Govt should decide what ideas allowed,NA,NA,NA,NA,q142,4pt_1agree,q143,4pt_1agree,NA,NA,NA,NA,NA,NA,NA,W3+ q142. 4pt agree-disagree. Authoritarianism,w3_verification,NA
govt_satisfaction,regime,Satisfaction with current government,q104,4pt_1low,q99,4pt_1high,q95,4pt_1high,q98,4pt_1high,q105,4pt_1high,q96,4pt_1high,govt_satisfaction,4pt_1high,none,All waves. 4-point scale (1=very satisfied to 4=very dissatisfied). HIGHER=LESS satisfied,manual,Satisfaction with government (1=Very dissatisfied to 4=Very satisfied)
judges_follow_executive,regime,Judges should accept executive view,NA,NA,NA,NA,q144,4pt_1agree,q145,4pt_1agree,NA,NA,NA,NA,NA,NA,NA,W3+ q144. 4pt agree-disagree. Authoritarianism,w3_verification,NA
leaders_like_family_head,regime,"Govt leaders like family head, should follow",NA,NA,NA,NA,q141,4pt_1agree,q142,4pt_1agree,NA,NA,NA,NA,NA,NA,NA,W3+ q141. 4pt agree-disagree. Paternalism/authoritarianism,w3_verification,NA
legislature_check_prevents_greatness,regime,Legislative oversight prevents great things,NA,NA,NA,NA,q145,4pt_1agree,q146,4pt_1agree,NA,NA,NA,NA,NA,NA,NA,W3+ q145. 4pt agree-disagree. Authoritarianism,w3_verification,NA
moral_leaders_decide_all,regime,Morally upright leaders can decide everything,NA,NA,NA,NA,q146,4pt_1agree,q147,4pt_1agree,NA,NA,NA,NA,NA,NA,NA,W3+ q146. 4pt agree-disagree. Authoritarianism,w3_verification,NA
one_party_rule_support,regime,Support for one-party system without opposition,NA,NA,q125,4pt_1agree,NA,NA,q131,4pt_1agree,q138,4pt_1agree,q130,4pt_1agree,NA,NA,NA,W2+. 4pt agree-disagree (1=strongly agree to 4=strongly disagree). 1=MOST authoritarian,w2_verification,NA
strong_leader_support,regime,Support for strong leader who doesn't bother with elections,q121,4pt_1agree,q103,4choice,q130,4choice,q130,4choice,q137,4pt_1agree,q129,4pt_1agree,strong_leader,4choice,none,All waves. 4-choice ordinal (1=strongly support to 4=strongly oppose). HIGHER=LESS authoritarian,manual,Support for strong leader without elections
system_change_needed,regime,System works fine vs needs change vs should be replaced,NA,NA,NA,NA,q84,4pt_1fine,q87,4pt_1fine,q90,4pt_1fine,NA,NA,NA,NA,NA,W3+ q84. 4pt (1=fine to 4=replace). HIGHER=MORE change wanted,w3_verification,NA
system_deserves_support,regime,System deserves people's support despite problems,NA,NA,NA,NA,q82,4pt_1agree,q85,4pt_1agree,q88,4pt_1agree,NA,NA,NA,NA,NA,W3+ q82. 4pt agree-disagree. System legitimacy,w3_verification,NA
system_prefer_own,regime,Prefer own system to any other,NA,NA,NA,NA,q83,4pt_1agree,q86,4pt_1agree,q89,4pt_1agree,NA,NA,NA,NA,NA,W3+ q83. 4pt agree-disagree. System preference,w3_verification,NA
system_pride,regime,Proud of system of government,NA,NA,NA,NA,q81,4pt_1agree,q84,4pt_1agree,q87,4pt_1agree,NA,NA,NA,NA,NA,W3+ q81. 4pt agree-disagree. System pride,w3_verification,NA
system_solve_problems,regime,System capable of solving country's problems,NA,NA,NA,NA,q80,4pt_1agree,q83,4pt_1agree,q86,4pt_1agree,NA,NA,NA,NA,NA,W3+ q80. 4pt agree-disagree. System efficacy,w3_verification,NA
follow_international_news,politics,How closely follow major events in foreign countries,NA,NA,NA,NA,q149,5pt_1high,q150,5pt_1high,NA,NA,NA,NA,NA,NA,NA,W3+ q149. 5pt (1=very closely to 5=not at all). HIGHER=LESS,w3_verification,NA
follow_news,politics,How often follow political news,q057,6pt_2low,NA,NA,q44,varies,q45,5pt_1high,q47,5pt_1high,q48,5pt_1high,follow_news,varies,none,W3-W6. Check exact scales per wave,existing,Follow political news (2=Practically never to 6=Everyday)
interest_politics,politics,Interest in politics,q056,4pt_1low,q49,4pt,q43,4pt_1high,q44,4pt_1high,q46,4pt_1low,q47,4pt_1high,pol_interest,4pt_1high,none,Variable numbers change but content consistent,existing,Interest in politics (1=Not at all to 4=Very interested)
political_efficacy_ability,politics,I have ability to participate in politics,NA,NA,NA,NA,q133,4pt_1agree,q134,4pt_1agree,NA,NA,q133,4pt_1agree,NA,NA,NA,W3+ q133. 4pt agree-disagree. Internal efficacy,w3_verification,NA
political_efficacy_care,politics,Govt doesn't care what people like me think,NA,NA,q106,4pt_1agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W2+. 4pt agree-disagree. External efficacy measure,w2_verification,NA
political_efficacy_understand,politics,Politics/govt sometimes too complicated to understand,NA,NA,q103,4pt_1agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W2+. 4pt agree-disagree. Internal efficacy measure,w2_verification,NA
political_efficacy_understand_w3,politics,Politics too complicated to understand (W3),NA,NA,NA,NA,q134,4pt_1agree,q135,4pt_1agree,NA,NA,q134,4pt_1agree,NA,NA,NA,W3+ q134. 4pt agree-disagree. Internal efficacy (low),w3_verification,NA
political_efficacy_voice,politics,People like me don't have influence on govt,NA,NA,q105,4pt_1agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W2+. 4pt agree-disagree. External efficacy measure,w2_verification,NA
political_efficacy_voice_w3,politics,People like me don't have influence (W3),NA,NA,NA,NA,q135,4pt_1agree,q136,4pt_1agree,NA,NA,q135,4pt_1agree,NA,NA,NA,W3+ q135. 4pt agree-disagree. External efficacy (low),w3_verification,NA
voted_last_election,politics,Voted in last national election,q027,binary_1yes,q38,binary,q33,binary,q33,binary,q33,binary,q33,binary,voted,binary,none,All waves. Yes/No,existing,Voted in last national election
watch_foreign_media,politics,How often watch foreign programs,NA,NA,NA,NA,q150,6pt_1high,NA,NA,NA,NA,NA,NA,NA,NA,NA,W3+ q150. 6pt (1=almost daily to 6=never). HIGHER=LESS,w3_verification,NA
discuss_politics,political_interest,How often discuss political matters with family or friends,q023,5pt_1low,q52,3pt_1high,q46,3pt_1high,q46,3pt_1high,q48,3pt_1high,q49,3pt_1high,discuss_politics,3pt_1high,W1,Most waves. W1 (1=never to 5=very often) 5-point HIGHER=MORE. W2 (1=frequently to 3=never) 3-point HIGHER=LESS. W3-W6 (1=frequently to 3=never) HIGHER=LESS. Must reverse W1 only. Different scale lengths require careful harmonization,manual,Discuss political matters (1=Never to 5=Very often)
attend_demonstration,participation,Attended demonstration or protest march,q087,3pt_w1code,q87,3pt_done,q71,3pt_0never,q76,3pt_done,q79,3pt_done,q77,3pt_done,attend_protest,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,Attended demonstration or protest
collective_problem_solving,participation,Got together with others to resolve local problems,NA,NA,q84,3pt_done,q69,3pt_0never,q74,3pt_done,q77,3pt_done,q75,3pt_done,collective_action,3pt_1high,none,W2-W6. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,NA
contact_elected_officials,participation,Contacted elected officials or legislative representatives,q073,3pt_w1code,q79,3pt_done,q64,3pt_0never,q69,3pt_done,q71,3pt_done,q69,3pt_done,contact_officials,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). Some waves have 4-point version with willingness. HIGHER=LESS participation,manual,"Contacted elected officials (1=Once, 2=More than once, 9=Never)"
contact_higher_officials,participation,Contacted government officials at higher level,q074,3pt_w1code,q80,3pt_done,q65,3pt_0never,q70,3pt_done,q72,3pt_done,q70,3pt_done,contact_higher_govt,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,Contacted higher government officials
contact_influential_people,participation,Contacted other influential people outside government,NA,NA,q82,3pt_done,q67,3pt_0never,q72,3pt_done,q74,3pt_done,q72,3pt_done,contact_influential,3pt_1high,none,W2-W6. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,NA
contact_media,participation,Contacted news media,q080,3pt_w1code,q83,3pt_done,q68,3pt_0never,q73,3pt_done,q75,3pt_done,q73,3pt_done,contact_media,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,Contacted news media
contact_traditional_leaders,participation,Contacted traditional or community leaders,NA,NA,q81,3pt_done,q66,3pt_0never,q71,3pt_done,q73,3pt_done,q71,3pt_done,contact_traditional,3pt_1high,none,W2-W6. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,NA
petition_sign,participation,Got together to raise issue or sign petition,q084,3pt_w1code,q85,3pt_done,q70,3pt_0never,q75,3pt_done,q78,3pt_done,q76,3pt_done,sign_petition,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,Sign petition or raise issue
use_force_violence,participation,Used force or violence for political cause,q095,3pt_w1code,q88,3pt_done,q72,3pt_0never,q77,3pt_done,q80,3pt_done,q78,3pt_done,use_force,3pt_1high,none,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation,manual,Used force or violence for political cause
voting_frequency_pattern,participation,How often vote in elections since eligible,NA,NA,NA,NA,q78,4pt_1high,q78,4pt_1high,q81,4pt_1high,q79,4pt_1high,voting_pattern,4pt_1high,none,W3-W6. 4-point scale (1=every election to 4=hardly ever). HIGHER=LESS participation,manual,NA
attend_campaign,electoral,Attended campaign meeting or rally,q029,binary_2yes,q40,binary_2yes,q34,binary_1yes,q35,binary_1yes,q35,binary_1yes,q35,binary_1yes,attend_campaign,binary_1yes,W1-W2,All waves. W1-W2 (1=no 2=yes) vs W3-W6 (1=yes 2=no). W1-W2 need reversal,manual,"Attended campaign meeting/rally (1=No, 2=Yes)"
election_free_fair,electoral,Assessment of election freeness and fairness,NA,NA,q43,4pt_1best,q37,5pt_1best,q38,4pt_1best,q38,4pt_1best,q38,4pt_1best,election_quality,4pt_1best,none,W2-W6. 4-point scale (1=completely free/fair to 4=not free/fair). W3 adds 5th option (free but unfair). Higher=worse quality,manual,NA
election_real_choice,electoral,How often elections offer real choice between parties,NA,NA,q114,4pt_1best,q111,4pt_1best,q113,4pt_1best,q119,4pt_1best,q110,4pt_1best,election_choice,4pt_1best,none,W2-W6. Four point scale (1=always to 4=rarely). Higher=worse. Perception of electoral competitiveness,manual,NA
persuade_vote,electoral,Tried to persuade others to vote for candidate/party,q030,binary_2yes,q41,binary_2yes,q35,binary_1yes,NA,NA,NA,NA,q36,binary_1yes,persuade_vote,binary_1yes,W1-W2,W1-W3 and W6. Missing W4-W5. W1-W2 (1=no 2=yes) vs W3/W6 (1=yes 2=no). W1-W2 need reversal,manual,"Tried to persuade others to vote (1=No, 2=Yes)"
which_party_voted,electoral,Which party or candidate voted for,q028,categorical,q39,country_specific,q33,country_specific,q34,country_specific,q34,country_specific,q34,country_specific,party_voted,categorical,none,All waves. Country-specific party codes. Not directly comparable across countries,manual,Which party voted for
work_for_party,electoral,Worked or helped party/candidate in campaign,q031,binary_2yes,q42,binary_2yes,q36,binary_1yes,q37,binary_1yes,q37,binary_1yes,q37,binary_1yes,work_party,binary_1yes,W1-W2,All waves. W1-W2 (1=no 2=yes) vs W3-W6 (1=yes 2=no). W1-W2 need reversal,manual,"Worked for party/candidate (1=No, 2=Yes)"
party_closeness,partisanship,Which party do you feel closest to,q062,categorical,q54,categorical,q47,categorical,q53,categorical,q56,categorical,q54,categorical,party_id,categorical,none,All waves. Categorical variable with country-specific party codes. 90/99=no party. Codes vary by country - not directly comparable across countries but consistent concept,manual,Which party feel closest to
accommodate_neighbor,traditionalism,Accommodate neighbor in conflict,q066,4pt_1trad,q58,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,trad_accommodate,4pt_1high,none,W1-W2 only. Conflict avoidance,manual,Accommodate neighbor in conflict
avoid_disagreement_conflict,traditionalism,Avoid conflict even with disagreement,NA,NA,NA,NA,q59,4pt_1trad,q64,4pt_1trad,q66,4pt_1trad,q64,4pt_1trad,trad_avoid_conflict,4pt_1high,none,W3-W6. Interpersonal conflict avoidance,manual,NA
avoid_open_quarrel,traditionalism,Avoid open quarrel to preserve group harmony,NA,NA,NA,NA,q58,4pt_1trad,q63,4pt_1trad,q65,4pt_1trad,q63,4pt_1trad,trad_harmony_group,4pt_1high,none,W3-W6. Harmony/conflict avoidance,manual,NA
elder_resolve_dispute,traditionalism,Ask elder to resolve quarrels,q071,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trad_elder_authority,4pt_1high,none,W1 only. Respect for age/authority,manual,Ask elder to resolve quarrels
family_over_individual,traditionalism,Put family interests before individual,q069,4pt_1trad,q60,4pt_1trad,q50,4pt_1trad,q55,4pt_1trad,q58,4pt_1trad,q56,4pt_1trad,trad_family_first,4pt_1high,none,All waves. Collectivism - family level,manual,Put family interests before individual
fate_determines_success,traditionalism,Fate determines wealth and success,q067,4pt_1trad,NA,NA,q61,4pt_1trad,q66,4pt_1trad,q68,4pt_1trad,q66,4pt_1trad,trad_fate,4pt_1high,none,W1 and W3-W6. Fatalism measure,manual,Fate determines wealth and success
follow_own_beliefs,traditionalism,Follow own beliefs regardless of others,NA,NA,q61,4pt_1modern,NA,NA,NA,NA,NA,NA,NA,NA,trad_individualism,4pt_1high,W2,W2 only. REVERSED - agreement=modern/individualistic. Need reversal,manual,NA
hire_relatives_over_qualified,traditionalism,Hire relatives over qualified stranger,q065,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trad_nepotism,4pt_1high,none,W1 only. Measuring nepotism/particularism,manual,Hire relatives over qualified stranger
immediate_vs_longterm,traditionalism,Long-term relationship over immediate interest,NA,NA,q62,4pt_1trad,q53,4pt_1trad,q58,4pt_1trad,q61,4pt_1trad,q59,4pt_1trad,trad_longterm,4pt_1high,none,W2-W6. Relational vs transactional orientation,manual,NA
man_lose_face_female_boss,traditionalism,Man loses face working under female supervisor,q070,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trad_gender_hierarchy,4pt_1high,none,W1 only. Gender hierarchy,manual,Man loses face working under female supervisor
many_groups_disrupt_harmony,traditionalism,Many groups disrupt community harmony,NA,NA,NA,NA,q143,4pt_1agree,q144,4pt_1agree,NA,NA,NA,NA,NA,NA,NA,W3+ q143. 4pt agree-disagree. Anti-pluralism,w3_verification,NA
many_ideas_cause_chaos,traditionalism,Too many ways of thinking causes chaos,NA,NA,NA,NA,q147,4pt_1agree,q148,4pt_1agree,NA,NA,NA,NA,NA,NA,NA,W3+ q147. 4pt agree-disagree. Anti-pluralism,w3_verification,NA
mother_in_law_conflict,traditionalism,Husband should side with mother-in-law over wife,q072,4pt_1trad,NA,NA,q56,4pt_1trad,q61,4pt_1trad,q63,4pt_1trad,q61,4pt_1trad,trad_filial_piety,4pt_1high,none,W1 and W3-W6. Filial piety over spousal loyalty,manual,Husband should side with mother-in-law over wife
not_insist_opinion_coworkers,traditionalism,Not insist on own opinion if coworkers disagree,q068,4pt_1trad,q59,4pt_1trad,q60,4pt_1trad,q65,4pt_1trad,q67,4pt_1trad,q65,4pt_1trad,trad_conform_work,4pt_1high,none,All waves. Conformity/harmony over individual opinion,manual,Not insist on own opinion if coworkers disagree
not_preoccupied_gains_losses,traditionalism,Not preoccupied with temporary gains and losses,NA,NA,NA,NA,q63,4pt_1trad,q68,4pt_1trad,NA,NA,NA,NA,trad_not_calculating,4pt_1high,none,W3-W4 only. Long-term orientation variant,manual,NA
not_question_teacher,traditionalism,Students should not question teacher authority,NA,NA,q57,4pt_1trad,q57,4pt_1trad,q62,4pt_1trad,q64,4pt_1trad,q62,4pt_1trad,trad_teacher_authority,4pt_1high,none,W2-W6. Hierarchical education,manual,NA
obey_parents_unreasonable,traditionalism,Children should obey parents even if unreasonable,q064,4pt_1trad,q56,4pt_1trad,q55,4pt_1trad,q60,4pt_1trad,q62,4pt_1trad,q60,4pt_1trad,trad_obey_parents,4pt_1high,none,All waves. 1=Strongly agree to 4=Strongly disagree. Higher=less traditional,manual,Children obey parents even if unreasonable
plan_future_not_immediate,traditionalism,Plan for future not just immediate interest,NA,NA,NA,NA,q54,4pt_1trad,q59,4pt_1trad,NA,NA,NA,NA,trad_future_oriented,4pt_1high,none,W3-W4 only. Similar to q53 but slightly different wording,manual,NA
prefer_boy_child,traditionalism,Prefer to have boy over girl if only one child,NA,NA,NA,NA,q62,4pt_1trad,q67,4pt_1trad,q69,4pt_1trad,q67,4pt_1trad,trad_son_preference,4pt_1high,none,W3-W6. Gender preference/patrilineal values,manual,NA
sacrifice_individual_group,traditionalism,Sacrifice individual for group collective interest,NA,NA,NA,NA,q51,4pt_1trad,q56,4pt_1trad,q59,4pt_1trad,q57,4pt_1trad,trad_collectivism_group,4pt_1high,none,W3-W6. Collectivism - group level,manual,NA
sacrifice_individual_nation,traditionalism,Sacrifice individual for national interest,NA,NA,NA,NA,q52,4pt_1trad,q57,4pt_1trad,q60,4pt_1trad,q58,4pt_1trad,trad_collectivism_nation,4pt_1high,none,W3-W6. Collectivism - national level,manual,NA
women_politics_less,traditionalism,Women should not be involved in politics as much as men,NA,NA,NA,NA,q139,4pt_1agree,q139,4pt_1agree,NA,NA,NA,NA,NA,NA,NA,W3+ q139. 4pt agree-disagree. Gender attitudes,w3_verification,NA
network_politics,social_capital,Political views similarity of frequent contacts,NA,NA,NA,NA,NA,NA,NA,NA,q30,6cat,q30,6cat,social_network_political,categorical,none,W5-W6 only. Six categories from all similar to don't know their views,manual,NA
network_status,social_capital,Social status of most contacts (higher/lower/equal),NA,NA,NA,NA,NA,NA,NA,NA,q29,3cat,q29,3cat,social_network_status,categorical,none,W5-W6 only. Three categories comparing social status,manual,NA
org_count_formal,social_capital,Number of formal groups belong to,fgnum,count_0to3,fgnum,count_0to3,NA,NA,NA,NA,NA,NA,NA,NA,org_count_formal,count,none,W1-W2 only. Count variable 0-3,manual,Number of formal groups belong to
org_count_private,social_capital,Number of private groups belong to,pgnum,count_0to3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,org_count_private,count,none,W1 only. Count variable 0-3,manual,Number of private groups belong to
org_member_1,social_capital,First most important organization belong to,NA,NA,q20_1,20cat,q20,21cat,q20,21cat,q18,21cat,q18,21cat,org_import_1,categorical,none,W2 has 20 categories. W3-W6 have 21 categories. Categories mostly align,manual,NA
